"dataset_id","source","source_pkg","source_object","source_title","repo","branch","repo_license","k","measure","n_mods","moderators","signature"
"metadat_dat.lehmann2018","CRAN","metadat","dat.lehmann2018","The Effect of Red on Perceived Attractiveness",NA,NA,"CRAN",81,"from_dataset",47,"short_title|full_citation|year|prpublication|source_type|preregistered|gender|color_contrast|color_form|photo_type|photo_similarity|dv_type|dv_items|dv_scale|dv_scalebottom|dv_scaletop|location|continent|participants|participant_notes|design|eth_majority|eth_majority_detail|eth_stim|eth_match|red_age|control_age|color_red|color_control|red_original|color_match|presentation_control|stimuli_presentation|red_n|red_m|red_sd|control_n|control_m|control_sd|sd_diff|rm_r|control_attractiveness|notes|totalsamplesize|pooled|precision|abs_yi","702e9bb2ca3a0247"
"metadat_dat.mccurdy2020","CRAN","metadat","dat.mccurdy2020","Studies on the Generation Effect",NA,NA,"CRAN",1653,"from_dataset",25,"article|experiment|sample|pairing|ni|stimuli|condition|gen_difficulty|manip_type|present_style|word_status|memory_test|memory_type|gen_constraint|learning_type|stimuli_relation|gen_mode|gen_task|attention|pacing|filler_task|age_grp|retention_delay|precision|abs_yi","68c825d12beede6f"
"psymetadata_stasielowicz2019b","CRAN","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",NA,NA,"CRAN",86,"from_dataset",22,"study_id|es_id|author|pub_year|pub_type|peer_review|pgo_type|adapt_measures|adapt_method|adapt_method_specific|go_measure|financ_support|age|age_imputed|sex|perc_men|country|sample|level|complexity_dynamic|precision|abs_yi","23f03a8d8c2fc60a"
"psymetadata_stasielowicz2019a","CRAN","psymetadata","stasielowicz2019a","Studies on the association between goal orientation and performance adaptation",NA,NA,"CRAN",76,"from_dataset",21,"study_id|es_id|author|pub_year|pub_type|peer_review|adapt_measures|adapt_method|adapt_method_specific|go_measure|financ_support|age|age_imputed|sex|perc_men|country|sample|level|complexity_dynamic|precision|abs_yi","a36c3e28d1b33b84"
"psymetadata_stasielowicz2020","CRAN","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",NA,NA,"CRAN",133,"from_dataset",21,"effect_id|author|pub_year|pub_type|peer_review|adapt_measures|adapt_method|adapt_method_specific|subj_adapt_definition|cog_abil_measure|ca_measure|financ_support|sex|men_prop|country|sample|task|complexity_component|complexity_coordinative|precision|abs_yi","8e0550e6663727c8"
"metadat_dat.curtis1998","CRAN","metadat","dat.curtis1998","Studies on the Effects of Elevated CO2 Levels on Woody Plant Mass",NA,NA,"CRAN",102,"SMD",20,"paper|genus|species|fungrp|co2ambi|co2elev|units|time|pot|method|stock|xtrt|level|n_ratio|sd_ratio|mean_ctrl|ntotal|log_ntotal|precision|abs_yi","0675efb555cfaf8d"
"psymetadata_gamble2019","CRAN","psymetadata","gamble2019","Meta-analytic data collected from studying on the specificity of future thinking in depression",NA,NA,"CRAN",89,"from_dataset",20,"study_id|samp_id|es_id|authors|ni|sex|age|dep_status|comorbid_anx|emo_val|macro_micro|cue_type|spec_rated|dep_rated|cat_dim|quality|published|mode|precision|abs_yi","55c87c896dae2caa"
"psymetadata_lowe2020","CRAN","psymetadata","lowe2020","Studies on the advantage of bilingualism in children: a meta-analytic review",NA,NA,"CRAN",1194,"from_dataset",20,"pub_year|pub_type|study_id|es_id|subsample|participants|clusters|lab_group|proficiency|age|country|geo_area|match|study_quality|verbal_non_verbal|outcome_task|outcome_type|sub_measure|precision|abs_yi","068cf692c555a702"
"psymetadata_maccann2020","CRAN","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance",NA,NA,"CRAN",1246,"from_dataset",19,"study_id|sample_id|author|pub_year|pub_type|ed_level1|ed_level2|country|perc_white|age|perc_female|ei_construct|ei_stream|ei_measure|subject|humanities|achievement_type|precision|abs_yi","71d20e0cd8518c18"
"metadat_dat.moura2021","CRAN","metadat","dat.moura2021","Studies on Assortative Mating",NA,NA,"CRAN",1828,"ZCOR",16,"studyid|effectsizeid|species|speciesid|subphylum|phylum|assortmenttrait|traitdimensions|fieldcollection|publicationyear|pooleddata|spatiallypooled|temporallypooled|ni|precision|abs_yi","448fc20b846c5ba0"
"psymetadata_aksayli2019","CRAN","psymetadata","aksayli2019","Studies on the cognitive and academic benefits of Cogmed",NA,NA,"CRAN",637,"from_dataset",16,"study_id|es_id|ni|author|transfer|test|allocation|comparison|baseline|age_group|mean_age_exp|mean_age_control|pop|year|precision|abs_yi","93f0f6bd709eeb01"
"metadat_dat.bangertdrowns2004","CRAN","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions",NA,NA,"CRAN",48,"from_dataset",15,"author|year|grade|length|minutes|wic|feedback|info|pers|imag|meta|subject|ni|precision|abs_yi","868153b789f8d1a9"
"psymetadata_maldonado2020","CRAN","psymetadata","maldonado2020","Studies on Age Differences in Executive Functioning",NA,NA,"CRAN",1268,"from_dataset",14,"es_id|study_id|author|domain|n1|n2|n_total|mean_age1|mean_age2|miyake|task|year|precision|abs_yi","53532433c9655faf"
"psymetadata_schroeder2020","CRAN","psymetadata","schroeder2020","Studies on the effects of transcranial direct current stimulation on inhibitory control",NA,NA,"CRAN",75,"from_dataset",14,"study_id|es_id|control|study_design|blinding|task|population|stimulation|intensity|target_electrode_placement|return_electrode_placement|timing|precision|abs_yi","ec309c379affadbe"
