study,year,test,d,V,nT,nC,study_type,hrs,ETS,homework
Burke (A),1986,Verbal,0.5,0.0825,25,25,Matched,50,0,1
Burke (B),1986,Verbal,0.74,0.0855,25,25,Matched,50,0,1
Coffin,1987,Math,0.33,0.2534,8,8,Matched,18,0,0
Coffin,1987,Verbal,-0.23,0.2517,8,8,Matched,18,0,0
Davis,1985,Math,0.13,0.0933,22,21,Matched,15,0,0
Davis,1985,Verbal,0.13,0.0933,22,21,Matched,15,0,0
Frankel,1960,Math,0.34,0.0451,45,45,Matched,30,0,0
Frankel,1960,Verbal,0.13,0.0445,45,45,Matched,30,0,0
Kintisch,1979,Verbal,0.06,0.0527,38,38,Matched,20,0,1
Whitla,1962,Math,-0.11,0.0401,50,50,Matched,10,1,1
Whitla,1962,Verbal,0.09,0.0385,52,52,Matched,10,1,1
Curran (A),1988,Math,-0.08,0.1065,21,17,Nonequivalent,6,0,0
Curran (A),1988,Verbal,-0.1,0.1066,21,17,Nonequivalent,6,0,0
Curran (B),1988,Math,-0.29,0.1015,24,17,Nonequivalent,6,0,0
Curran (B),1988,Verbal,-0.14,0.1007,24,17,Nonequivalent,6,0,0
Curran (C),1988,Math,-0.34,0.1104,20,17,Nonequivalent,6,0,0
Curran (C),1988,Verbal,-0.16,0.1092,20,17,Nonequivalent,6,0,0
Curran (D),1988,Math,-0.06,0.1089,20,17,Nonequivalent,6,0,0
Curran (D),1988,Verbal,-0.07,0.1089,20,17,Nonequivalent,6,0,0
Dear,1958,Math,0.21,0.0186,60,526,Nonequivalent,15,1,1
Dear,1958,Verbal,-0.02,0.0186,60,526,Nonequivalent,15,1,1
Dyer,1953,Math,0.17,0.0097,225,193,Nonequivalent,15,1,1
Dyer,1953,Verbal,0.06,0.0096,225,193,Nonequivalent,15,1,1
French (B),1955,Verbal,0.06,0.0154,110,158,Nonequivalent,4.5,1,1
French (C),1955,Math,0.2,0.0126,161,158,Nonequivalent,15,1,1
FTC,1978,Math,0.03,0.0067,192,684,Nonequivalent,40,0,0
FTC,1978,Verbal,0.15,0.0067,192,684,Nonequivalent,40,0,0
Keefauver,1976,Math,-0.19,0.1029,16,25,Nonequivalent,14,0,0
Keefauver,1976,Verbal,0.17,0.1029,16,25,Nonequivalent,14,0,0
Lass,1961,Math,0.1,0.0386,38,82,Nonequivalent,NA,1,1
Lass,1961,Verbal,0.02,0.0385,38,82,Nonequivalent,NA,1,1
Reynolds & Oberman,1987,Math,0.6,0.0333,93,47,Nonequivalent,63,0,1
Reynolds & Oberman,1987,Verbal,-0.04,0.032,93,47,Nonequivalent,63,0,1
Teague,1992,Verbal,0.4,0.1699,10,15,Nonequivalent,18,0,0
Zuman (A),1988,Math,0.57,0.08,21,34,Nonequivalent,27,0,1
Zuman (A),1988,Verbal,0.54,0.0797,21,34,Nonequivalent,27,0,1
Alderman & Powers (A),1980,Verbal,0.22,0.0817,28,22,Randomized,7,1,1
Alderman & Powers (B),1980,Verbal,0.09,0.0507,39,40,Randomized,10,1,1
Alderman & Powers (C),1980,Verbal,0.14,0.1045,22,17,Randomized,10.5,1,1
Alderman & Powers (D),1980,Verbal,0.14,0.0442,48,43,Randomized,10,1,1
Alderman & Powers (E),1980,Verbal,-0.01,0.0535,25,74,Randomized,6,1,1
Alderman & Powers (F),1980,Verbal,0.14,0.0557,37,35,Randomized,5,1,1
Alderman & Powers (G),1980,Verbal,0.18,0.0561,24,70,Randomized,11,1,1
Alderman & Powers (H),1980,Verbal,0.01,0.1151,16,19,Randomized,45,1,1
Evans & Pike (A),1973,Math,0.12,0.0147,145,129,Randomized,21,1,1
Evans & Pike (A),1973,Verbal,0.13,0.0147,145,129,Randomized,21,1,1
Evans & Pike (B),1973,Math,0.06,0.0216,72,129,Randomized,21,1,1
Evans & Pike (B),1973,Verbal,0.25,0.0218,72,129,Randomized,21,1,1
Evans & Pike (C),1973,Math,0.09,0.0219,71,129,Randomized,21,1,1
Evans & Pike (C),1973,Verbal,0.31,0.0221,71,129,Randomized,21,1,1
Laschewer,1986,Math,0.07,0.1484,13,14,Randomized,8.9,0,0
Laschewer,1986,Verbal,0,0.1484,13,14,Randomized,8.9,0,0
Roberts & Oppenheim (A),1966,Verbal,0.01,0.0503,43,37,Randomized,7.5,1,0
Roberts & Oppenheim (B),1966,Verbal,0.67,0.1366,19,13,Randomized,7.5,1,0
Roberts & Oppenheim (D),1966,Verbal,-0.38,0.1561,16,11,Randomized,7.5,1,0
Roberts & Oppenheim (E),1966,Verbal,-0.24,0.1342,20,12,Randomized,7.5,1,0
Roberts & Oppenheim (F),1966,Verbal,0.29,0.062,39,28,Randomized,7.5,1,0
Roberts & Oppenheim (G),1966,Math,0.26,0.0669,38,25,Randomized,7.5,1,0
Roberts & Oppenheim (H),1966,Math,-0.41,0.1352,18,13,Randomized,7.5,1,0
Roberts & Oppenheim (I),1966,Math,0.08,0.1297,19,13,Randomized,7.5,1,0
Roberts & Oppenheim (J),1966,Math,0.3,0.0732,37,22,Randomized,7.5,1,0
Roberts & Oppenheim (K),1966,Math,-0.53,0.1482,19,11,Randomized,7.5,1,0
Roberts & Oppenheim (L),1966,Math,0.13,0.136,17,13,Randomized,7.5,1,0
Roberts & Oppenheim (M),1966,Math,0.26,0.1344,20,12,Randomized,7.5,1,0
Roberts & Oppenheim (N),1966,Math,0.47,0.1303,20,13,Randomized,7.5,1,0
Zuman (B),1988,Math,0.48,0.1248,16,17,Randomized,24,0,1
Zuman (B),1988,Verbal,0.13,0.1216,16,17,Randomized,24,0,1
