"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","studlab","treat1","treat2","te","sete","precision","abs_yi","source","repo","branch","repo_license"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",1,-0.7568,0.054756,"te","Anderson1985","CBT","Placebo",-0.7568,0.234,4.27350427350427,0.7568,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",2,-0.9915,0.088804,"te","Bailey2014","CBT","WLC",-0.9915,0.298,3.35570469798658,0.9915,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",3,-1.005,0.053824,"te","Calderon1988","CBT","WLC",-1.005,0.232,4.31034482758621,1.005,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",4,-0.5061,0.038025,"te","Caldwell1981","PDT","WLC",-0.5061,0.195,5.12820512820513,0.5061,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",5,-1.005,0.063504,"te","Carpenter2016","CBT","WLC",-1.005,0.252,3.96825396825397,1.005,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",6,-0.4964,0.121801,"te","Cummings2012","PDT","WLC",-0.4964,0.349,2.86532951289398,0.4964,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",7,-0.7504,0.075076,"te","Dawson2006","CBT","Placebo",-0.7504,0.274,3.64963503649635,0.7504,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",8,-0.4961,0.141376,"te","Day2005","PDT","WLC",-0.4961,0.376,2.65957446808511,0.4961,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",9,-1.0018,0.066049,"te","Farmer2014","CBT","WLC",-1.0018,0.257,3.89105058365759,1.0018,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",10,-1.0061,0.105625,"te","Ferguson1988","CBT","WLC",-1.0061,0.325,3.07692307692308,1.0061,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",11,-0.7432,0.097969,"te","Fields1980","CBT","Placebo",-0.7432,0.313,3.19488817891374,0.7432,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",12,-0.9,0.14122564,"te","Fraser1990","IPT","WLC",-0.9,0.3758,2.66098988823842,0.9,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",13,-1.0074,0.14122564,"te","Fraser1990","CBT","WLC",-1.0074,0.3758,2.66098988823842,1.0074,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",14,-0.7029,0.14122564,"te","Fraser1990","CBT","SUP",-0.7029,0.3758,2.66098988823842,0.7029,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",15,-0.5955,0.14122564,"te","Fraser1990","IPT","SUP",-0.5955,0.3758,2.66098988823842,0.5955,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",16,-0.1074,0.14122564,"te","Fraser1990","CBT","IPT",-0.1074,0.3758,2.66098988823842,0.1074,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",17,-0.3045,0.14122564,"te","Fraser1990","SUP","WLC",-0.3045,0.3758,2.66098988823842,0.3045,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",18,-0.9,0.14122564,"te","George2006","IPT","WLC",-0.9,0.3758,2.66098988823842,0.9,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",19,0.0047,0.043264,"te","Gibbs1993","SUP","TAU",0.0047,0.208,4.80769230769231,0.0047,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",20,-0.4913,0.0324,"te","Gordon1993","PDT","WLC",-0.4913,0.18,5.55555555555556,0.4913,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",21,-0.654,0.016129,"te","Grant2008","IPT","Placebo",-0.654,0.127,7.8740157480315,0.654,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",22,-0.2411,0.015876,"te","Hammond1980","PDT","Placebo",-0.2411,0.126,7.93650793650794,0.2411,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",23,-0.7937,0.070225,"te","Harrington1983","PST","WLC",-0.7937,0.265,3.77358490566038,0.7937,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",24,0.1068,0.091204,"te","Hubbard1999","IPT","CBT",0.1068,0.302,3.3112582781457,0.1068,"CRAN",NA,NA,"CRAN"
"dmetar_NetDataNetmeta","dmetar","NetDataNetmeta","Toy Dataset for Network Meta-Analysis using the netmeta package",25,-0.1955,0.133956,"te","Lawson2004","PDT","TAU",-0.1955,0.366,2.73224043715847,0.1955,"CRAN",NA,NA,"CRAN"
