"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","author","te","sete","treat1","treat2","treat1long","treat2long","versus","year","precision","abs_yi","source","repo","branch","repo_license"
"dmetar_TherapyFormats","dmetar","TherapyFormats","Differential Effects of Cognitive Behavioral Therapy Delivery Formats in Depressive Patients dataset","Ausbun, 1997 1997",0.092,0.038025,"te","Ausbun, 1997",0.092,0.195,"ind","grp","Individual","Group","ind vs grp",1997,5.12820512820513,0.092,"CRAN",NA,NA,"CRAN"
"dmetar_TherapyFormats","dmetar","TherapyFormats","Differential Effects of Cognitive Behavioral Therapy Delivery Formats in Depressive Patients dataset","Crable, 1986 1986",-0.675,0.1225,"te","Crable, 1986",-0.675,0.35,"ind","grp","Individual","Group","ind vs grp",1986,2.85714285714286,0.675,"CRAN",NA,NA,"CRAN"
"dmetar_TherapyFormats","dmetar","TherapyFormats","Differential Effects of Cognitive Behavioral Therapy Delivery Formats in Depressive Patients dataset","Thiede, 2011 2011",-0.107,0.039204,"te","Thiede, 2011",-0.107,0.198,"ind","grp","Individual","Group","ind vs grp",2011,5.05050505050505,0.107,"CRAN",NA,NA,"CRAN"
"dmetar_TherapyFormats","dmetar","TherapyFormats","Differential Effects of Cognitive Behavioral Therapy Delivery Formats in Depressive Patients dataset","Bonertz, 2015 2015",-0.09,0.104976,"te","Bonertz, 2015",-0.09,0.324,"ind","grp","Individual","Group","ind vs grp",2015,3.08641975308642,0.09,"CRAN",NA,NA,"CRAN"
"dmetar_TherapyFormats","dmetar","TherapyFormats","Differential Effects of Cognitive Behavioral Therapy Delivery Formats in Depressive Patients dataset","Joy, 2002 2002",-0.135,0.205209,"te","Joy, 2002",-0.135,0.453,"ind","grp","Individual","Group","ind vs grp",2002,2.2075055187638,0.135,"CRAN",NA,NA,"CRAN"
"dmetar_TherapyFormats","dmetar","TherapyFormats","Differential Effects of Cognitive Behavioral Therapy Delivery Formats in Depressive Patients dataset","Jones, 2013 2013",-0.217,0.083521,"te","Jones, 2013",-0.217,0.289,"ind","grp","Individual","Group","ind vs grp",2013,3.46020761245675,0.217,"CRAN",NA,NA,"CRAN"
"dmetar_TherapyFormats","dmetar","TherapyFormats","Differential Effects of Cognitive Behavioral Therapy Delivery Formats in Depressive Patients dataset","Aaron, 2004 2004",0.103,0.160801,"te","Aaron, 2004",0.103,0.401,"ind","grp","Individual","Group","ind vs grp",2004,2.49376558603491,0.103,"CRAN",NA,NA,"CRAN"
"dmetar_TherapyFormats","dmetar","TherapyFormats","Differential Effects of Cognitive Behavioral Therapy Delivery Formats in Depressive Patients dataset","Breiman, 2001 2001",-0.085,0.266256,"te","Breiman, 2001",-0.085,0.516,"ind","gsh","Individual","Guided Self-Help","Breiman, 2001",2001,1.93798449612403,0.085,"CRAN",NA,NA,"CRAN"
"dmetar_TherapyFormats","dmetar","TherapyFormats","Differential Effects of Cognitive Behavioral Therapy Delivery Formats in Depressive Patients dataset","Lucero, 2001 2001",-0.052,0.25,"te","Lucero, 2001",-0.052,0.5,"ind","gsh","Individual","Guided Self-Help","ind vs gsh",2001,2,0.052,"CRAN",NA,NA,"CRAN"
"dmetar_TherapyFormats","dmetar","TherapyFormats","Differential Effects of Cognitive Behavioral Therapy Delivery Formats in Depressive Patients dataset","Amsberry, 2010 2010",-0.109,0.170569,"te","Amsberry, 2010",-0.109,0.413,"ind","gsh","Individual","Guided Self-Help","ind vs gsh",2010,2.42130750605327,0.109,"CRAN",NA,NA,"CRAN"
"dmetar_TherapyFormats","dmetar","TherapyFormats","Differential Effects of Cognitive Behavioral Therapy Delivery Formats in Depressive Patients dataset","Robinson, 2015 2015",-0.128,0.065536,"te","Robinson, 2015",-0.128,0.256,"ind","gsh","Individual","Guided Self-Help","ind vs gsh",2015,3.90625,0.128,"CRAN",NA,NA,"CRAN"
"dmetar_TherapyFormats","dmetar","TherapyFormats","Differential Effects of Cognitive Behavioral Therapy Delivery Formats in Depressive Patients dataset","Burgan, 2012 2012",-0.311,0.019321,"te","Burgan, 2012",-0.311,0.139,"ind","tel","Individual","Telephone","ind vs tel",2012,7.19424460431655,0.311,"CRAN",NA,NA,"CRAN"
