"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","model","metric","estimate","precision","abs_yi","source","repo","branch","repo_license"
"gh_DylanMG_DL-CC-sockeye_output_CV_loo_table_run2.csv","DylanMG","output/CV/loo_table_run2.csv","DylanMG / DL-CC-sockeye / output/CV/loo_table_run2.csv",1,-4851.40507694391,2316916.65851572,"estimate","elpd_loo.3","m3","elpd_loo",-4851.40507694391,0.000656968873968732,4851.40507694391,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_loo_table_run2.csv","DylanMG","output/CV/loo_table_run2.csv","DylanMG / DL-CC-sockeye / output/CV/loo_table_run2.csv",2,-4508.69755667202,1020296.81998488,"estimate","elpd_loo","m1","elpd_loo",-4508.69755667202,0.00099000350795139,4508.69755667202,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_loo_table_run2.csv","DylanMG","output/CV/loo_table_run2.csv","DylanMG / DL-CC-sockeye / output/CV/loo_table_run2.csv",3,-2347.65632122248,72310.394666057,"estimate","elpd_loo.1","m2a","elpd_loo",-2347.65632122248,0.00371877269971562,2347.65632122248,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_loo_table_run2.csv","DylanMG","output/CV/loo_table_run2.csv","DylanMG / DL-CC-sockeye / output/CV/loo_table_run2.csv",4,-2292.46663080373,68078.6048553788,"estimate","elpd_loo.2","m2b","elpd_loo",-2292.46663080373,0.00383261042381629,2292.46663080373,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_loo_table_run2.csv","DylanMG","output/CV/loo_table_run2.csv","DylanMG / DL-CC-sockeye / output/CV/loo_table_run2.csv",5,-2284.7474547463,84389.6866006127,"estimate","elpd_loo.5","m4b","elpd_loo",-2284.7474547463,0.00344235228253503,2284.7474547463,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_loo_table_run2.csv","DylanMG","output/CV/loo_table_run2.csv","DylanMG / DL-CC-sockeye / output/CV/loo_table_run2.csv",6,-2217.80925935881,90876.4818779517,"estimate","elpd_loo.4","m4a","elpd_loo",-2217.80925935881,0.00331721978599446,2217.80925935881,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_loo_table_run2.csv","DylanMG","output/CV/loo_table_run2.csv","DylanMG / DL-CC-sockeye / output/CV/loo_table_run2.csv",7,4435.61851871763,363505.927511807,"estimate","looic.4","m4a","looic",4435.61851871763,0.00165860989299723,4435.61851871763,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_loo_table_run2.csv","DylanMG","output/CV/loo_table_run2.csv","DylanMG / DL-CC-sockeye / output/CV/loo_table_run2.csv",8,4569.4949094926,337558.746402451,"estimate","looic.5","m4b","looic",4569.4949094926,0.00172117614126752,4569.4949094926,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_loo_table_run2.csv","DylanMG","output/CV/loo_table_run2.csv","DylanMG / DL-CC-sockeye / output/CV/loo_table_run2.csv",9,4584.93326160746,272314.419421514,"estimate","looic.2","m2b","looic",4584.93326160746,0.00191630521190815,4584.93326160746,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_loo_table_run2.csv","DylanMG","output/CV/loo_table_run2.csv","DylanMG / DL-CC-sockeye / output/CV/loo_table_run2.csv",10,4695.31264244496,289241.578664228,"estimate","looic.1","m2a","looic",4695.31264244496,0.00185938634985781,4695.31264244496,"GitHub","DL-CC-sockeye","main",NA
