"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","es_id","g","precalc_g","wf_1","wf_2","wf_3","wf_4","wf_5","wf_6","wf_7","wf_8","sample_size","1","notes","condition_arm1","condition_arm2","descr_arm1","descr_arm2","multi_arm1","multi_arm2","outcome_type","outcome_domain","time","time_weeks","instrument","rating","sample","mean_arm1","mean_arm2","sd_arm1","sd_arm2","n_arm1","n_arm2","baseline_m_arm1","baseline_sd_arm1","baseline_n_arm1","baseline_m_arm2","baseline_sd_arm2","baseline_n_arm2","dich","dich_type","event_arm1","event_arm2","totaln_arm1","totaln_arm2","change","mean_change_arm1","mean_change_arm2","sd_change_arm1","sd_change_arm2","n_change_arm1","n_change_arm2","other_statistic","precalc_g_se","rand_arm1","rand_arm2","n_drop_study1","n_drop_study2","year","comorbid_me0tal","format","format_spec","program_arm1","support","initial_screening","forum","n_sessions_planned","x0_sessio0s_received","country","income_level","age_group","mean_age","percent_women","recruitment","diagnosis","target_group","70","sg","ac","ba","itt","rob","other_target","reference","domain1_rob2","domain2_rob2","domain3_rob2","domain4_rob2","domain5_rob2","totalscore_rob2","selfguidedchecked","time_weeks_num","g_se","log_rr","log_rr_se","precision","abs_yi","source","repo","branch","repo_license"
"gh_cyplessen_multiverse-meta-analysis-depression_data_tidy_digDep_multiverse_data.csv","cyplessen","data/tidy/digDep_multiverse_data.csv","cyplessen / multiverse-meta-analysis-depression / data/tidy/digDep_multiverse_data.csv",1,0.222895083204483,0.105758238197262,"from_dataset",1,1,-0.222895083204483,NA,"website","minimal to no support","adul","not-cbt-based","wl","cut","some concerns","post",41,"1",NA,"other psy","wl","internet-based positive emotion skills","wl","other_psy","wl","msd","depression","post",7,"phq-8","self-report",1,14.78,15.92,5.048,4.957,26,15,15.46,7.39,26,15.46,5.62,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,15,0,1,2019,0,"ush",2,"Marigold",0,1,0,8,"7.5","us","high","adul",42.16,0.655,"com","cut","adul",NA,"1","?","sr","1",3,NA,"Addington, E. L.-.-C., E. O.-//-Bassett, S. M.-//-Kwok, I.-//-Schuette, S. A.-//-Shiu, E.-//-Yang, D.-//-Cohn, M. A.-//-Leykin, Y.-//-Saslow, L. R.-//-Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf","Some concerns","Low risk","Low risk","Low risk","Low risk","Some concerns","Guided checked",7,0.325204917240287,NA,NA,3.07498425450044,0.222895083204483,"GitHub","multiverse-meta-analysis-depression","main",NA
"gh_cyplessen_multiverse-meta-analysis-depression_data_tidy_digDep_multiverse_data.csv","cyplessen","data/tidy/digDep_multiverse_data.csv","cyplessen / multiverse-meta-analysis-depression / data/tidy/digDep_multiverse_data.csv",2,0.273497157464968,0.0981877657608451,"from_dataset",2,2,-0.273497157464968,NA,"website","minimal to no support","adul","not-cbt-based","other ctr","cut","some concerns","post",43,NA,NA,"other psy","other ctr","internet-based positive emotion skills","daily emotion reporting","other_psy","other_ctr","msd","depression","post",7,"phq-8","self-report",1,14.78,16.18,5.048,4.988,26,17,15.46,7.39,26,17.05,5.65,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,17,0,1,2019,0,"ush",2,"Marigold",0,1,0,8,"7.5","us","high","adul",42.16,0.655,"com","cut","adul",NA,"1","?","sr","1",3,NA,"Addington, E. L.-.-C., E. O.-//-Bassett, S. M.-//-Kwok, I.-//-Schuette, S. A.-//-Shiu, E.-//-Yang, D.-//-Cohn, M. A.-//-Leykin, Y.-//-Saslow, L. R.-//-Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf","Some concerns","Low risk","Low risk","Low risk","Low risk","Some concerns","Data not checked (irrelevant for multiverse)",7,0.313349271198841,NA,NA,3.19132703316688,0.273497157464968,"GitHub","multiverse-meta-analysis-depression","main",NA
"gh_cyplessen_multiverse-meta-analysis-depression_data_tidy_digDep_multiverse_data.csv","cyplessen","data/tidy/digDep_multiverse_data.csv","cyplessen / multiverse-meta-analysis-depression / data/tidy/digDep_multiverse_data.csv",3,0.320635611118938,0.106431929782948,"from_dataset",3,3,-0.320635611118938,NA,"website","minimal to no support","adul","not-cbt-based","wl","cut","some concerns","post",41,NA,NA,"other psy","wl","internet-based positive emotion skills","wl","other_psy","wl","msd","depression","post",7,"ces-d","self-report",1,24.63,27.93,10.15,9.99,26,15,24.03,11.12,26,25.42,10.99,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,15,0,1,2019,0,"ush",2,"Marigold",0,1,0,8,"7.5","us","high","adul",42.16,0.655,"com","cut","adul",NA,"1","?","sr","1",3,NA,"Addington, E. L.-.-C., E. O.-//-Bassett, S. M.-//-Kwok, I.-//-Schuette, S. A.-//-Shiu, E.-//-Yang, D.-//-Cohn, M. A.-//-Leykin, Y.-//-Saslow, L. R.-//-Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf","Some concerns","Low risk","Low risk","Low risk","Low risk","Some concerns",NA,7,0.326239068449731,NA,NA,3.06523680548728,0.320635611118938,"GitHub","multiverse-meta-analysis-depression","main",NA
"gh_cyplessen_multiverse-meta-analysis-depression_data_tidy_digDep_multiverse_data.csv","cyplessen","data/tidy/digDep_multiverse_data.csv","cyplessen / multiverse-meta-analysis-depression / data/tidy/digDep_multiverse_data.csv",4,0.213496282497596,0.0978351371981987,"from_dataset",4,4,-0.213496282497596,NA,"website","minimal to no support","adul","not-cbt-based","other ctr","cut","some concerns","post",43,NA,NA,"other psy","other ctr","internet-based positive emotion skills","daily emotion reporting","other_psy","other_ctr","msd","depression","post",7,"ces-d","self-report",1,24.63,26.83,10.15,10.06,26,17,24.03,11.12,26,26.41,11,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,17,0,1,2019,0,"ush",2,"Marigold",0,1,0,8,"7.5","us","high","adul",42.16,0.655,"com","cut","adul",NA,"1","?","sr","1",3,NA,"Addington, E. L.-.-C., E. O.-//-Bassett, S. M.-//-Kwok, I.-//-Schuette, S. A.-//-Shiu, E.-//-Yang, D.-//-Cohn, M. A.-//-Leykin, Y.-//-Saslow, L. R.-//-Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf","Some concerns","Low risk","Low risk","Low risk","Low risk","Some concerns",NA,7,0.312786088562453,NA,NA,3.19707313261898,0.213496282497596,"GitHub","multiverse-meta-analysis-depression","main",NA
"gh_cyplessen_multiverse-meta-analysis-depression_data_tidy_digDep_multiverse_data.csv","cyplessen","data/tidy/digDep_multiverse_data.csv","cyplessen / multiverse-meta-analysis-depression / data/tidy/digDep_multiverse_data.csv",5,1.29338505291345,0.0521600370027752,"from_dataset",5,5,-1.29338505291345,-1.29338505291345,"website","guided","adul","cbt-based","wl","cut","high risk","post",NA,"1",NA,"cbt","wl",NA,NA,NA,NA,"other stat","depression","post",12,"bdi-1","self-report",0,NA,NA,NA,NA,NA,NA,25.59,6.37,47,24.57,4.72,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(F1,81=39.54; P<0.001; 95% CI, 4.12-7.93)",0.228385719787326,47,46,4,5,2016,0,"gsh",2,"icbt",5,0,0,12,NA,"oth","upper middle","adul",NA,NA,"com","cut","adul",NA,"?","?","sr","?",1,NA,"Alavi, N.-.-H., A.-//-Sutton, C.-//-Naeem, F. Online CBT Is Effective in Overcoming Cultural and Language Barriers in Patients With Depression. J Psychiatr Pract, 22(1), 2-8. https://pubmed.ncbi.nlm.nih.gov/26813483/","Some concerns","High risk","Some concerns","Low risk","Some concerns","High risk",NA,12,0.228385719787326,NA,NA,4.37855747255654,1.29338505291345,"GitHub","multiverse-meta-analysis-depression","main",NA
"gh_cyplessen_multiverse-meta-analysis-depression_data_tidy_digDep_multiverse_data.csv","cyplessen","data/tidy/digDep_multiverse_data.csv","cyplessen / multiverse-meta-analysis-depression / data/tidy/digDep_multiverse_data.csv",6,1.37473022565378,0.0533464384828862,"from_dataset",6,6,-1.37473022565378,-1.37473022565378,"website","guided","adul","cbt-based","wl","cut","high risk","follow-up",NA,NA,NA,"cbt","wl",NA,NA,NA,NA,"other stat","depression","fu1",24,"bdi-1","self-report",0,NA,NA,NA,NA,NA,NA,25.59,6.37,47,24.57,4.72,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(F1,81=44.67; P<0.001; 95% CI, 4.40-8.12)",0.230968479414153,47,46,5,5,2016,0,"gsh",2,"icbt",5,0,0,12,NA,"oth","upper middle","adul",NA,NA,"com","cut","adul",NA,"?","?","sr","?",1,NA,"Alavi, N.-.-H., A.-//-Sutton, C.-//-Naeem, F. Online CBT Is Effective in Overcoming Cultural and Language Barriers in Patients With Depression. J Psychiatr Pract, 22(1), 2-8. https://pubmed.ncbi.nlm.nih.gov/26813483/","Some concerns","High risk","Some concerns","Low risk","Some concerns","High risk",NA,24,0.230968479414153,NA,NA,4.32959511417523,1.37473022565378,"GitHub","multiverse-meta-analysis-depression","main",NA
"gh_cyplessen_multiverse-meta-analysis-depression_data_tidy_digDep_multiverse_data.csv","cyplessen","data/tidy/digDep_multiverse_data.csv","cyplessen / multiverse-meta-analysis-depression / data/tidy/digDep_multiverse_data.csv",7,0.954452252023103,0.0536431149355283,"from_dataset",7,7,-0.954452252023103,NA,"website","guided","adul","cbt-based","other ctr","cut","some concerns","post",85,"1",NA,"cbt","other ctr","icbt","web-discussion group/wl",NA,NA,"msd","depression","post",10,"bdi-1","self-report",0,12.2,19.5,6.8,8.1,36,49,20.5,6.7,36,20.9,8.5,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,60,21,11,2005,0,"gsh",2,"icbt",5,0,1,5,"3.7","eu","high","adul",36.34,0.74,"com","cut","adul",NA,"1","1","sr","0",3,NA,"Andersson G, Bergström J, Holländare F, Carlbring P, Kaldo V, Ekselius L. Internet-based self-help for depression: Randomised controlled trial. British Journal of Psychiatry. 2005;187(5):456-61.","Low risk","Low risk","Some concerns","Low risk","Some concerns","Some concerns",NA,10,0.231609833417168,NA,NA,4.3176059722768,0.954452252023103,"GitHub","multiverse-meta-analysis-depression","main",NA
"gh_cyplessen_multiverse-meta-analysis-depression_data_tidy_digDep_multiverse_data.csv","cyplessen","data/tidy/digDep_multiverse_data.csv","cyplessen / multiverse-meta-analysis-depression / data/tidy/digDep_multiverse_data.csv",8,0.789966088247678,0.0519242593303709,"from_dataset",8,8,-0.789966088247678,NA,"website","guided","adul","cbt-based","other ctr","cut","some concerns","post",85,NA,NA,"cbt","other ctr","icbt","web-discussion group/wl",NA,NA,"msd","depression","post",10,"madrs-s","self-report",0,12.7,19,8.3,7.6,36,49,20.1,5.7,36,21.6,7.2,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,60,21,11,2005,0,"gsh",2,"icbt",5,0,1,5,"3.7","eu","high","adul",36.34,0.74,"com","cut","adul",NA,"1","1","sr","0",3,NA,"Andersson G, Bergström J, Holländare F, Carlbring P, Kaldo V, Ekselius L. Internet-based self-help for depression: Randomised controlled trial. British Journal of Psychiatry. 2005;187(5):456-61.","Low risk","Low risk","Some concerns","Low risk","Some concerns","Some concerns",NA,10,0.227868952098286,NA,NA,4.38848728969743,0.789966088247678,"GitHub","multiverse-meta-analysis-depression","main",NA
"gh_cyplessen_multiverse-meta-analysis-depression_data_tidy_digDep_multiverse_data.csv","cyplessen","data/tidy/digDep_multiverse_data.csv","cyplessen / multiverse-meta-analysis-depression / data/tidy/digDep_multiverse_data.csv",9,0.296584572173102,0.00695479387873359,"from_dataset",9,9,-0.296584572173102,NA,"mobile","guided","med","cbt-based","cau","cut","some concerns","post",NA,"1",NA,"bat","cau","i-bat","gp","Sao Paulo",NA,"response (50%)","depression","post",12,"phq-9","self-report",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"response","50% reduction of baseline",159,114,391,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,440,440,49,41,2021,0,"gsh",1,"COnEMO",5,1,0,18,NA,"oth","upper middle","adul",56,0.859,"oth","cut","med",NA,"1","?","sr","1",3,NA,"Araya, R., Menezes, P. R., Claro, H. G., Brandt, L. R., Daley, K. L., Quayle, J., Diez-Canseco, F., Peters, T. J., Vera Cruz, D., Toyama, M., Aschar, S., Hidalgo-Padilla, L., Martins, H., Cavero, V., Rocha, T., Scotton, G., de Almeida Lopes, I. F., Begale, M., Mohr, D. C., & Miranda, J. J. (2021, May 11). Effect of a Digital Intervention on Depressive Symptoms in Patients With Comorbid Hypertension or Diabetes in Brazil and Peru: Two Randomized Clinical Trials. Jama, 325(18), 1852-1862. https://doi.org/10.1001/jama.2021.4348 
","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns",NA,12,0.0833954068203615,0.352959610730234,0.0999871370700671,11.9910680710996,0.296584572173102,"GitHub","multiverse-meta-analysis-depression","main",NA
"gh_cyplessen_multiverse-meta-analysis-depression_data_tidy_digDep_multiverse_data.csv","cyplessen","data/tidy/digDep_multiverse_data.csv","cyplessen / multiverse-meta-analysis-depression / data/tidy/digDep_multiverse_data.csv",10,0.129499660200345,0.00659344613895575,"from_dataset",10,10,-0.129499660200345,NA,"mobile","guided","med","cbt-based","cau","cut","some concerns","follow-up",NA,NA,NA,"bat","cau","i-bat","gp","Sao Paulo",NA,"response (50%)","depression","fu1",24,"phq-9","self-report",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"response","50% reduction of baseline",173,153,375,379,NA,NA,NA,NA,NA,NA,NA,NA,NA,440,440,65,61,2021,0,"gsh",1,"COnEMO",5,1,0,18,NA,"oth","upper middle","adul",56,0.859,"oth","cut","med",NA,"1","?","sr","1",3,NA,"Araya, R., Menezes, P. R., Claro, H. G., Brandt, L. R., Daley, K. L., Quayle, J., Diez-Canseco, F., Peters, T. J., Vera Cruz, D., Toyama, M., Aschar, S., Hidalgo-Padilla, L., Martins, H., Cavero, V., Rocha, T., Scotton, G., de Almeida Lopes, I. F., Begale, M., Mohr, D. C., & Miranda, J. J. (2021, May 11). Effect of a Digital Intervention on Depressive Symptoms in Patients With Comorbid Hypertension or Diabetes in Brazil and Peru: Two Randomized Clinical Trials. Jama, 325(18), 1852-1862. https://doi.org/10.1001/jama.2021.4348 
","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns",NA,24,0.0812000378014429,0.133463852217359,0.0837323440441043,12.3152652027735,0.129499660200345,"GitHub","multiverse-meta-analysis-depression","main",NA
