"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","parameter","estimate","p","or","precision","abs_yi","source","repo","branch","repo_license"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",1,9.76,0.7569,"estimate","Rate: 2005-2006",9.76,"<.001","-",1.14942528735632,9.76,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",2,9.95,1.2321,"estimate","Rate: 2006-2007",9.95,"<.001","-",0.900900900900901,9.95,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",3,8.64,0.4624,"estimate","Rate: 2007-2008",8.64,"<.001","-",1.47058823529412,8.64,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",4,-3.45,0.09,"estimate","Outdegree",-3.45,"<.001","0.03",3.33333333333333,3.45,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",5,1.23,0.09,"estimate","Reciprocity",1.23,"<.001","3.42",3.33333333333333,1.23,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",6,0.33,0.0016,"estimate","Indegree popularity (sqrt)",0.33,"<.001","1.39",25,0.33,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",7,-0.07,0.0081,"estimate","Outdegree popularity (sqrt)",-0.07,"0.447","0.93",11.1111111111111,0.07,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",8,0.07,0.0025,"estimate","Outdegree activity (sqrt)",0.07,"0.136","1.07",20,0.07,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",9,0.08,0.01,"estimate","Female alter",0.08,"0.405","1.08",10,0.08,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",10,0.34,0.01,"estimate","Female ego",0.34,"<.001","1.4",10,0.34,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",11,0.25,0.01,"estimate","Female same",0.25,"0.01","1.28",10,0.25,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",12,0.38,0.0361,"estimate","Female same reciprocity",0.38,"0.043","1.47",5.26315789473684,0.38,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",13,-0.26,0.0121,"estimate","democrat alter",-0.26,"0.016","0.77",9.09090909090909,0.26,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",14,0.22,0.0121,"estimate","democrat ego",0.22,"0.038","1.24",9.09090909090909,0.22,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",15,0.91,0.01,"estimate","democrat same",0.91,"<.001","2.49",10,0.91,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",16,-0.65,0.0784,"estimate","democrat same reciprocity",-0.65,"0.019","0.52",3.57142857142857,0.65,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",17,0.01,1e-04,"estimate","Prior years alter",0.01,"0.247","1.01",100,0.01,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",18,0.01,1e-04,"estimate","Prior years ego",0.01,"0.082","1.01",100,0.01,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",19,0.35,0.0484,"estimate","Prior years similarity",0.35,"0.109","1.42",4.54545454545455,0.35,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",20,0.05,0.0081,"estimate","Senator ego",0.05,"0.541","1.06",11.1111111111111,0.05,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",21,-0.03,0.0169,"estimate","Leader alter",-0.03,"0.833","0.97",7.69230769230769,0.03,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",22,-0.1,0.0196,"estimate","Leader ego",-0.1,"0.472","0.91",7.14285714285714,0.1,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
"gh_danielRedhead_alliance-cooperation-Utah_2-manuscript_tables_table-1.csv","danielRedhead","2-manuscript/tables/table-1.csv","danielRedhead / alliance-cooperation-Utah / 2-manuscript/tables/table-1.csv",23,0.16,0.0169,"estimate","Leader same",0.16,"0.225","1.17",7.69230769230769,0.16,"GitHub","alliance-cooperation-Utah","main","CC0-1.0"
