"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","lhs","op","rhs","est","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label","precision","abs_yi","source","repo","branch","repo_license"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_ReC_struct_pEsts1.csv","lhbikos","Worked_Examples/ReC_struct_pEsts1.csv","lhbikos / ReC_Psychometrics / Worked_Examples/ReC_struct_pEsts1.csv",1,1,0,"est",1,"CTR","=~","CEN",1,NA,"[1.000, 1.000]","1.000",1,0,NA,"[1.000, 1.000]","1.000","CTR.BY.CEN",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_ReC_struct_pEsts1.csv","lhbikos","Worked_Examples/ReC_struct_pEsts1.csv","lhbikos / ReC_Psychometrics / Worked_Examples/ReC_struct_pEsts1.csv",2,1,0,"est",2,"TrP","=~","ClearResponsibilities",1,NA,"[1.000, 1.000]","1.000",0.824,0.036,0,"[0.754, 0.894]","0.824***","TrP.BY.ClearResponsibilities",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_ReC_struct_pEsts1.csv","lhbikos","Worked_Examples/ReC_struct_pEsts1.csv","lhbikos / ReC_Psychometrics / Worked_Examples/ReC_struct_pEsts1.csv",3,1.259,0.010404,"est",3,"TrP","=~","EffectiveAnswers",1.259,0,"[1.058, 1.460]","1.259***",0.916,0.024,0,"[0.869, 0.962]","0.916***","TrP.BY.EffectiveAnswers",9.80392156862745,1.259,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_ReC_struct_pEsts1.csv","lhbikos","Worked_Examples/ReC_struct_pEsts1.csv","lhbikos / ReC_Psychometrics / Worked_Examples/ReC_struct_pEsts1.csv",4,0.939,0.017689,"est",4,"TrP","=~","Feedback",0.939,0,"[0.678, 1.200]","0.939***",0.623,0.062,0,"[0.502, 0.744]","0.623***","TrP.BY.Feedback",7.5187969924812,0.939,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_ReC_struct_pEsts1.csv","lhbikos","Worked_Examples/ReC_struct_pEsts1.csv","lhbikos / ReC_Psychometrics / Worked_Examples/ReC_struct_pEsts1.csv",5,1.402,0.024025,"est",5,"TrP","=~","ClearOrganization",1.402,0,"[1.098, 1.706]","1.402***",0.761,0.045,0,"[0.672, 0.849]","0.761***","TrP.BY.ClearOrganization",6.45161290322581,1.402,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_ReC_struct_pEsts1.csv","lhbikos","Worked_Examples/ReC_struct_pEsts1.csv","lhbikos / ReC_Psychometrics / Worked_Examples/ReC_struct_pEsts1.csv",6,1.377,0.019881,"est",6,"TrP","=~","ClearPresentation",1.377,0,"[1.100, 1.653]","1.377***",0.81,0.038,0,"[0.735, 0.885]","0.810***","TrP.BY.ClearPresentation",7.09219858156028,1.377,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_ReC_struct_pEsts1.csv","lhbikos","Worked_Examples/ReC_struct_pEsts1.csv","lhbikos / ReC_Psychometrics / Worked_Examples/ReC_struct_pEsts1.csv",7,1,0,"est",7,"SRP","=~","InclusvClassrm",1,NA,"[1.000, 1.000]","1.000",0.857,0.041,0,"[0.777, 0.937]","0.857***","SRP.BY.InclusvClassrm",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_ReC_struct_pEsts1.csv","lhbikos","Worked_Examples/ReC_struct_pEsts1.csv","lhbikos / ReC_Psychometrics / Worked_Examples/ReC_struct_pEsts1.csv",8,0.732,0.0081,"est",8,"SRP","=~","EquitableEval",0.732,0,"[0.556, 0.908]","0.732***",0.725,0.054,0,"[0.619, 0.831]","0.725***","SRP.BY.EquitableEval",11.1111111111111,0.732,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_ReC_struct_pEsts1.csv","lhbikos","Worked_Examples/ReC_struct_pEsts1.csv","lhbikos / ReC_Psychometrics / Worked_Examples/ReC_struct_pEsts1.csv",9,1.132,0.017161,"est",9,"SRP","=~","MultPerspectives",1.132,0,"[0.875, 1.390]","1.132***",0.794,0.048,0,"[0.700, 0.887]","0.794***","SRP.BY.MultPerspectives",7.63358778625954,1.132,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_ReC_struct_pEsts1.csv","lhbikos","Worked_Examples/ReC_struct_pEsts1.csv","lhbikos / ReC_Psychometrics / Worked_Examples/ReC_struct_pEsts1.csv",10,1.012,0.014161,"est",10,"SRP","=~","DEIintegration",1.012,0,"[0.779, 1.246]","1.012***",0.771,0.051,0,"[0.672, 0.870]","0.771***","SRP.BY.DEIintegration",8.40336134453782,1.012,"GitHub","ReC_Psychometrics","main",NA
