"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","lhs","op","rhs","est","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","precision","abs_yi","source","repo","branch","repo_license"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",1,1,0,"est",1,"TradPed","=~","ClearResponsibilities",1,NA,"[1.000, 1.000]","1.000",0.764,0.032,0,"[0.701, 0.828]","0.764***",1,"CPY","TradPed.BY.ClearResponsibilities.CPY",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",2,1.017,0.007569,"est",2,"TradPed","=~","EffectiveAnswers",1.017,0,"[0.846, 1.188]","1.017***",0.782,0.031,0,"[0.722, 0.842]","0.782***",1,"CPY","TradPed.BY.EffectiveAnswers.CPY",11.4942528735632,1.017,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",3,1.048,0.009604,"est",3,"TradPed","=~","Feedback",1.048,0,"[0.855, 1.241]","1.048***",0.724,0.037,0,"[0.653, 0.796]","0.724***",1,"CPY","TradPed.BY.Feedback.CPY",10.2040816326531,1.048,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",4,1.393,0.014641,"est",4,"TradPed","=~","ClearOrganization",1.393,0,"[1.156, 1.629]","1.393***",0.775,0.031,0,"[0.714, 0.837]","0.775***",1,"CPY","TradPed.BY.ClearOrganization.CPY",8.26446280991736,1.393,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",5,1.38,0.011025,"est",5,"TradPed","=~","ClearPresentation",1.38,0,"[1.174, 1.586]","1.380***",0.865,0.022,0,"[0.822, 0.907]","0.865***",1,"CPY","TradPed.BY.ClearPresentation.CPY",9.52380952380952,1.38,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",6,1,0,"est",6,"Valued","=~","ValObjectives",1,NA,"[1.000, 1.000]","1.000",0.603,0.05,0,"[0.505, 0.701]","0.603***",1,"CPY","Valued.BY.ValObjectives.CPY",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",7,1.96,0.051076,"est",7,"Valued","=~","IncrUnderstanding",1.96,0,"[1.516, 2.403]","1.960***",0.82,0.031,0,"[0.759, 0.881]","0.820***",1,"CPY","Valued.BY.IncrUnderstanding.CPY",4.42477876106195,1.96,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",8,2.251,0.067081,"est",8,"Valued","=~","IncrInterest",2.251,0,"[1.743, 2.758]","2.251***",0.823,0.031,0,"[0.763, 0.884]","0.823***",1,"CPY","Valued.BY.IncrInterest.CPY",3.86100386100386,2.251,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",9,1,0,"est",9,"SCRPed","=~","MultPerspectives",1,NA,"[1.000, 1.000]","1.000",0.875,0.025,0,"[0.826, 0.923]","0.875***",1,"CPY","SCRPed.BY.MultPerspectives.CPY",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",10,0.83,0.003721,"est",10,"SCRPed","=~","InclusvClassrm",0.83,0,"[0.712, 0.949]","0.830***",0.812,0.03,0,"[0.753, 0.871]","0.812***",1,"CPY","SCRPed.BY.InclusvClassrm.CPY",16.3934426229508,0.83,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",11,0.736,0.005184,"est",11,"SCRPed","=~","DEIintegration",0.736,0,"[0.595, 0.878]","0.736***",0.656,0.045,0,"[0.568, 0.744]","0.656***",1,"CPY","SCRPed.BY.DEIintegration.CPY",13.8888888888889,0.736,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",12,0.59,0.003136,"est",12,"SCRPed","=~","EquitableEval",0.59,0,"[0.480, 0.700]","0.590***",0.671,0.043,0,"[0.586, 0.756]","0.671***",1,"CPY","SCRPed.BY.EquitableEval.CPY",17.8571428571429,0.59,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",13,0.185,9e-04,"est",13,"TradPed","~~","Valued",0.185,0,"[0.127, 0.243]","0.185***",0.885,0.03,0,"[0.826, 0.943]","0.885***",1,"CPY","TradPed.WITH.Valued.CPY",33.3333333333333,0.185,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",14,0.329,0.002025,"est",14,"TradPed","~~","SCRPed",0.329,0,"[0.242, 0.417]","0.329***",0.833,0.032,0,"[0.769, 0.896]","0.833***",1,"CPY","TradPed.WITH.SCRPed.CPY",22.2222222222222,0.329,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",15,0.16,0.000784,"est",15,"Valued","~~","SCRPed",0.16,0,"[0.105, 0.215]","0.160***",0.653,0.054,0,"[0.546, 0.759]","0.653***",1,"CPY","Valued.WITH.SCRPed.CPY",35.7142857142857,0.16,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",16,0.24,0.000729,"est",16,"ClearResponsibilities","~~","ClearResponsibilities",0.24,0,"[0.187, 0.293]","0.240***",0.416,0.05,0,"[0.319, 0.513]","0.416***",1,"CPY","Variances.ClearResponsibilities.CPY",37.037037037037,0.24,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_configural_paramEsts.csv","lhbikos","Worked_Examples/configural_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/configural_paramEsts.csv",17,0.221,0.000625,"est",17,"EffectiveAnswers","~~","EffectiveAnswers",0.221,0,"[0.172, 0.271]","0.221***",0.388,0.048,0,"[0.295, 0.482]","0.388***",1,"CPY","Variances.EffectiveAnswers.CPY",40,0.221,"GitHub","ReC_Psychometrics","main",NA
