"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","lhs","op","rhs","est","confint","est_sig","est_std","se_std","confint_std","est_sig_std","label","precision","abs_yi","source","repo","branch","repo_license"
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_corrF_paramEsts.csv","lhbikos","Worked_Examples/corrF_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/corrF_paramEsts.csv",1,1,0,"est",1,"TradPed","=~","ClearResponsibilities",1,"[1.000, 1.000]","1.000",0.826,0.023,"[0.781, 0.870]","0.826***","TradPed.BY.ClearResponsibilities",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_corrF_paramEsts.csv","lhbikos","Worked_Examples/corrF_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/corrF_paramEsts.csv",2,1.015,0.004225,"est",2,"TradPed","=~","EffectiveAnswers",1.015,"[0.888, 1.143]","1.015***",0.815,0.024,"[0.768, 0.861]","0.815***","TradPed.BY.EffectiveAnswers",15.3846153846154,1.015,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_corrF_paramEsts.csv","lhbikos","Worked_Examples/corrF_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/corrF_paramEsts.csv",3,1.01,0.005625,"est",3,"TradPed","=~","Feedback",1.01,"[0.864, 1.157]","1.010***",0.735,0.031,"[0.674, 0.795]","0.735***","TradPed.BY.Feedback",13.3333333333333,1.01,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_corrF_paramEsts.csv","lhbikos","Worked_Examples/corrF_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/corrF_paramEsts.csv",4,1.295,0.007396,"est",4,"TradPed","=~","ClearOrganization",1.295,"[1.127, 1.463]","1.295***",0.797,0.025,"[0.747, 0.847]","0.797***","TradPed.BY.ClearOrganization",11.6279069767442,1.295,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_corrF_paramEsts.csv","lhbikos","Worked_Examples/corrF_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/corrF_paramEsts.csv",5,1.204,0.005184,"est",5,"TradPed","=~","ClearPresentation",1.204,"[1.062, 1.345]","1.204***",0.853,0.02,"[0.813, 0.892]","0.853***","TradPed.BY.ClearPresentation",13.8888888888889,1.204,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_corrF_paramEsts.csv","lhbikos","Worked_Examples/corrF_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/corrF_paramEsts.csv",6,1,0,"est",6,"Valued","=~","ValObjectives",1,"[1.000, 1.000]","1.000",0.557,0.048,"[0.463, 0.651]","0.557***","Valued.BY.ValObjectives",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_corrF_paramEsts.csv","lhbikos","Worked_Examples/corrF_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/corrF_paramEsts.csv",7,1.942,0.049729,"est",7,"Valued","=~","IncrUnderstanding",1.942,"[1.505, 2.378]","1.942***",0.786,0.032,"[0.724, 0.849]","0.786***","Valued.BY.IncrUnderstanding",4.48430493273543,1.942,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_corrF_paramEsts.csv","lhbikos","Worked_Examples/corrF_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/corrF_paramEsts.csv",8,2.438,0.074529,"est",8,"Valued","=~","IncrInterest",2.438,"[1.903, 2.973]","2.438***",0.844,0.029,"[0.788, 0.900]","0.844***","Valued.BY.IncrInterest",3.66300366300366,2.438,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_corrF_paramEsts.csv","lhbikos","Worked_Examples/corrF_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/corrF_paramEsts.csv",9,1,0,"est",9,"SCRPed","=~","MultPerspectives",1,"[1.000, 1.000]","1.000",0.846,0.026,"[0.795, 0.896]","0.846***","SCRPed.BY.MultPerspectives",NA,1,"GitHub","ReC_Psychometrics","main",NA
"gh_lhbikos_ReC_Psychometrics_Worked_Examples_corrF_paramEsts.csv","lhbikos","Worked_Examples/corrF_paramEsts.csv","lhbikos / ReC_Psychometrics / Worked_Examples/corrF_paramEsts.csv",10,0.622,0.002809,"est",10,"SCRPed","=~","InclusvClassrm",0.622,"[0.518, 0.727]","0.622***",0.682,0.038,"[0.608, 0.757]","0.682***","SCRPed.BY.InclusvClassrm",18.8679245283019,0.622,"GitHub","ReC_Psychometrics","main",NA
