study,treatment,diff,std.err
Anderson1985,CBT,-0.7568,0.234
Anderson1985,Placebo,NA,NA
Bailey2014,CBT,-0.9915,0.298
Bailey2014,WLC,NA,NA
Calderon1988,CBT,-1.005,0.232
Calderon1988,WLC,NA,NA
Caldwell1981,PDT,-0.5061,0.195
Caldwell1981,WLC,NA,NA
Carpenter2016,CBT,-1.005,0.252
Carpenter2016,WLC,NA,NA
Cummings2012,PDT,-0.4964,0.349
Cummings2012,WLC,NA,NA
Dawson2006,CBT,-0.7504,0.274
Dawson2006,Placebo,NA,NA
Day2005,PDT,-0.4961,0.376
Day2005,WLC,NA,NA
Farmer2014,CBT,-1.0018,0.257
Farmer2014,WLC,NA,NA
Ferguson1988,CBT,-1.0061,0.325
Ferguson1988,WLC,NA,NA
Fields1980,CBT,-0.7432,0.313
Fields1980,Placebo,NA,NA
Fraser1990,PDT,-0.5066,0.3758
Fraser1990,CBT,-1.0074,0.4669
Fraser1990,SUP,-0.3045,0.4669
Fraser1990,WLC,NA,0.4002
George2006,IPT,-0.9,0.284
George2006,WLC,NA,NA
Gibbs1993,SUP,0.0047,0.208
Gibbs1993,TAU,NA,NA
Gordon1993,PDT,-0.4913,0.18
Gordon1993,WLC,NA,NA
Grant2008,IPT,-0.654,0.127
Grant2008,Placebo,NA,NA
Hammond1980,PDT,-0.2411,0.126
Hammond1980,Placebo,NA,NA
Harrington1983,PST,-0.7937,0.265
Harrington1983,WLC,NA,NA
Hubbard1999,IPT,0.1068,0.302
Hubbard1999,CBT,NA,NA
Lawson2004,PDT,-0.1955,0.366
Lawson2004,TAU,NA,NA
Lee1981,CBT,-0.6906,0.249
Lee1981,SUP,NA,NA
Leon2001,PDT,0.4912,0.237
Leon2001,CBT,NA,NA
Lyons2012,CBT,-0.0982,0.1
Lyons2012,IPT,NA,NA
Mason2015,CBT,-0.1966,0.271
Mason2015,PST,NA,NA
Mills2010,CBT,-1.0026,0.237
Mills2010,WLC,NA,NA
Morgan1982,IPT,-0.5945,0.132
Morgan1982,TAU,NA,NA
Nichols2003,PST,-0.8062,0.369
Nichols2003,WLC,NA,NA
Oliver1991,CBT,-1.0033,0.291
Oliver1991,WLC,NA,NA
Padilla1998,CBT,-0.1045,0.317
Padilla1998,IPT,NA,NA
Patel1983,CBT,-0.7044,0.11
Patel1983,SUP,NA,NA
Patterson1995,CBT,-1.0036,0.134
Patterson1995,WLC,NA,NA
Phillips2002,PDT,-0.5053,0.148
Phillips2002,WLC,NA,NA
Porter1991,PDT,-0.1923,0.191
Porter1991,SUP,NA,NA
Richards1992,CBT,-0.9919,0.196
Richards1992,WLC,NA,NA
Richardson1983,PST,-0.8055,0.371
Richardson1983,WLC,NA,NA
Schultz1986,CBT,-0.7008,0.338
Schultz1986,SUP,NA,NA
Scott1980,PST,-0.8025,0.261
Scott1980,WLC,NA,NA
Snyder2010,PDT,-0.2096,0.326
Snyder2010,SUP,NA,NA
Solis2012,IPT,0.0952,0.376
Solis2012,CBT,NA,NA
Stevens1997,PST,-0.4916,0.148
Stevens1997,SUP,NA,NA
Stone1993,CBT,-0.6941,0.376
Stone1993,TAU,NA,NA
Stuart1991,SUP,-0.3049,0.194
Stuart1991,WLC,NA,NA
Vaughn1984,CBT,-0.6972,0.11
Vaughn1984,TAU,NA,NA
Walker1981,CBT,-1.0001,0.213
Walker1981,WLC,NA,NA
Webster2014,PDT,-0.2018,0.153
Webster2014,SUP,NA,NA
Weston2001,CBT,-0.9926,0.343
Weston2001,WLC,NA,NA
Wilkerson2015,CBT,-0.2045,0.2
Wilkerson2015,PST,NA,NA
Woods2001,CBT,-0.9975,0.262
Woods2001,WLC,NA,NA
Zimmerman2004,CBT,-0.999,0.123
Zimmerman2004,WLC,NA,NA
