trial,author,year,ni,outcome,yi,vi,v1i,v2i
1,Pihlstrom et al.,1983,14,PD,0.47,0.0075,0.0075,0.003
1,Pihlstrom et al.,1983,14,AL,-0.32,0.0077,0.003,0.0077
2,Lindhe et al.,1982,15,PD,0.2,0.0057,0.0057,9e-4
2,Lindhe et al.,1982,15,AL,-0.6,8e-4,9e-4,8e-4
3,Knowles et al.,1979,78,PD,0.4,0.0021,0.0021,7e-4
3,Knowles et al.,1979,78,AL,-0.12,0.0014,7e-4,0.0014
4,Ramfjord et al.,1987,89,PD,0.26,0.0029,0.0029,9e-4
4,Ramfjord et al.,1987,89,AL,-0.31,0.0015,9e-4,0.0015
5,Becker et al.,1988,16,PD,0.56,0.0148,0.0148,0.0072
5,Becker et al.,1988,16,AL,-0.39,0.0304,0.0072,0.0304
