article,experiment,sample,id,pairing,yi,vi,ni,stimuli,condition,gen_difficulty,manip_type,present_style,word_status,memory_test,memory_type,gen_constraint,learning_type,stimuli_relation,gen_mode,gen_task,attention,pacing,filler_task,age_grp,retention_delay
12,1,1,1,1,0.879,6.843708867755462e-4,12,20,generate,NA,between,pure,words,recognition,item,medium,intentional,semantic,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,2,2,1,0.713,0.0014039186561300963,12,20,read,NA,between,pure,words,recognition,item,NA,intentional,semantic,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,1,3,2,0.906,5.798469452427265e-4,12,20,generate,NA,between,pure,words,recognition,item,high,intentional,category,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,2,4,2,0.684,0.0015094736072954168,12,20,read,NA,between,pure,words,recognition,item,NA,intentional,category,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,1,5,3,0.842,8.400092027921113e-4,12,20,generate,NA,between,pure,words,recognition,item,high,intentional,antonym,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,2,6,3,0.753,0.0012378716067767352,12,20,read,NA,between,pure,words,recognition,item,NA,intentional,antonym,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,1,7,4,0.893,6.290870670465721e-4,12,20,generate,NA,between,pure,words,recognition,item,high,intentional,synonym,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,2,8,4,0.697,0.0014640615062216072,12,20,read,NA,between,pure,words,recognition,item,NA,intentional,synonym,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,1,9,5,0.733,0.001323237691523875,12,20,generate,NA,between,pure,words,recognition,item,high,intentional,rhyme,verbal/speaking,word stem,full,NA,no,younger,immediate
12,1,2,10,5,0.643,0.0016279762797660477,12,20,read,NA,between,pure,words,recognition,item,NA,intentional,rhyme,verbal/speaking,word stem,full,NA,no,younger,immediate
12,2,1,11,6,0.838,0.001123505320924178,12,10,generate,NA,within,pure,words,recognition,item,medium,intentional,semantic,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,12,6,0.652,0.0021035569343859175,12,10,read,NA,within,pure,words,recognition,item,NA,NA,semantic,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,13,7,0.872,9.339452639665274e-4,12,10,generate,NA,within,pure,words,recognition,item,high,NA,category,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,14,7,0.665,0.0020562531258522076,12,10,read,NA,within,pure,words,recognition,item,NA,NA,category,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,15,8,0.878,9.01948106343916e-4,12,10,generate,NA,within,pure,words,recognition,item,high,NA,antonym,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,16,8,0.699,0.0019086855683792825,12,10,read,NA,within,pure,words,recognition,item,NA,NA,antonym,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,17,9,0.871,9.393257485055417e-4,12,10,generate,NA,within,pure,words,recognition,item,high,NA,synonym,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,18,9,0.677,0.0020078759855310115,12,10,read,NA,within,pure,words,recognition,item,NA,NA,synonym,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,19,10,0.741,0.0016895931628799316,12,10,generate,NA,within,pure,words,recognition,item,high,NA,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
12,2,1,20,10,0.548,0.0022512251455847287,12,10,read,NA,within,pure,words,recognition,item,NA,NA,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
12,3,1,21,11,0.521,0.0015209006357472798,12,33,generate,NA,within,pure,words,recognition,cue word,high,NA,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
12,3,1,22,11,0.492,0.0014730943606863231,12,33,read,NA,within,pure,words,recognition,cue word,NA,NA,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
12,3,2,23,12,0.711,0.0012691384823811562,12,33,generate,NA,within,pure,words,recognition,item,high,NA,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
12,3,2,24,12,0.533,0.0015340392979439387,12,33,read,NA,within,pure,words,recognition,item,NA,NA,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
13,1,1,25,13,0.354,0.0014680082872462336,20,8,generate,NA,within,pure,words,free recall,item,medium,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,immediate
13,1,1,26,13,0.151,4.4631451200358553e-4,20,8,read,NA,within,pure,words,free recall,item,NA,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,immediate
13,1,1,27,14,0.361,0.0015085934111661549,20,8,generate,NA,within,pure,words,free recall,item,medium,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,immediate
13,1,1,28,14,0.21,6.831709405144533e-4,20,8,read,NA,within,pure,words,free recall,item,NA,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,immediate
13,2,1,29,15,0.302,8.309576103967872e-4,20,16,generate,NA,between,pure,words,free recall,item,medium,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,immediate
13,2,2,30,15,0.162,3.4640915911671985e-4,20,16,read,NA,between,pure,words,free recall,item,NA,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,immediate
13,2,1,31,16,0.368,0.0011049535576129926,20,16,generate,NA,between,pure,words,free recall,item,medium,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,immediate
13,2,2,32,16,0.287,7.700201072762391e-4,20,16,read,NA,between,pure,words,free recall,item,NA,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,immediate
13,3a,1,33,17,0.861,9.820084491144812e-4,20,8,generate,NA,within,pure,words,cued recall,item,medium,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,immediate
13,3a,1,34,17,0.512,0.0021721543076348607,20,8,read,NA,within,pure,words,cued recall,item,NA,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,immediate
13,3a,1,35,18,0.928,6.492489878571253e-4,20,8,generate,NA,within,pure,words,cued recall,item,medium,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,immediate
13,3a,1,36,18,0.893,8.144190547841682e-4,20,8,read,NA,within,pure,words,cued recall,item,NA,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,immediate
13,3b,1,37,19,0.819,0.0012193279458472936,20,8,generate,NA,within,pure,words,cued recall,item,medium,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,long
13,3b,1,38,19,0.346,0.0014213601136485636,20,8,read,NA,within,pure,words,cued recall,item,NA,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,long
13,3b,1,39,20,0.906,7.506725631495271e-4,20,8,generate,NA,within,pure,words,cued recall,item,medium,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,long
13,3b,1,40,20,0.727,0.001745132335961338,20,8,read,NA,within,pure,words,cued recall,item,NA,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,long
13,4,1,41,21,0.783,0.001429750618069179,20,8,generate,NA,within,pure,words,recognition,item,medium,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,long
13,4,1,42,21,0.542,0.002219370368250645,20,8,read,NA,within,pure,words,recognition,item,NA,incidental,rhyme,verbal/speaking,cue only,full,self-paced,no,younger,long
13,4,1,43,22,0.785,0.0014180650065259435,20,8,generate,NA,within,pure,words,recognition,item,medium,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,long
13,4,1,44,22,0.684,0.0019541715811241937,20,8,read,NA,within,pure,words,recognition,item,NA,incidental,semantic,verbal/speaking,sentence completion,full,self-paced,no,younger,long
17,1,1,45,23,0.41,7.004108506293965e-4,48,18,generate,NA,within,pure,words,free recall,item,NA,incidental,NA,writing/typing,NA,full,timed,no,younger,immediate
17,1,1,46,23,0.31,4.766433332825952e-4,48,18,read,NA,within,pure,words,free recall,item,NA,incidental,NA,writing/typing,NA,full,timed,no,younger,immediate
17,1,2,47,24,0.33,5.225667221245635e-4,48,18,generate,NA,within,pure,words,free recall,item,NA,incidental,NA,covert/thinking,NA,full,timed,no,younger,immediate
17,1,2,48,24,0.2,2.5132652394160723e-4,48,18,read,NA,within,pure,words,free recall,item,NA,incidental,NA,covert/thinking,NA,full,timed,no,younger,immediate
17,1,1,49,25,0.99,1.6165708843407872e-4,48,18,generate,NA,within,pure,words,cued recall,item,NA,incidental,category,NA,NA,full,timed,no,younger,immediate
17,1,1,50,25,0.96,2.03577820769672e-4,48,18,read,NA,within,pure,words,cued recall,item,NA,incidental,category,NA,NA,full,timed,no,younger,immediate
17,1,2,51,26,0.97,1.888715029971817e-4,48,18,generate,NA,within,pure,words,cued recall,item,NA,incidental,antonym,NA,NA,full,timed,no,younger,immediate
17,1,2,52,26,0.83,4.5492437585244373e-4,48,18,read,NA,within,pure,words,cued recall,item,NA,incidental,antonym,NA,NA,full,timed,no,younger,immediate
17,1,1,53,27,0.98,1.748992176601647e-4,48,18,generate,NA,within,pure,words,cued recall,item,NA,incidental,NA,writing/typing,NA,full,timed,no,younger,immediate
17,1,1,54,27,0.9,3.069086784593291e-4,48,18,read,NA,within,pure,words,cued recall,item,NA,incidental,NA,writing/typing,NA,full,timed,no,younger,immediate
17,1,2,55,28,0.98,1.748992176601647e-4,48,18,generate,NA,within,pure,words,cued recall,item,NA,incidental,NA,covert/thinking,NA,full,timed,no,younger,immediate
17,1,2,56,28,0.89,3.2649112507006627e-4,48,18,read,NA,within,pure,words,cued recall,item,NA,incidental,NA,covert/thinking,NA,full,timed,no,younger,immediate
17,1,1,57,29,0.96,3.243574095043653e-4,24,18,generate,NA,within,pure,words,recognition,source,NA,incidental,category,writing/typing,NA,full,timed,no,younger,immediate
17,1,1,58,29,0.92,4.296694484815255e-4,24,18,read,NA,within,pure,words,recognition,source,NA,incidental,category,writing/typing,NA,full,timed,no,younger,immediate
17,1,2,59,30,0.95,3.489581157463688e-4,24,18,generate,NA,within,pure,words,recognition,source,NA,incidental,category,covert/thinking,NA,full,timed,no,younger,immediate
17,1,2,60,30,0.81,7.975149280484835e-4,24,18,read,NA,within,pure,words,recognition,source,NA,incidental,category,covert/thinking,NA,full,timed,no,younger,immediate
17,1,3,61,31,0.76,9.80053795187525e-4,24,18,generate,NA,within,pure,words,recognition,source,NA,incidental,antonym,writing/typing,NA,full,timed,no,younger,immediate
17,1,3,62,31,0.8,8.341998920796356e-4,24,18,read,NA,within,pure,words,recognition,source,NA,incidental,antonym,writing/typing,NA,full,timed,no,younger,immediate
17,1,4,63,32,0.64,0.001327372979175386,24,18,generate,NA,within,pure,words,recognition,source,NA,incidental,antonym,covert/thinking,NA,full,timed,no,younger,immediate
17,1,4,64,32,0.71,0.0011492046884831132,24,18,read,NA,within,pure,words,recognition,source,NA,incidental,antonym,covert/thinking,NA,full,timed,no,younger,immediate
22,1,1,65,33,0.207,3.8423538846728354e-4,40,10,generate,NA,within,pure,words,free recall,item,high,intentional,synonym,verbal/speaking,word stem,full,timed,no,younger,immediate
22,1,1,66,33,0.138,2.3114030636389358e-4,40,10,read,NA,within,pure,words,free recall,item,NA,intentional,synonym,verbal/speaking,word stem,full,timed,no,younger,immediate
22,1,1,67,34,0.227,4.3784985520770937e-4,40,10,generate,NA,within,pure,words,free recall,item,high,intentional,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
22,1,1,68,34,0.125,2.0794520836732937e-4,40,10,read,NA,within,pure,words,free recall,item,NA,intentional,rhyme,verbal/speaking,word stem,full,timed,no,younger,immediate
24,1,1,69,35,0.23,5.041666666666667e-4,24,16,generate,low,within,mixed,words,free recall,item,high,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,immediate
24,1,1,70,35,0.27,9.375e-4,24,16,generate,high,within,mixed,words,free recall,item,medium,intentional,antonym,verbal/speaking,word stem,full,timed,no,younger,immediate
24,1,1,71,35,0.09,2.666666666666667e-4,24,16,read,low,within,mixed,words,free recall,item,NA,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,immediate
24,2,1,72,36,0.319,8.944780285259488e-4,36,8,generate,low,within,mixed,words,free recall,item,high,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,immediate
24,2,1,73,36,0.332,9.483171945469126e-4,36,8,generate,high,within,mixed,words,free recall,item,medium,intentional,antonym,verbal/speaking,word stem,full,timed,no,younger,immediate
24,2,1,74,36,0.092,1.9339484720422095e-4,36,8,read,low,within,mixed,words,free recall,item,NA,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,immediate
24,2,1,75,37,0.772,0.0010576142768677994,36,8,generate,low,within,mixed,words,recognition,item,high,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,immediate
24,2,1,76,37,0.694,0.0013518443022722676,36,8,generate,high,within,mixed,words,recognition,item,medium,intentional,antonym,verbal/speaking,word stem,full,timed,no,younger,immediate
24,2,1,77,37,0.348,0.001014625243451384,36,8,read,low,within,mixed,words,recognition,item,NA,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,immediate
24,2,2,78,38,0.111,2.2814530736442386e-4,36,8,generate,low,within,mixed,words,free recall,item,high,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,long
24,2,2,79,38,0.123,2.5236131812770744e-4,36,8,generate,high,within,mixed,words,free recall,item,medium,intentional,antonym,verbal/speaking,word stem,full,timed,no,younger,long
24,2,2,80,38,0.022,9.923580837017047e-5,36,8,read,low,within,mixed,words,free recall,item,NA,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,long
24,2,2,81,39,0.61,0.0015499024687258894,36,8,generate,low,within,mixed,words,recognition,item,high,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,long
24,2,2,82,39,0.437,0.001353682362202206,36,8,generate,high,within,mixed,words,recognition,item,medium,intentional,antonym,verbal/speaking,word stem,full,timed,no,younger,long
24,2,2,83,39,0.13,2.6732383046980103e-4,36,8,read,low,within,mixed,words,recognition,item,NA,intentional,antonym,verbal/speaking,word fragment,full,timed,no,younger,long
33,1,1,84,40,0.28,6.204752900820384e-4,16,75,generate,NA,within,mixed,non-words,free recall,item,high,intentional,rhyme,writing/typing,word stem,full,timed,yes,younger,immediate
33,1,1,85,40,0.26,5.554318966986785e-4,16,75,read,NA,within,mixed,non-words,free recall,item,NA,intentional,rhyme,writing/typing,word stem,full,timed,yes,younger,immediate
33,1,2,86,41,0.253,5.333696324906179e-4,16,75,generate,NA,within,mixed,non-words,free recall,item,high,intentional,rhyme,writing/typing,word stem,full,timed,yes,younger,immediate
33,1,2,87,41,0.253,5.333696324906179e-4,16,75,read,NA,within,mixed,non-words,free recall,item,NA,intentional,rhyme,writing/typing,word stem,full,timed,yes,younger,immediate
33,3,1,88,42,0.645,0.001341584481534857,30,12,generate,NA,within,mixed,non-words,recognition,item,medium,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
33,3,1,89,43,0.783,9.128018349073473e-4,30,12,generate,NA,within,mixed,words,recognition,item,medium,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
33,3,1,90,44,0.798,8.567442075698726e-4,30,12,generate,NA,within,mixed,words,recognition,item,medium,intentional,NA,writing/typing,letter transposition,full,timed,yes,younger,immediate
