study,d,SE
Albohn,0.08653674979504723,0.16982696919481732
Allard,0.09400434766437848,0.18028555054981996
Benning,-0.011890571158053169,0.18650966108978423
Bulnes,0.08627923596265326,0.19910975654125979
Capaldi,-0.07138789976977454,0.18496570120686298
Chasten,-0.03595617137659093,0.20630091694214678
Holmes,0.1453404663125565,0.20128300818055897
Koch,-0.13934527197075916,0.20024256671373103
Korb,0.01103381048202689,0.199018707249205
Lynott,0.2291818319067468,0.1791171557571389
Oosterwijk,-0.17101039970199336,0.19116671776512092
Ozdogru,-0.2961707160242387,0.21978698557127974
Pacheco-Unguetti,-0.07576881973517292,0.18266503672161044
Talarico,0.016960983733448634,0.18901577207787812
Wagenmakers,0.12571493201826575,0.17558478386120477
Wayand,-0.13973869000656025,0.19105115236642042
Zeelenberg,0.25102448271351885,0.19373463167192356
