Id,Study,Cluster,logOR,v,Year,Type,Discipline,Country
1,Ackers (2000a; Marie Curie),1,-0.40108,0.0139169209,1996,Fellowship,Physical sciences,Europe
2,Ackers (2000b; Marie Curie),1,-0.05727,0.0342879289,1996,Fellowship,Physical sciences,Europe
3,Ackers (2000c; Marie Curie),1,-0.29852,0.0339112225,1996,Fellowship,Physical sciences,Europe
4,Ackers (2000d; Marie Curie),1,0.36094,0.03404025,1996,Fellowship,Physical sciences,Europe
5,Ackers (2000e; Marie Curie),1,-0.33336,0.0128210329,1996,Fellowship,Social sciences/humanities,Europe
6,Ackers (2000f; Marie Curie),1,-0.07173,0.0136118889,1996,Fellowship,Physical sciences,Europe
7,Ackers (2000g; Marie Curie),1,-0.16793,0.00583696,1996,Fellowship,Life sciences/biology,Europe
8,Allmendinger (2002a; DFG),2,-0.55585,0.3964969024,1993,Grant,Social sciences/humanities,Europe
9,Allmendinger (2002b; DFG),2,-0.09217,0.5866794025,1994,Grant,Social sciences/humanities,Europe
10,Allmendinger (2002c; DFG),2,0.48184,0.7119478129,1995,Grant,Social sciences/humanities,Europe
11,Allmendinger (2002d; DFG),2,-0.25672,0.2932547409,1996,Grant,Social sciences/humanities,Europe
12,Allmendinger (2002e; DFG),2,-0.429,0.43652449,1997,Grant,Social sciences/humanities,Europe
13,Allmendinger (2002f; DFG),2,-0.55207,0.136161,1998,Grant,Social sciences/humanities,Europe
14,Allmendinger (2002g; DFG),2,-1.113,0.3360289024,1999,Grant,Social sciences/humanities,Europe
15,Bazeley (1998; ARC),3,-0.24714,0.1291467969,1995,Grant,Multidisciplinary,Australia
16,Bornmann (2005; BIF),4,-0.45176,0.0092083216,1992,Fellowship,Life sciences/biology,Europe
17,Brouns (2000a; NWO/ KNAW),5,-0.44629,0.5400045225,1994,Fellowship,Social sciences/humanities,Europe
18,Brouns (2000b; NWO/ KNAW),5,-0.87855,0.3606843249,1994,Fellowship,Social sciences/humanities,Europe
19,Brouns (2000c; NWO/ KNAW),5,1.50539,0.3146649025,1994,Fellowship,Physical sciences,Europe
20,Brouns (2000d; NWO/ KNAW),5,-0.8546,0.1750836649,1994,Fellowship,Life sciences/biology,Europe
21,Brouns (2000e; NWO/ KNAW),5,-0.09465,0.0834227689,1994,Fellowship,Life sciences/biology,Europe
22,Dexter (2002a; Wellcome Trust),6,0.04879,0.0438567364,2000,Fellowship,Life sciences/biology,United Kingdom
23,Dexter (2002b; Wellcome Trust),6,-0.14259,0.0225690529,2000,Grant,Life sciences/biology,United Kingdom
24,Dexter (2002c; Wellcome Trust),6,-0.89097,0.3852560761,2000,Grant,Life sciences/biology,United Kingdom
25,Emery (1992; NIH),7,0.35229,0.0899220169,1990,Fellowship,Life sciences/biology,United States
