"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","author","year","grade","length","minutes","wic","feedback","info","pers","imag","meta","subject","ni","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Ashworth 1992",0.65,0.07,"from_dataset","Ashworth",1992,4,15,NA,1,1,1,1,0,1,"Nursing",60,3.77964473009227,0.65,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Ayers 1993",-0.75,0.126,"from_dataset","Ayers",1993,2,10,NA,1,NA,1,1,1,0,"Earth Science",34,2.81718084909506,0.75,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Baisch 1990",-0.21,0.042,"from_dataset","Baisch",1990,2,2,NA,1,0,1,1,0,1,"Math",95,4.87950036474267,0.21,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Baker 1994",-0.04,0.019,"from_dataset","Baker",1994,4,9,10,1,1,1,0,0,0,"Algebra",209,7.25476250110012,0.04,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Bauman 1992",0.23,0.022,"from_dataset","Bauman",1992,1,14,10,1,1,1,1,0,1,"Math",182,6.74199862463242,0.23,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Becker 1996",0.03,0.009,"from_dataset","Becker",1996,4,1,20,1,0,0,1,0,0,"Literature",462,10.5409255338946,0.03,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Bell & Bell 1985",0.26,0.106,"from_dataset","Bell & Bell",1985,3,4,NA,1,1,1,1,0,1,"Math",38,3.07147558416976,0.26,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Brodney 1994",0.06,0.007,"from_dataset","Brodney",1994,1,15,NA,1,1,1,1,0,1,"Math",542,11.9522860933439,0.06,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Burton 1986",0.06,0.04,"from_dataset","Burton",1986,4,4,NA,0,1,1,0,0,0,"Math",99,5,0.06,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Davis, BH 1990",0.12,0.052,"from_dataset","Davis, BH",1990,1,9,10,1,0,1,1,0,0,"Social Studies",77,4.38529009653515,0.12,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Davis, JJ 1996",0.77,0.107,"from_dataset","Davis, JJ",1996,4,15,NA,0,1,1,0,0,0,"Statistics",40,3.05708920257872,0.77,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Day 1994",0,0.021,"from_dataset","Day",1994,4,15,NA,0,1,1,1,0,1,"Sociology",190,6.90065559342354,0,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Dipillo 1994",0.52,0.037,"from_dataset","Dipillo",1994,1,8,6,1,1,1,1,0,1,"Math",113,5.19875244910036,0.52,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Ganguli 1989",0.54,0.083,"from_dataset","Ganguli",1989,4,4,4,1,0,1,0,0,0,"Math",50,3.47105067250312,0.54,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Giovinazzo 1996",0.2,0.086,"from_dataset","Giovinazzo",1996,4,14,NA,0,1,1,0,0,0,"Algebra",47,3.40997169735237,0.2,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Goss 1998",0.2,0.091,"from_dataset","Goss",1998,4,15,10,1,1,1,0,0,0,"Calculus",44,3.31496772065898,0.2,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Greene et al. 1991",-0.16,0.167,"from_dataset","Greene et al.",1991,4,4,10,1,1,1,1,0,0,"Comp Science and Chemistry",24,2.44704392116198,0.16,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Guckin 1992",0.42,0.052,"from_dataset","Guckin",1992,4,10,8,1,1,NA,NA,0,NA,"Algebra",78,4.38529009653515,0.42,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Guckin 1992",0.6,0.091,"from_dataset","Guckin",1992,4,10,8,1,1,NA,NA,0,NA,"Algebra",46,3.31496772065898,0.6,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Horton et al. 1985",0.51,0.065,"from_dataset","Horton et al.",1985,4,3,NA,0,1,1,0,0,0,"Chemistry",64,3.92232270276368,0.51,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Hyser 1992",0.58,0.073,"from_dataset","Hyser",1992,1,24,10,1,0,1,1,1,0,"Social Studies",57,3.70116605098803,0.58,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Johnson, LA 1991",0.54,0.061,"from_dataset","Johnson, LA",1991,3,19,NA,0,1,1,0,0,0,"Algebra",68,4.04888165089458,0.54,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Johnson, VM 1998",0.09,0.1,"from_dataset","Johnson, VM",1998,1,4,15,1,0,1,0,0,0,"Math",40,3.16227766016838,0.09,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Kasparek 1993",0.37,0.06,"from_dataset","Kasparek",1993,3,12,NA,1,1,1,1,0,1,"Algebra",68,4.08248290463863,0.37,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Konopack et al. 1990",-0.01,0.083,"from_dataset","Konopack et al.",1990,2,1,NA,1,0,1,0,0,0,"World History",48,3.47105067250312,0.01,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Langer & Applebee 1987",-0.13,0.037,"from_dataset","Langer & Applebee",1987,3,1,35,1,0,1,0,0,0,"Social Studies",107,5.19875244910036,0.13,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Langer & Applebee 1987",0.18,0.069,"from_dataset","Langer & Applebee",1987,3,1,20,1,0,1,0,0,0,"Social Studies",58,3.8069349381344,0.18,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Licata 1993",0.27,0.018,"from_dataset","Licata",1993,3,1,15,1,1,1,0,0,0,"Math in Science",225,7.4535599249993,0.27,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Lodholz 1980",-0.02,0.009,"from_dataset","Lodholz",1980,1,14,15,1,1,1,0,0,0,"Math",446,10.5409255338946,0.02,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Madden 1993",0.33,0.053,"from_dataset","Madden",1993,1,20,8,1,0,1,1,0,1,"Math",77,4.34372242763069,0.33,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Millican 1994",0.59,0.017,"from_dataset","Millican",1994,1,10,NA,1,1,1,1,1,1,"Math",243,7.6696498884737,0.59,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Moynihan 1994",0.84,0.112,"from_dataset","Moynihan",1994,1,7,10,1,1,1,1,0,1,"Math",39,2.98807152333598,0.84,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Mulvaney 1991",-0.32,0.06,"from_dataset","Mulvaney",1991,4,11,NA,1,1,1,0,0,0,"Management",67,4.08248290463863,0.32,"CRAN",NA,NA,"CRAN"
"metadat_dat.bangertdrowns2004","metadat","dat.bangertdrowns2004","Studies on the Effectiveness of Writing-to-Learn Interventions","Nieswandt 1997",0.12,0.044,"from_dataset","Nieswandt",1997,3,NA,NA,0,1,1,0,0,0,"Chemistry",91,4.76731294622796,0.12,"CRAN",NA,NA,"CRAN"
