"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","trt","arms","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",1,0.46,0.013924,"from_dataset","BMT",2,8.47457627118644,0.46,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",2,0.25,0.005476,"from_dataset","CMO",2,13.5135135135135,0.25,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",3,0.5,0.01,"from_dataset","BMT",2,10,0.5,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",4,0.23,0.004489,"from_dataset","CMO",2,14.9253731343284,0.23,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",5,0.47,0.016641,"from_dataset","BMT",2,7.75193798449612,0.47,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",6,0.42,0.007396,"from_dataset","CMO",2,11.6279069767442,0.42,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",7,0.7,0.0529,"from_dataset","BMT",2,4.34782608695652,0.7,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",8,0.48,0.027889,"from_dataset","CMO",2,5.98802395209581,0.48,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",9,0.46,0.006561,"from_dataset","BMT",1,12.3456790123457,0.46,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",10,0.43,0.001156,"from_dataset","BMT",1,29.4117647058824,0.43,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",11,0.49,0.007744,"from_dataset","BMT",1,11.3636363636364,0.49,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",12,0.53,0.006241,"from_dataset","BMT",1,12.6582278481013,0.53,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",13,0.21,0.002601,"from_dataset","CMO",1,19.6078431372549,0.21,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",14,0.32,0.001521,"from_dataset","CMO",1,25.6410256410256,0.32,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",15,0.48,0.008836,"from_dataset","CMO",1,10.6382978723404,0.48,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",16,0.26,0.002116,"from_dataset","CMO",1,21.7391304347826,0.26,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",17,0.33,0.000841,"from_dataset","CMO",1,34.4827586206897,0.33,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",18,0.38,0.001089,"from_dataset","CMO",1,30.3030303030303,0.38,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",19,0.24,0.007056,"from_dataset","CMO",1,11.9047619047619,0.24,"CRAN",NA,NA,"CRAN"
"metadat_dat.begg1989","metadat","dat.begg1989","Studies on Bone-Marrow Transplantation versus Chemotherapy for the Treatment of Leukemia",20,0.53,0.007056,"from_dataset","CMO",1,11.9047619047619,0.53,"CRAN",NA,NA,"CRAN"
