"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","author","year","ni","outcome","v1i","v2i","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.berkey1998","metadat","dat.berkey1998","Studies on Treatments for Periodontal Disease","Pihlstrom et al. 1983",0.47,0.0075,"from_dataset","Pihlstrom et al.",1983,14,"PD",0.0075,0.003,11.5470053837925,0.47,"CRAN",NA,NA,"CRAN"
"metadat_dat.berkey1998","metadat","dat.berkey1998","Studies on Treatments for Periodontal Disease","Pihlstrom et al. 1983",-0.32,0.0077,"from_dataset","Pihlstrom et al.",1983,14,"AL",0.003,0.0077,11.3960576459638,0.32,"CRAN",NA,NA,"CRAN"
"metadat_dat.berkey1998","metadat","dat.berkey1998","Studies on Treatments for Periodontal Disease","Lindhe et al. 1982",0.2,0.0057,"from_dataset","Lindhe et al.",1982,15,"PD",0.0057,9e-04,13.2453235706504,0.2,"CRAN",NA,NA,"CRAN"
"metadat_dat.berkey1998","metadat","dat.berkey1998","Studies on Treatments for Periodontal Disease","Lindhe et al. 1982",-0.6,8e-04,"from_dataset","Lindhe et al.",1982,15,"AL",9e-04,8e-04,35.3553390593274,0.6,"CRAN",NA,NA,"CRAN"
"metadat_dat.berkey1998","metadat","dat.berkey1998","Studies on Treatments for Periodontal Disease","Knowles et al. 1979",0.4,0.0021,"from_dataset","Knowles et al.",1979,78,"PD",0.0021,7e-04,21.8217890235992,0.4,"CRAN",NA,NA,"CRAN"
"metadat_dat.berkey1998","metadat","dat.berkey1998","Studies on Treatments for Periodontal Disease","Knowles et al. 1979",-0.12,0.0014,"from_dataset","Knowles et al.",1979,78,"AL",7e-04,0.0014,26.7261241912424,0.12,"CRAN",NA,NA,"CRAN"
"metadat_dat.berkey1998","metadat","dat.berkey1998","Studies on Treatments for Periodontal Disease","Ramfjord et al. 1987",0.26,0.0029,"from_dataset","Ramfjord et al.",1987,89,"PD",0.0029,9e-04,18.5695338177052,0.26,"CRAN",NA,NA,"CRAN"
"metadat_dat.berkey1998","metadat","dat.berkey1998","Studies on Treatments for Periodontal Disease","Ramfjord et al. 1987",-0.31,0.0015,"from_dataset","Ramfjord et al.",1987,89,"AL",9e-04,0.0015,25.8198889747161,0.31,"CRAN",NA,NA,"CRAN"
"metadat_dat.berkey1998","metadat","dat.berkey1998","Studies on Treatments for Periodontal Disease","Becker et al. 1988",0.56,0.0148,"from_dataset","Becker et al.",1988,16,"PD",0.0148,0.0072,8.21994936526786,0.56,"CRAN",NA,NA,"CRAN"
"metadat_dat.berkey1998","metadat","dat.berkey1998","Studies on Treatments for Periodontal Disease","Becker et al. 1988",-0.39,0.0304,"from_dataset","Becker et al.",1988,16,"AL",0.0072,0.0304,5.73539334676404,0.39,"CRAN",NA,NA,"CRAN"
