"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","sample","control","ni","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",1,0.829114038301766,0.142857142857143,"ZCOR","General psychology","Random assignment",10,2.64575131106459,0.829114038301766,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",2,0.632833186665638,0.0588235294117647,"ZCOR","College algebra","CIAT pretest",20,4.12310562561766,0.632833186665638,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",3,0.234189466759367,0.1,"ZCOR","General biology","Final exam for prior semester of same course",13,3.16227766016838,0.234189466759367,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",4,0.758173744684044,0.0526315789473684,"ZCOR","General psychology","Final exam for prior semester of same course",22,4.35889894354067,0.758173744684044,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",5,0.536060336610567,0.04,"ZCOR","General physics","Math pretest",28,5,0.536060336610567,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",6,-0.0400213538367682,0.111111111111111,"ZCOR","Introductory communications","PSAT verbal score",12,3,0.0400213538367682,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",7,0.536060336610567,0.111111111111111,"ZCOR","Beginning French","Minnesota Scholastic Aptitude Test",12,3,0.536060336610567,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",8,0.342828254415394,0.0303030303030303,"ZCOR","General chemistry","College entrance exam scores",36,5.74456264653803,0.342828254415394,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",9,0.662462707371799,0.0625,"ZCOR","General psychology","Random assignment",19,4,0.662462707371799,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",10,0.181982688600706,0.111111111111111,"ZCOR","Introductory calculus","SAT math scores",12,3,0.181982688600706,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",11,-0.110446915790097,0.0303030303030303,"ZCOR","Analytic geometry and calculus","Achievement pretest",36,5.74456264653803,0.110446915790097,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",12,0.2768638226551,0.0138888888888889,"ZCOR","Introductory math","SAT math scores",75,8.48528137423857,0.2768638226551,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",13,0.266108406873654,0.0333333333333333,"ZCOR","General psychology","Intelligence test scores",33,5.47722557505166,0.266108406873654,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",14,0.423648930193602,0.00847457627118644,"ZCOR","Aircraft mechanics","Hydraulics pretest",121,10.8627804912002,0.423648930193602,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",15,0.536060336610567,0.0294117647058824,"ZCOR","General chemistry","Orientation test scores",37,5.8309518948453,0.536060336610567,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",16,0.562729769352149,0.0909090909090909,"ZCOR","First-year science","Random assignment",14,3.3166247903554,0.562729769352149,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",17,0.423648930193602,0.027027027027027,"ZCOR","Introductory psychology","Random assignment",40,6.08276253029822,0.423648930193602,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",18,0.354092528962243,0.0769230769230769,"ZCOR","First-year math","Random assignment",16,3.60555127546399,0.354092528962243,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",19,0.447692023527421,0.0909090909090909,"ZCOR","First-year biology","Random assignment",14,3.3166247903554,0.447692023527421,"CRAN",NA,NA,"CRAN"
"metadat_dat.cohen1981","metadat","dat.cohen1981","Studies on the Relationship between Course Instructor Ratings and Student Achievement",20,0.161386696131526,0.0588235294117647,"ZCOR","Introductory psychology","Ability scores",20,4.12310562561766,0.161386696131526,"CRAN",NA,NA,"CRAN"
