"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","year","outcome","hrs","ets","homework","type","ntotal","log_ntotal","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",1,0.22,0.0817,"from_dataset",1980,"verbal",7,1,1,1,50,3.91202300542815,3.4985571427066,0.22,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",2,0.09,0.0507,"from_dataset",1980,"verbal",10,1,1,1,79,4.36944785246702,4.44115591684328,0.09,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",3,0.14,0.1045,"from_dataset",1980,"verbal",10.5,1,1,1,39,3.66356164612965,3.09344112444873,0.14,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",4,0.14,0.0442,"from_dataset",1980,"verbal",10,1,1,1,91,4.51085950651685,4.75651494154494,0.14,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",5,-0.01,0.0535,"from_dataset",1980,"verbal",6,1,1,1,99,4.59511985013459,4.32337701167117,0.01,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",6,0.14,0.0557,"from_dataset",1980,"verbal",5,1,1,1,72,4.27666611901606,4.23713598607036,0.14,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",7,0.18,0.0561,"from_dataset",1980,"verbal",11,1,1,1,94,4.54329478227,4.22200330920749,0.18,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",8,0.01,0.1151,"from_dataset",1980,"verbal",45,1,1,1,35,3.55534806148941,2.94755785468069,0.01,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",9,0.13,0.0147,"from_dataset",1973,"verbal",21,1,1,1,274,5.61312810638807,8.24786098842323,0.13,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",10,0.12,0.0147,"from_dataset",1973,"math",21,1,1,1,274,5.61312810638807,8.24786098842323,0.12,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",11,0.25,0.0218,"from_dataset",1973,"verbal",21,1,1,1,201,5.30330490805908,6.77285461478596,0.25,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",12,0.06,0.0216,"from_dataset",1973,"math",21,1,1,1,201,5.30330490805908,6.80413817439772,0.06,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",13,0.31,0.0221,"from_dataset",1973,"verbal",21,1,1,1,200,5.29831736654804,6.72672793996312,0.31,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",14,0.09,0.0219,"from_dataset",1973,"math",21,1,1,1,200,5.29831736654804,6.75737378399486,0.09,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",15,0,0.1484,"from_dataset",1986,"verbal",8.9,0,0,1,27,3.29583686600433,2.59587065825583,0,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",16,0.07,0.1484,"from_dataset",1986,"math",8.9,0,0,1,27,3.29583686600433,2.59587065825583,0.07,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",17,0.01,0.0503,"from_dataset",1966,"verbal",7.5,1,0,1,80,4.38202663467388,4.4587796206771,0.01,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",18,0.67,0.1366,"from_dataset",1966,"verbal",7.5,1,0,1,32,3.46573590279973,2.7056689037447,0.67,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",19,-0.38,0.1561,"from_dataset",1966,"verbal",7.5,1,0,1,27,3.29583686600433,2.53103731776277,0.38,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",20,-0.24,0.1342,"from_dataset",1966,"verbal",7.5,1,0,1,32,3.46573590279973,2.72975545216307,0.24,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",21,0.29,0.062,"from_dataset",1966,"verbal",7.5,1,0,1,67,4.20469261939097,4.01609664451249,0.29,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",22,0.26,0.0669,"from_dataset",1966,"math",7.5,1,0,1,63,4.14313472639153,3.8662233651353,0.26,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",23,-0.41,0.1352,"from_dataset",1966,"math",7.5,1,0,1,31,3.43398720448515,2.71964146610211,0.41,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",24,0.08,0.1297,"from_dataset",1966,"math",7.5,1,0,1,32,3.46573590279973,2.77670672403533,0.08,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",25,0.3,0.0732,"from_dataset",1966,"math",7.5,1,0,1,59,4.07753744390572,3.69610635477286,0.3,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",26,-0.53,0.1482,"from_dataset",1966,"math",7.5,1,0,1,30,3.40119738166216,2.59762166733066,0.53,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",27,0.13,0.136,"from_dataset",1966,"math",7.5,1,0,1,30,3.40119738166216,2.7116307227332,0.13,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",28,0.26,0.1344,"from_dataset",1966,"math",7.5,1,0,1,32,3.46573590279973,2.7277236279499,0.26,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",29,0.47,0.1303,"from_dataset",1966,"math",7.5,1,0,1,33,3.49650756146648,2.77030631585265,0.47,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",30,0.13,0.1216,"from_dataset",1988,"verbal",24,0,1,1,33,3.49650756146648,2.86769667338202,0.13,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",31,0.48,0.1248,"from_dataset",1988,"math",24,0,1,1,33,3.49650756146648,2.83069258536149,0.48,"CRAN",NA,NA,"CRAN"
"metadat_dat.kalaian1996","metadat","dat.kalaian1996","Studies on the Effectiveness of Coaching for the SAT",32,0.5,0.0825,"from_dataset",1986,"verbal",50,0,1,2,50,3.91202300542815,3.48155311911396,0.5,"CRAN",NA,NA,"CRAN"
