"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","authors","year","task","difficulty","group1","group2","comp","n_sz","n_hc","yi_iq","vi_iq","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",1,0.62,0.075,"from_dataset","Badcock et al.",2005,"SOC (CANTAB)",3.83,"SZ","HC",1,24,33,0.72,0.076,3.65148371670111,0.62,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",2,0.46,0.047,"from_dataset","Braw et al.",2008,"SOC (CANTAB)",3.83,"SZ1","HC",1,44,44,NA,NA,4.61265604014442,0.46,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",3,0.73,0.052,"from_dataset","Braw et al.",2008,"SOC (CANTAB)",3.83,"SZ2","HC",2,38,44,NA,NA,4.38529009653515,0.73,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",4,1.18,0.062,"from_dataset","Braw et al.",2012,"SOC (CANTAB)",3.83,"SZ1","HC",1,39,37,NA,NA,4.01609664451249,1.18,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",5,1.09,0.073,"from_dataset","Braw et al.",2012,"SOC (CANTAB)",3.83,"SZ2","HC",2,27,37,NA,NA,3.70116605098803,1.09,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",6,0.91,0.102,"from_dataset","Braw et al.",2012,"SOC (CANTAB)",3.83,"SZ3","HC",3,15,37,NA,NA,3.13112145542575,0.91,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",7,0.91,0.084,"from_dataset","Braw et al.",2012,"SOC (CANTAB)",3.83,"SZ4","HC",4,20,37,NA,NA,3.45032779671177,0.91,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",8,0.57,0.074,"from_dataset","Bustini et al.",1999,"TOH",NA,"SZ","HC",1,28,28,NA,NA,3.67607311046904,0.57,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",9,0.4,0.18,"from_dataset","Dichter et al.",2006,"TOL",NA,"SZ","HC",1,13,10,NA,NA,2.35702260395516,0.4,"CRAN",NA,NA,"CRAN"
"metadat_dat.knapp2017","metadat","dat.knapp2017","Studies on Differences in Planning Performance in Schizophrenia Patients versus Healthy Controls",10,0.43,0.17,"from_dataset","Elliott et al.",1998,"SOC (CANTAB)",2,"SZ","HC",1,12,12,0.12,0.167,2.42535625036333,0.43,"CRAN",NA,NA,"CRAN"
