"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","district","school","year","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",1,-0.18,0.118,"from_dataset",11,1,1976,2.91111254869791,0.18,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",2,-0.22,0.118,"from_dataset",11,2,1976,2.91111254869791,0.22,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",3,0.23,0.144,"from_dataset",11,3,1976,2.63523138347365,0.23,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",4,-0.3,0.144,"from_dataset",11,4,1976,2.63523138347365,0.3,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",5,0.13,0.014,"from_dataset",12,1,1989,8.45154254728517,0.13,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",6,-0.26,0.014,"from_dataset",12,2,1989,8.45154254728517,0.26,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",7,0.19,0.015,"from_dataset",12,3,1989,8.16496580927726,0.19,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",8,0.32,0.024,"from_dataset",12,4,1989,6.45497224367903,0.32,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",9,0.45,0.023,"from_dataset",18,1,1994,6.59380473395787,0.45,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",10,0.38,0.043,"from_dataset",18,2,1994,4.82242822170412,0.38,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",11,0.29,0.012,"from_dataset",18,3,1994,9.12870929175277,0.29,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",12,0.16,0.02,"from_dataset",27,1,1976,7.07106781186548,0.16,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",13,0.65,0.004,"from_dataset",27,2,1976,15.8113883008419,0.65,"CRAN",NA,NA,"CRAN"
"metadat_dat.konstantopoulos2011","metadat","dat.konstantopoulos2011","Studies on the Effects of Modified School Calendars on Student Achievement",14,0.36,0.004,"from_dataset",27,3,1976,15.8113883008419,0.36,"CRAN",NA,NA,"CRAN"
