"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","article","experiment","sample","pairing","ni","stimuli","condition","gen_difficulty","manip_type","present_style","word_status","memory_test","memory_type","gen_constraint","learning_type","stimuli_relation","gen_mode","gen_task","attention","pacing","filler_task","age_grp","retention_delay","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",1,0.879,0.000684370886775546,"from_dataset",12,"1",1,1,12,20,"generate",NA,"between","pure","words","recognition","item","medium","intentional","semantic","verbal/speaking","word stem","full",NA,"no","younger","immediate",38.2255934771309,0.879,"CRAN",NA,NA,"CRAN"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",2,0.713,0.0014039186561301,"from_dataset",12,"1",2,1,12,20,"read",NA,"between","pure","words","recognition","item",NA,"intentional","semantic","verbal/speaking","word stem","full",NA,"no","younger","immediate",26.688798782907,0.713,"CRAN",NA,NA,"CRAN"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",3,0.906,0.000579846945242727,"from_dataset",12,"1",1,2,12,20,"generate",NA,"between","pure","words","recognition","item","high","intentional","category","verbal/speaking","word stem","full",NA,"no","younger","immediate",41.5282196776988,0.906,"CRAN",NA,NA,"CRAN"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",4,0.684,0.00150947360729542,"from_dataset",12,"1",2,2,12,20,"read",NA,"between","pure","words","recognition","item",NA,"intentional","category","verbal/speaking","word stem","full",NA,"no","younger","immediate",25.7387373428652,0.684,"CRAN",NA,NA,"CRAN"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",5,0.842,0.000840009202792111,"from_dataset",12,"1",1,3,12,20,"generate",NA,"between","pure","words","recognition","item","high","intentional","antonym","verbal/speaking","word stem","full",NA,"no","younger","immediate",34.5030889648051,0.842,"CRAN",NA,NA,"CRAN"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",6,0.753,0.00123787160677674,"from_dataset",12,"1",2,3,12,20,"read",NA,"between","pure","words","recognition","item",NA,"intentional","antonym","verbal/speaking","word stem","full",NA,"no","younger","immediate",28.4224950296478,0.753,"CRAN",NA,NA,"CRAN"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",7,0.893,0.000629087067046572,"from_dataset",12,"1",1,4,12,20,"generate",NA,"between","pure","words","recognition","item","high","intentional","synonym","verbal/speaking","word stem","full",NA,"no","younger","immediate",39.8698518170205,0.893,"CRAN",NA,NA,"CRAN"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",8,0.697,0.00146406150622161,"from_dataset",12,"1",2,4,12,20,"read",NA,"between","pure","words","recognition","item",NA,"intentional","synonym","verbal/speaking","word stem","full",NA,"no","younger","immediate",26.1348696853253,0.697,"CRAN",NA,NA,"CRAN"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",9,0.733,0.00132323769152387,"from_dataset",12,"1",1,5,12,20,"generate",NA,"between","pure","words","recognition","item","high","intentional","rhyme","verbal/speaking","word stem","full",NA,"no","younger","immediate",27.4904005956704,0.733,"CRAN",NA,NA,"CRAN"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",10,0.643,0.00162797627976605,"from_dataset",12,"1",2,5,12,20,"read",NA,"between","pure","words","recognition","item",NA,"intentional","rhyme","verbal/speaking","word stem","full",NA,"no","younger","immediate",24.7842604109106,0.643,"CRAN",NA,NA,"CRAN"
"metadat_dat.mccurdy2020","metadat","dat.mccurdy2020","Studies on the Generation Effect",11,0.838,0.00112350532092418,"from_dataset",12,"2",1,6,12,10,"generate",NA,"within","pure","words","recognition","item","medium","intentional","semantic","verbal/speaking","word stem","full","timed","no","younger","immediate",29.8340651107107,0.838,"CRAN",NA,NA,"CRAN"
