"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","studyid","effectsizeid","species","speciesid","subphylum","phylum","assortmenttrait","traitdimensions","fieldcollection","publicationyear","pooleddata","spatiallypooled","temporallypooled","ni","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",1,0.234189466759367,0.02,"ZCOR","Adams and Greenwood 1983",1,"Gammarus pulex","Gammarus_pulex_gallicus_ott1024016","Crustacea","Arthropoda","body length","uni","yes",1983,"no","no","no",53,7.07106781186548,0.234189466759367,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",2,0.647522844827373,0.05,"ZCOR","Adams et al. 1985a",2,"Trapezia ferruginea","Trapezia_bidentata_ott787242","Crustacea","Arthropoda","carapace length","uni","yes",1985,"yes","yes","no",23,4.47213595499958,0.647522844827373,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",3,0.604155602962267,0.05,"ZCOR","Adams et al. 1985a",3,"Trapezia ferruginea","Trapezia_bidentata_ott787242","Crustacea","Arthropoda","carapace width","uni","yes",1985,"yes","yes","no",23,4.47213595499958,0.604155602962267,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",4,0.590145159841189,0.05,"ZCOR","Adams et al. 1985a",4,"Trapezia ferruginea","Trapezia_bidentata_ott787242","Crustacea","Arthropoda","cheliped length","uni","yes",1985,"yes","yes","no",23,4.47213595499958,0.590145159841189,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",5,1.25615281198806,0.111111111111111,"ZCOR","Adams et al. 1985b",5,"Asellus aquaticus","Asellus_aquaticus_ott335971","Crustacea","Arthropoda","weight","uni","yes",1985,"no","no","no",12,3,1.25615281198806,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",6,1.15681746459032,0.0833333333333333,"ZCOR","Adams et al. 1985b",6,"Asellus aquaticus","Asellus_aquaticus_ott335971","Crustacea","Arthropoda","weight","uni","yes",1985,"no","no","no",15,3.46410161513775,1.15681746459032,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",7,0.972955074527657,0.0714285714285714,"ZCOR","Adams et al. 1985b",7,"Asellus aquaticus","Asellus_aquaticus_ott335971","Crustacea","Arthropoda","weight","uni","yes",1985,"no","no","no",17,3.74165738677394,0.972955074527657,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",8,0.928727364246725,0.0769230769230769,"ZCOR","Adams et al. 1985b",8,"Asellus aquaticus","Asellus_aquaticus_ott335971","Crustacea","Arthropoda","weight","uni","yes",1985,"no","no","no",16,3.60555127546399,0.928727364246725,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",9,0.708921359427408,0.0555555555555556,"ZCOR","Adams et al. 1985b",9,"Asellus aquaticus","Asellus_aquaticus_ott335971","Crustacea","Arthropoda","weight","uni","yes",1985,"no","no","no",21,4.24264068711928,0.708921359427408,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",10,0.576339754969193,0.125,"ZCOR","Adams et al. 1985b",10,"Asellus aquaticus","Asellus_aquaticus_ott335971","Crustacea","Arthropoda","weight","uni","yes",1985,"no","no","no",11,2.82842712474619,0.576339754969193,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",11,0.472230804420426,0.0769230769230769,"ZCOR","Adams et al. 1985b",11,"Asellus aquaticus","Asellus_aquaticus_ott335971","Crustacea","Arthropoda","weight","uni","yes",1985,"no","no","no",16,3.60555127546399,0.472230804420426,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",12,0.331647108705132,0.0111111111111111,"ZCOR","Adams et al. 1985b",12,"Asellus aquaticus","Asellus_aquaticus_ott335971","Crustacea","Arthropoda","weight","uni","yes",1985,"no","no","no",93,9.48683298050514,0.331647108705132,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",13,0.161386696131526,0.0588235294117647,"ZCOR","Adams et al. 1985b",13,"Asellus aquaticus","Asellus_aquaticus_ott335971","Crustacea","Arthropoda","weight","uni","yes",1985,"no","no","no",20,4.12310562561766,0.161386696131526,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",14,0.37688590118819,0.000668002672010688,"ZCOR","Ahmad et al 1985",14,"Homo sapiens","Homo_sapiens_ott770315","Mammalia","Chordata","body height","uni","yes",1985,"yes","yes","no",1500,38.6910842443062,0.37688590118819,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",15,0.181982688600706,0.00448430493273543,"ZCOR","Ajala et al. 2011",15,"Homo sapiens","Homo_sapiens_ott770315","Mammalia","Chordata","body height","uni","yes",2011,"yes","yes","no",226,14.9331845230681,0.181982688600706,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",16,0.618381313574464,0.125,"ZCOR","Alcantara et al. 2007",16,"Scinax centralis","Scinax_centralis_ott3619799","Amphibia","Chordata","snout-vent length","uni","yes",2007,"no","no","no",11,2.82842712474619,0.618381313574464,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",17,0.0701146706543251,0.125,"ZCOR","Alcantara et al. 2007",17,"Scinax centralis","Scinax_centralis_ott3619799","Amphibia","Chordata","weight","uni","yes",2007,"no","no","no",11,2.82842712474619,0.0701146706543251,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",18,0.693147180559945,0.0588235294117647,"ZCOR","Alcock and Hadley 1987",18,"Lytta magister","Lytta_magister_ott3356974","Insecta","Arthropoda","head width","uni","yes",1987,"yes","yes","yes",20,4.12310562561766,0.693147180559945,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",19,0.423648930193602,0.00847457627118644,"ZCOR","Al-Kandari et al.  2002",19,"Homo sapiens","Homo_sapiens_ott770315","Mammalia","Chordata","body height","uni","yes",2002,"yes","yes","no",121,10.8627804912002,0.423648930193602,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",20,0.255412811882995,0.0131578947368421,"ZCOR","Al-Kandari et al.  2002",20,"Homo sapiens","Homo_sapiens_ott770315","Mammalia","Chordata","body height","uni","yes",2002,"yes","yes","no",79,8.71779788708135,0.255412811882995,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",21,0.21317134656486,0.00847457627118644,"ZCOR","Al-Kandari et al.  2002",21,"Homo sapiens","Homo_sapiens_ott770315","Mammalia","Chordata","weight","uni","yes",2002,"yes","yes","no",121,10.8627804912002,0.21317134656486,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",22,0.202732554054082,0.0131578947368421,"ZCOR","Al-Kandari et al.  2002",22,"Homo sapiens","Homo_sapiens_ott770315","Mammalia","Chordata","weight","uni","yes",2002,"yes","yes","no",79,8.71779788708135,0.202732554054082,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",23,0.140925576070494,0.0256410256410256,"ZCOR","Al-Kandari et al.  2002",23,"Homo sapiens","Homo_sapiens_ott770315","Mammalia","Chordata","body height","uni","yes",2002,"yes","yes","no",42,6.2449979983984,0.140925576070494,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",24,-0.223656109021832,0.0256410256410256,"ZCOR","Al-Kandari et al.  2002",24,"Homo sapiens","Homo_sapiens_ott770315","Mammalia","Chordata","weight","uni","yes",2002,"yes","yes","no",42,6.2449979983984,0.223656109021832,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",25,0.650490388703677,0.0149253731343284,"ZCOR","Alonzo et al. 2001",25,"Amatitlania nigrofasciata","Amatitlania_nigrofasciata_ott170115","Teleostei","Chordata","standard length","uni","yes",2001,"no","no","no",70,8.18535277187245,0.650490388703677,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",26,0.130739850028878,0.0053475935828877,"ZCOR","Angeloni and Bradbury 1999",26,"Aplysia vaccaria","Aplysia_vaccaria_ott640603","Gastropoda","Lophotrochozoa","weight","uni","yes",1999,"yes","no","yes",190,13.6747943311773,0.130739850028878,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",27,0.192337169219545,0.00952380952380952,"ZCOR","Angeloni et al. 2003",27,"Aplysia californica","Aplysia_californica_ott51009","Gastropoda","Lophotrochozoa","weight","uni","yes",2003,"no","no","no",108,10.2469507659596,0.192337169219545,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",28,0.256479763474846,0.00247524752475248,"ZCOR","Annest et al. 1983",28,"Homo sapiens","Homo_sapiens_ott770315","Mammalia","Chordata","body height","uni","yes",1983,"no","no","no",407,20.0997512422418,0.256479763474846,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",29,0.185084884559192,0.00247524752475248,"ZCOR","Annest et al. 1983",29,"Homo sapiens","Homo_sapiens_ott770315","Mammalia","Chordata","weight","uni","yes",1983,"no","no","no",407,20.0997512422418,0.185084884559192,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",30,-0.0500417292784913,0.0434782608695652,"ZCOR","Apanius and Nisbet 2006",30,"Sterna hirundo","Sterna_hirundo_hirundo_ott5560401","Aves","Chordata","weight","uni","yes",2006,"no","no","no",26,4.79583152331272,0.0500417292784913,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",31,0.120581028408444,0.037037037037037,"ZCOR","Arak 1988",31,"Epidalea calamita","Epidalea_calamita_ott436364","Amphibia","Chordata","snout-vent length","uni","yes",1988,"yes","no","yes",30,5.19615242270663,0.120581028408444,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",32,0.161386696131526,0.00952380952380952,"ZCOR","Arnqvist 1996",32,"Gerris lacustris","Gerris_lacustris_ott543700","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",108,10.2469507659596,0.161386696131526,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",33,0.0701146706543251,0.0666666666666667,"ZCOR","Arnqvist 1996",33,"Halobates robustus","Halobates_robustus_ott219408","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",18,3.87298334620742,0.0701146706543251,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",34,0.234189466759367,0.04,"ZCOR","Arnqvist 1996",34,"Aquarius remigis","Aquarius_remigis_ott436657","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",28,5,0.234189466759367,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",35,-0.161386696131526,0.0416666666666667,"ZCOR","Arnqvist 1996",35,"Gerris buenoi","Gerris_buenoi_ott706417","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",27,4.89897948556636,0.161386696131526,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",36,0.0500417292784913,0.1,"ZCOR","Arnqvist 1996",36,"Aquarius remigis","Aquarius_remigis_ott436657","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",13,3.16227766016838,0.0500417292784913,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",37,0.202732554054082,0.0454545454545455,"ZCOR","Arnqvist 1996",37,"Gerris buenoi","Gerris_buenoi_ott706417","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",25,4.69041575982343,0.202732554054082,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",38,0.576339754969193,0.111111111111111,"ZCOR","Arnqvist 1996",38,"Aquarius remigis","Aquarius_remigis_ott436657","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",12,3,0.576339754969193,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",39,-0.0500417292784913,0.0588235294117647,"ZCOR","Arnqvist 1996",39,"Gerris buenoi","Gerris_buenoi_ott706417","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",20,4.12310562561766,0.0500417292784913,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",40,0.120581028408444,0.0476190476190476,"ZCOR","Arnqvist 1996",40,"Aquarius remigis","Aquarius_remigis_ott436657","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",24,4.58257569495584,0.120581028408444,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",41,0.287682072451781,0.0166666666666667,"ZCOR","Arnqvist 1996",41,"Gerris buenoi","Gerris_buenoi_ott706417","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",63,7.74596669241483,0.287682072451781,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",42,0.140925576070494,0.0138888888888889,"ZCOR","Arnqvist 1996",42,"Gerris odontogaster","Gerris_odontogaster_ott494591","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",75,8.48528137423857,0.140925576070494,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",43,0.255412811882995,0.012987012987013,"ZCOR","Arnqvist 1996",43,"Gerris odontogaster","Gerris_odontogaster_ott494591","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",80,8.77496438739212,0.255412811882995,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",44,0.181982688600706,0.0196078431372549,"ZCOR","Arnqvist 1996",44,"Gerris odontogaster","Gerris_odontogaster_ott494591","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",54,7.14142842854285,0.181982688600706,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",45,-0.100335347731076,0.0131578947368421,"ZCOR","Arnqvist 1996",45,"Gerris odontogaster","Gerris_odontogaster_ott494591","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",79,8.71779788708135,0.100335347731076,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",46,-0.192337169219545,0.0133333333333333,"ZCOR","Arnqvist 1996",46,"Gerris odontogaster","Gerris_odontogaster_ott494591","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",78,8.66025403784439,0.192337169219545,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",47,0.0100003333533348,0.0357142857142857,"ZCOR","Arnqvist 1996",47,"Gerris lateralis","Gerris_lateralis_ott782398","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",31,5.29150262212918,0.0100003333533348,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",48,0.0500417292784913,0.0135135135135135,"ZCOR","Arnqvist 1996",48,"Gerris odontogaster","Gerris_odontogaster_ott494591","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",77,8.60232526704263,0.0500417292784913,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",49,0.151140435936467,0.012987012987013,"ZCOR","Arnqvist 1996",49,"Gerris lateralis","Gerris_lateralis_ott782398","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",80,8.77496438739212,0.151140435936467,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",50,0.0902441878561468,0.012987012987013,"ZCOR","Arnqvist 1996",50,"Gerris odontogaster","Gerris_odontogaster_ott494591","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",80,8.77496438739212,0.0902441878561468,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",51,0.522984277591344,0.1,"ZCOR","Arnqvist 1996",51,"Aquarius remigis","Aquarius_remigis_ott436657","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",13,3.16227766016838,0.522984277591344,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",52,0.234189466759367,0.0526315789473684,"ZCOR","Arnqvist 1996",52,"Aquarius remigis","Aquarius_remigis_ott436657","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",22,4.35889894354067,0.234189466759367,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",53,0.234189466759367,0.0263157894736842,"ZCOR","Arnqvist 1996",53,"Aquarius remigis","Aquarius_remigis_ott436657","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",41,6.16441400296898,0.234189466759367,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",54,-0.0300090048631265,0.111111111111111,"ZCOR","Arnqvist 1996",54,"Aquarius remigis","Aquarius_remigis_ott436657","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",12,3,0.0300090048631265,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",55,0.120581028408444,0.0909090909090909,"ZCOR","Arnqvist 1996",55,"Aquarius remigis","Aquarius_remigis_ott436657","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",14,3.3166247903554,0.120581028408444,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",56,0.0500417292784913,0.0434782608695652,"ZCOR","Arnqvist 1996",56,"Aquarius remigis","Aquarius_remigis_ott436657","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",26,4.79583152331272,0.0500417292784913,"CRAN",NA,NA,"CRAN"
"metadat_dat.moura2021","metadat","dat.moura2021","Studies on Assortative Mating",57,-0.161386696131526,0.111111111111111,"ZCOR","Arnqvist 1996",57,"Aquarius remigis","Aquarius_remigis_ott436657","Insecta","Arthropoda","body length","uni","yes",1996,"no","no","no",12,3,0.161386696131526,"CRAN",NA,NA,"CRAN"
