"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","authors","ni","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",1,2.77258872223978,1.0625,"PLO","Giannotta et al.",17,0.970142500145332,2.77258872223978,"CRAN",NA,NA,"CRAN"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",2,1.6094379124341,0.6,"PLO","Haraguchi and Ebina",12,1.29099444873581,1.6094379124341,"CRAN",NA,NA,"CRAN"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",3,0,0.5,"PLO","Swift and Solomon",8,1.41421356237309,0,"CRAN",NA,NA,"CRAN"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",4,1.05314991459135,0.089922480620155,"PLO","Kassell et al.",58,3.33476980542472,1.05314991459135,"CRAN",NA,NA,"CRAN"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",5,3.04452243772342,2.0952380952381,"PLO","Tanabe et al.",10,0.690849279707757,3.04452243772342,"CRAN",NA,NA,"CRAN"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",6,0.385662480811985,0.0988235294117647,"PLO","Awad et al.",42,3.18104505140176,0.385662480811985,"CRAN",NA,NA,"CRAN"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",7,2.56494935746154,1.07692307692308,"PLO","Finn et al.",14,0.963624111659432,2.56494935746154,"CRAN",NA,NA,"CRAN"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",8,3.2188758248682,2.08,"PLO","Hadeishi et al.",12,0.693375245281536,3.2188758248682,"CRAN",NA,NA,"CRAN"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",9,0.146603474191875,0.0980861244019139,"PLO","Otsubo et al.",41,3.19298010504599,0.146603474191875,"CRAN",NA,NA,"CRAN"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",10,1.38629436111989,1.25,"PLO","Muizelaar and Becker",5,0.894427190999916,1.38629436111989,"CRAN",NA,NA,"CRAN"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",11,1.6094379124341,1.2,"PLO","Rosenstein et al.",6,0.912870929175277,1.6094379124341,"CRAN",NA,NA,"CRAN"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",12,1.28093384546206,0.255555555555556,"PLO","Levy et al.",23,1.97814142018736,1.28093384546206,"CRAN",NA,NA,"CRAN"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",13,1.75785791755237,0.117241379310345,"PLO","Shimoda et al.",68,2.92051566760151,1.75785791755237,"CRAN",NA,NA,"CRAN"
"metadat_dat.pritz1997","metadat","dat.pritz1997","Studies on the Effectiveness of Hyperdynamic Therapy for Treating Cerebral Vasospasm",14,0.405465108108164,0.416666666666667,"PLO","Solomon et al.",10,1.54919333848297,0.405465108108164,"CRAN",NA,NA,"CRAN"
