"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","studyid","aget1","aget2","propmale","sexmix","precision","abs_yi","source","repo","branch","repo_license"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",1,-0.06,0.001,"from_dataset",2,14.5,18,1,"male",37.037037037037,0.06,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",2,-0.05,0.001,"from_dataset",2,14.5,18,1,"male",37.037037037037,0.05,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",3,-0.05,0.001,"from_dataset",3,14.5,18,0,"female",35.7142857142857,0.05,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",4,-0.05,0.001,"from_dataset",3,14.5,18,0,"female",35.7142857142857,0.05,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",5,-0.01,0.006,"from_dataset",5,11.5,13.5,1,"male",12.5,0.01,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",6,0.03,0.006,"from_dataset",5,11.5,13.5,1,"male",12.5,0.03,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",7,0.1,0.006,"from_dataset",5,11.5,13.5,1,"male",12.5,0.1,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",8,0.141,0.007,"from_dataset",6,11.5,13.5,0,"female",11.7647058823529,0.141,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",9,0.11,0.007,"from_dataset",6,11.5,13.5,0,"female",11.7647058823529,0.11,"CRAN",NA,NA,"CRAN"
"metadat_dat.tannersmith2016","metadat","dat.tannersmith2016","Studies on the Relationship between School Motivation and Criminal Behavior",10,0.213,0.007,"from_dataset",6,11.5,13.5,0,"female",11.7647058823529,0.213,"CRAN",NA,NA,"CRAN"
