study,yi,sei
Morton,-0.8303483,1.24701799987009
Rasmussen,-1.056053,0.4140706002603904
Smith,-1.27834,0.8081392002619351
Abraham,-0.0434851,1.429509999965023
Feldstedt,0.2231435,0.48916840045121474
Schechter,-2.40752,1.0722079998768896
Ceremuzynski,-1.280934,1.1937340001022003
Bertschat,-1.191703,1.6612919999205438
Singh,-0.695748,0.5361776002408157
Pereira,-2.208274,1.109648000043257
Schechter 1,-2.03816,0.780726300312728
Golf,-0.8501509,0.6184486001277714
Thogersen,-0.7932307,0.6258661997583829
LIMIT-2,-0.2993399,0.14657289995084358
Schechter 2,-1.570789,0.5740395003830311
ISIS-4,0.0575873,0.03164209221906794
