"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","study_id","samp_id","es_id","authors","ni","sex","age","dep_status","comorbid_anx","emo_val","macro_micro","cue_type","spec_rated","dep_rated","cat_dim","quality","published","mode","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_gamble2019","psymetadata","gamble2019","Meta-analytic data collected from studying on the specificity of future thinking in depression",1,-0.529543029493135,0.0110170508932825,"from_dataset",1,1,1,"Addis, Hach & Tippett (2016) - D1 - FT1",48,0.854166666666667,24.5,"ND-CD","mixed/unknown","combined","macro","event","researcher","mixed","cat",16,"yes","simulation",9.52724475016758,0.529543029493135,"CRAN",NA,NA,"CRAN"
"psymetadata_gamble2019","psymetadata","gamble2019","Meta-analytic data collected from studying on the specificity of future thinking in depression",2,-0.17234408622477,0.020031431264805,"from_dataset",1,1,2,"Addis, Hach & Tippett (2016) - D1 - FT2",48,0.854166666666667,24.5,"ND-CD","mixed/unknown","combined","micro","event","self","mixed","cat",16,"yes","simulation",7.06551803725458,0.17234408622477,"CRAN",NA,NA,"CRAN"
"psymetadata_gamble2019","psymetadata","gamble2019","Meta-analytic data collected from studying on the specificity of future thinking in depression",3,-0.135,0.0205081308643617,"from_dataset",1,1,3,"Addis, Hach & Tippett (2016) - D2 - FT1",48,0.854166666666667,24.5,"ND-CD","mixed/unknown","combined","macro","event","researcher","self","dim",16,"yes","simulation",6.98291828616643,0.135,"CRAN",NA,NA,"CRAN"
"psymetadata_gamble2019","psymetadata","gamble2019","Meta-analytic data collected from studying on the specificity of future thinking in depression",4,0,0.0166666666666667,"from_dataset",2,2,4,"Anderson, Boland & Garner (2015) - S1",61,0.85,20.5752459016393,"ND-UDS","mixed/unknown","neutral","macro","open","researcher","self","cat",12,"yes","simulation",7.74596669241483,0,"CRAN",NA,NA,"CRAN"
"psymetadata_gamble2019","psymetadata","gamble2019","Meta-analytic data collected from studying on the specificity of future thinking in depression",5,-0.425008334901923,0.0129108419339212,"from_dataset",3,3,5,"Anderson, Boland & Garner (2015) - S2",53,0.60377358490566,20.4154716981132,"ND-UDS","mixed/unknown","combined","macro","open","researcher","self","cat",13,"yes","simulation",8.80081147503254,0.425008334901923,"CRAN",NA,NA,"CRAN"
"psymetadata_gamble2019","psymetadata","gamble2019","Meta-analytic data collected from studying on the specificity of future thinking in depression",6,-0.645876086681715,0.00585702107503287,"from_dataset",4,4,6,"Anderson & Evans (2015) - FT1",59,0.661016949152542,22.0671186440678,"ND-UDS","mixed/unknown","neutral","micro","open","self","self","cat",14,"yes","simulation",13.0665702177762,0.645876086681715,"CRAN",NA,NA,"CRAN"
"psymetadata_gamble2019","psymetadata","gamble2019","Meta-analytic data collected from studying on the specificity of future thinking in depression",7,-0.637737982221958,0.00606885068564978,"from_dataset",4,4,7,"Anderson & Evans (2015) - FT2",59,0.661016949152542,22.0671186440678,"ND-UDS","mixed/unknown","neutral","micro","open","self","self","cat",14,"yes","simulation",12.8365043923711,0.637737982221958,"CRAN",NA,NA,"CRAN"
"psymetadata_gamble2019","psymetadata","gamble2019","Meta-analytic data collected from studying on the specificity of future thinking in depression",8,-0.677561171676697,0.00504456132742147,"from_dataset",4,4,8,"Anderson & Evans (2015) - FT3",59,0.661016949152542,22.0671186440678,"ND-UDS","mixed/unknown","neutral","micro","open","self","self","cat",14,"yes","simulation",14.0795345189907,0.677561171676697,"CRAN",NA,NA,"CRAN"
"psymetadata_gamble2019","psymetadata","gamble2019","Meta-analytic data collected from studying on the specificity of future thinking in depression",9,0.0247703669226434,0.0140672286523169,"from_dataset",5,5,9,"Beaty, Seli & Schacter (2018)",72,0.777777777777778,20.1944444444444,"ND-UDS","mixed/unknown","combined","micro","open","self","self","dim",13,"yes","simulation",8.43132298910739,0.0247703669226434,"CRAN",NA,NA,"CRAN"
"psymetadata_gamble2019","psymetadata","gamble2019","Meta-analytic data collected from studying on the specificity of future thinking in depression",10,-0.481464787580245,0.0100020071849645,"from_dataset",6,6,10,"Belcher & Kangas (2014) - FT1",60,0.766666666666667,34.415,"ND-CD","mixed/unknown","neutral","macro","single","researcher","researcher","cat",14,"yes","simulation",9.99899655857214,0.481464787580245,"CRAN",NA,NA,"CRAN"
