"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","study_id","sample_id","author","pub_year","pub_type","ed_level1","ed_level2","country","perc_white","age","perc_female","ei_construct","ei_stream","ei_measure","subject","humanities","achievement_type","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Abdo NA",0.218320115677371,0.00342243199960925,"from_dataset",1,1,"Abdo",2012,1,1,1,"USA",77,17.28,62,0,3,3.1,0,0,0,17.0935625713569,0.218320115677371,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Abdullah, Habibah, Mahyuddin, & Uli NA",0.30032242277392,0.00405758707154266,"from_dataset",2,2,"Abdullah, Habibah, Mahyuddin, & Uli",2004,0,1,1,"Kuala Lumpur & Malaysia",NA,16.5,NA,0,1,1.2,0,0,0,15.6987862382411,0.30032242277392,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Abel NA",0.137669603487918,0.0124993944638577,"from_dataset",3,3,"Abel",2013,1,1,1,"USA",0,17.47,63.3,0,3,3.2,0,0,0,8.94448856106692,0.137669603487918,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Adeyemo NA",0.410148783087119,0.00231389498633138,"from_dataset",5,5,"Adeyemo",2007,0,2,2,"Nigeria",NA,19.4,53.33,0,2,2.2,6,0,0,20.7887404695586,0.410148783087119,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Afolabi, Okediji, Ogunmwonji NA",0.293392098729833,0.00766285994397654,"from_dataset",6,6,"Afolabi, Okediji, Ogunmwonji",2009,0,2,2,"Nigeria",NA,21.55,41.8,0,3,NA,0,0,0,11.4236412513895,0.293392098729833,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Agnoli, Mancini, Pozzoli, Baldaro, Russo & Surcinelli NA",0.17718939628824,0.00267291609589979,"from_dataset",7,7,"Agnoli, Mancini, Pozzoli, Baldaro, Russo & Surcinelli",2012,0,0,0,"Italy",NA,9.35,53.41,0,3,3.2,1,0,0,19.3422653471362,0.17718939628824,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Agnoli, Mancini, Pozzoli, Baldaro, Russo & Surcinelli NA",0.244754792692564,0.00251788826488872,"from_dataset",7,7,"Agnoli, Mancini, Pozzoli, Baldaro, Russo & Surcinelli",2012,0,0,0,"Italy",NA,9.35,53.41,0,3,3.2,2,0,0,19.9288286530869,0.244754792692564,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Ahammed, Abdullah, & Hassane NA",-0.136706017350893,0.00474370537432161,"from_dataset",8,8,"Ahammed, Abdullah, & Hassane",2011,0,2,2,"UAE",NA,20.5,65.2,2,1,1.1,0,0,0,14.5191484656583,0.136706017350893,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Ahammed, Abdullah, & Hassane NA",-0.115028440003117,0.00479661078662487,"from_dataset",8,8,"Ahammed, Abdullah, & Hassane",2011,0,2,2,"UAE",NA,20.5,65.2,3,1,1.1,0,0,0,14.4388551674935,0.115028440003117,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Ahammed, Abdullah, & Hassane NA",-0.112991793089391,0.00480112664723222,"from_dataset",8,8,"Ahammed, Abdullah, & Hassane",2011,0,2,2,"UAE",NA,20.5,65.2,0,1,1.1,0,0,0,14.4320630953726,0.112991793089391,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Ahammed, Abdullah, & Hassane NA",-0.104741679434405,0.00481861438451756,"from_dataset",8,8,"Ahammed, Abdullah, & Hassane",2011,0,2,2,"UAE",NA,20.5,65.2,NA,1,1.1,0,0,0,14.4058508367632,0.104741679434405,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Ahammed, Abdullah, & Hassane NA",-0.104315290168437,0.00481948301196361,"from_dataset",8,8,"Ahammed, Abdullah, & Hassane",2011,0,2,2,"UAE",NA,20.5,65.2,NA,1,1.1,0,0,0,14.4045525770466,0.104315290168437,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Ahammed, Abdullah, & Hassane NA",-0.0677272146827517,0.00488102014348703,"from_dataset",8,8,"Ahammed, Abdullah, & Hassane",2011,0,2,2,"UAE",NA,20.5,65.2,1,1,1.1,0,0,0,14.3134623514569,0.0677272146827517,"CRAN",NA,NA,"CRAN"
"psymetadata_maccann2020","psymetadata","maccann2020","Studies examining whether student emotional intelligence is associated with academic performance","Ahammed, Abdullah, & Hassane NA",-0.0583544817062889,0.00489261627894944,"from_dataset",8,8,"Ahammed, Abdullah, & Hassane",2011,0,2,2,"UAE",NA,20.5,65.2,4,1,1.1,0,0,0,14.2964899072007,0.0583544817062889,"CRAN",NA,NA,"CRAN"
