"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","lab","es_id","ni","age_group","method","nae","age_mo","age_mo_centered","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",1,0.674079035822965,0.1056797818317,"from_dataset","babylabbrookes",1,20,"3-6 mo","Central fixation",FALSE,4.52731006160164,-5.02800044172432,3.07612547245616,0.674079035822965,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",2,0.574899581408515,0.138841825478395,"from_dataset","babylabbrookes",2,15,"6-9 mo","Central fixation",FALSE,7.57399041752225,-1.98132008580372,2.68373631234728,0.574899581408515,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",3,0.268025809996838,0.126122466169132,"from_dataset","babylabbrookes",3,16,"12-15 mo","Central fixation",FALSE,13.564681724846,4.00937122152003,2.81581276159492,0.268025809996838,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",4,0.349978610572626,0.135374750464306,"from_dataset","babylabkingswood",4,15,"6-9 mo","HPP",FALSE,7.2082135523614,-2.34709695096457,2.71788555490002,0.349978610572626,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",5,0.426750478150088,0.136368599510022,"from_dataset","babylabkingswood",5,15,"12-15 mo","HPP",FALSE,13.4877481177276,3.93243761440162,2.70796352192271,0.426750478150088,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",6,0.841438136317581,0.145133635620827,"from_dataset","babylabkonstanz",6,15,"6-9 mo","HPP",FALSE,7.72731006160164,-1.82800044172432,2.62491934015881,0.841438136317581,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",7,0.624972870037333,0.149831983719334,"from_dataset","babylablangessex",7,14,"6-9 mo","Eye tracking",FALSE,7.25843355822822,-2.29687694509775,2.58343616731389,0.624972870037333,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",8,1.12166673732002,0.154302271160169,"from_dataset","babylableiden",8,15,"9-12 mo","HPP",FALSE,10.4914442162902,0.936133712964246,2.54573879422171,1.12166673732002,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",9,0.565443309463076,0.0670945656146496,"from_dataset","babylablmu",9,31,"9-12 mo","Eye tracking",FALSE,10.7104722792608,1.15516177593481,3.86061351986519,0.565443309463076,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",10,0.584624158806781,0.0695148783921711,"from_dataset","babylablmu",10,30,"12-15 mo","Eye tracking",FALSE,13.6016427104723,4.04633220714631,3.79281025294974,0.584624158806781,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",11,0.487940311030265,0.0762785717326695,"from_dataset","babylabnijmegen",11,27,"6-9 mo","HPP",FALSE,7.75481025173017,-1.8005002515958,3.62075153707308,0.487940311030265,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",12,-0.0246617250735111,0.0909160022804955,"from_dataset","babylabnijmegen",12,22,"9-12 mo","HPP",FALSE,10.8956505506814,1.34034004735538,3.31649872420195,0.0246617250735111,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",13,0.54085485444389,0.129570687087118,"from_dataset","babylabparisdescartes1",13,16,"12-15 mo","HPP",FALSE,13.2443531827515,3.68904267942557,2.7780919698036,0.54085485444389,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",14,0.636359350332156,0.0778236409514367,"from_dataset","babylabplymouth",14,27,"9-12 mo","HPP",FALSE,10.5096965548711,0.954386051545127,3.5846291107539,0.636359350332156,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",15,0.647065080542316,0.140311553640954,"from_dataset","babylabpotsdam",15,15,"9-12 mo","Central fixation",FALSE,9.88254620123203,0.327235697906067,2.66964357998823,0.647065080542316,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",16,0.517638296608789,0.0688995783843004,"from_dataset","babylabpotsdam",16,30,"9-12 mo","HPP",FALSE,10.1968514715948,0.641540968268831,3.80970824507643,0.517638296608789,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",17,0.661734803794448,0.150676659831301,"from_dataset","babylabprinceton",17,14,"12-15 mo","HPP",TRUE,13.6462305661484,4.09092006282246,2.57618476664451,0.661734803794448,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",18,-0.0830792034807204,0.153978887577904,"from_dataset","babylabshimane",18,13,"3-6 mo","Eye tracking",FALSE,4.81945980097931,-4.73585070234666,2.54841064863433,0.0830792034807204,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",19,0.171613577747355,0.143383057501201,"from_dataset","babylabshimane",19,14,"6-9 mo","Eye tracking",FALSE,7.67615136403637,-1.87915913928959,2.64089467861593,0.171613577747355,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",20,0.40166117452452,0.0927424056718229,"from_dataset","babylabuclajohnson",20,22,"12-15 mo","Eye tracking",TRUE,13.388090349076,3.83277984575001,3.28367995238445,0.40166117452452,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",21,0.830194367435404,0.167100436302336,"from_dataset","babylabumassb",21,13,"6-9 mo","Eye tracking",TRUE,7.3087979782025,-2.24651252512347,2.44630840846622,0.830194367435404,"CRAN",NA,NA,"CRAN"
"psymetadata_manybabies2020","psymetadata","manybabies2020","Studies from ManyBabies 1: Infant-Directed Speech Preference.",22,0.17460611782741,0.0669207274698563,"from_dataset","babylabutrecht",22,30,"6-9 mo","HPP",FALSE,7.40752908966461,-2.14778141366135,3.86562457282166,0.17460611782741,"CRAN",NA,NA,"CRAN"
