lab,es_id,yi_r,vi_r,yi_d,vi_d,ni,country,weird,western,educated,industrialized,rich,democratic,mean_weird_score,online,analysis
aus,1,-0.0023,0.01111,-0.00459,0.04461,91,United Arab Emirates,0,0,0.67,0.4,0,0.4,0.29400000000000004,lab,Kay.1
badaniaon,2,-0.08155,0.02741,-0.15922,0.10853,37,Poland,1,1,0.83,0.19,1,0.71,0.746,online,Kay.1
bc,3,-0.00331,0.01351,-0.00654,0.05334,75,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
bilgi,4,-0.04523,0.00651,-0.09015,0.02611,154,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Kay.1
brasilia,5,-0.13201,0.00947,-0.26406,0.03927,103,Brazil,0,1,0.66,0.08,0,0.65,0.47800000000000004,lab,Kay.1
cas,6,0.00879,0.0147,0.01733,0.05808,69,China,0,0,0.61,0.08,0,0.74,0.286,lab,Kay.1
doshisha,7,-0.07261,0.00876,-0.14452,0.03528,114,Japan,0,0,0.81,0.8,1,0.75,0.672,lab,Kay.1
elte,8,-0.04455,0.01083,-0.0894,0.0442,93,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Kay.1
grazvienna,9,-0.01285,0.00826,-0.02561,0.03311,122,Hungary,1,1,0.81,0.24,1,0.67,0.744,lab,Kay.1
hawaiion,10,-0.04181,0.00987,-0.08326,0.03963,102,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Kay.1
hkust,11,0.06187,0.00954,0.12325,0.03845,105,"Hong Kong, China",0,0,0.77,0.08,0,0.74,0.31799999999999995,lab,Kay.1
hunancomp,12,-0.09837,0.00672,-0.19658,0.0274,147,China,0,0,0.61,0.08,0,0.74,0.286,online,Kay.1
ithaca,13,0.03598,0.01295,0.0711,0.05135,78,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
johannesburg,14,-0.02676,0.01958,-0.05251,0.07695,52,South Africa,0,1,0.7,0.09,0,0.55,0.46799999999999997,online,Kay.1
koc,15,-0.09064,0.01157,-0.17994,0.04673,86,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Kay.1
lausanne,16,0.06216,0.00886,0.12358,0.03554,113,Switzerland,1,1,0.84,1,1,0.87,0.942,online,Kay.1
marian,17,-0.09876,0.01257,-0.20328,0.05474,79,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
mturk,18,-0.01107,0.00304,-0.02217,0.01222,330,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,online,Kay.1
mturk_india,19,-0.05988,0.00284,-0.12041,0.0116,350,India,0,0,0.47,0.0131,0,0.55,0.20662000000000003,online,Kay.1
navarra,20,0.19905,0.01774,0.39914,0.07722,53,Spain,1,1,0.79,0.34,1,0.76,0.7779999999999999,online,Kay.1
ntnu,21,0.09247,0.01184,0.18895,0.05069,84,Taiwan,0,NA,NA,NA,NA,NA,NA,lab,Kay.1
occid,22,-0.17189,0.01427,-0.34408,0.0607,67,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
plu,23,0.04271,0.0106,0.08483,0.04237,95,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
poitiers,24,0.07864,0.02297,0.15431,0.09137,44,France,1,1,0.82,0.38,1,0.79,0.7979999999999999,lab,Kay.1
potsdam,25,-0.10073,0.01101,-0.20028,0.04469,90,Germany,1,1,0.88,0.73,1,0.82,0.8859999999999999,online,Kay.1
pscio,26,-0.13675,0.01146,-0.27285,0.0475,85,Uruguay,0,1,0.71,0.09,0,0.74,0.508,lab,Kay.1
psuabington,27,0.0684,0.01101,0.13661,0.04471,91,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
psumain,28,-0.06364,0.01256,-0.12593,0.0501,80,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
purkyne,29,0.12931,0.00691,0.25913,0.02864,141,Czech Republic,1,1,0.87,0.4,1,0.71,0.796,lab,Kay.1
sandiegosu,30,0.05887,0.00581,0.1173,0.02331,172,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
santiagoon,31,-0.18276,0.01584,-0.36635,0.06808,60,Chile,1,1,0.75,1,0,0.73,0.696,online,Kay.1
swps,32,-0.00623,0.01064,-0.01246,0.04291,95,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Kay.1
tamu,33,-0.10122,0.01,-0.20192,0.04081,99,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
toronto,34,0.0607,0.00284,0.12172,0.01153,350,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Kay.1
tufts,35,-0.02953,0.01161,-0.05871,0.04649,87,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
ubc,36,-0.1265,0.01195,-0.25222,0.04928,82,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Kay.1
ucron,37,-0.05011,0.00995,-0.09936,0.03966,101,Costa Rica,0,1,0.65,0.1,0,0.72,0.49399999999999994,online,Kay.1
udd,38,0.05508,0.01069,0.10924,0.04269,94,Chile,1,1,0.75,1,0,0.73,0.696,lab,Kay.1
ufl,39,-0.05463,0.00864,-0.11013,0.03559,116,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
uiuc,40,-0.00976,0.00497,-0.01944,0.01985,202,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
umich,41,0.03305,0.01147,0.06565,0.04586,88,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
unam,42,-0.01942,0.00699,-0.03858,0.02779,144,Mexico,0,1,0.64,0.13,0,0.58,0.47000000000000003,online,Kay.1
unibelgrade,43,-0.12549,0.01211,-0.25,0.04984,81,Serbia,0,1,0.7,0.04,0,0.62,0.472,lab,Kay.1
uva,44,0.01849,0.0119,0.03657,0.04713,85,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
vuw,45,-0.0027,0.0099,-0.00537,0.0396,102,New Zealand,1,1,0.92,0.35,1,0.82,0.818,online,Kay.1
washlee,46,0.05401,0.01036,0.10874,0.0426,97,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
wilfredlaur,47,-0.09541,0.01091,-0.18959,0.04416,91,Canada,1,1,0.85,0.45,1,0.79,0.818,lab,Kay.1
williampat,48,0.04341,0.0081,0.0862,0.03229,124,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
winchester,49,0.15015,0.00692,0.30175,0.02914,139,UK,1,1,0.86,0.4,1,0.8,0.8119999999999999,lab,Kay.1
wpi,50,-0.03916,0.01187,-0.08103,0.05155,85,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Kay.1
wroclaw,51,0.04628,0.01037,0.09351,0.04293,97,Poland,1,1,0.83,0.19,1,0.71,0.746,lab,Kay.1
zhejiang,52,0.10504,0.01164,0.20876,0.04732,85,China,0,0,0.61,0.08,0,0.74,0.286,NA,Kay.1
aus,53,-0.16772,0.01286,-0.34027,0.05606,91,United Arab Emirates,0,0,0.67,0.4,0,0.4,0.29400000000000004,lab,Rottenstreich.1
badaniaon,54,-0.17248,0.03025,-0.35021,0.13246,38,Poland,1,1,0.83,0.19,1,0.71,0.746,online,Rottenstreich.1
bc,55,0.05443,0.01618,0.10902,0.06529,76,USA,1,1,0.89,0.55,1,0.77,0.8420000000000002,lab,Rottenstreich.1
bilgi,56,0.00718,0.00924,0.01437,0.03696,153,Turkey,0,0,0.65,0.13,0,0.55,0.266,online,Rottenstreich.1
brasilia,57,-0.08978,0.01172,-0.18028,0.04804,103,Brazil,0,1,0.66,0.08,0,0.65,0.47800000000000004,lab,Rottenstreich.1
cas,58,-0.1118,0.01801,-0.22502,0.07481,69,China,0,0,0.61,0.08,0,0.74,0.286,lab,Rottenstreich.1
doshisha,59,0.07662,0.01053,0.15369,0.04289,114,Japan,0,0,0.81,0.8,1,0.75,0.672,lab,Rottenstreich.1
