study_id,es_id,authors,year,yi,vi,ni,es,se,type_es,citations,countrycode,jrnl_impact,similarity
32,1,Addington,2003,0.371053999608324,0.002666666666666664,378,1,0.140283266,4,59,CA,4.426,1
636,2,Gonzalez-Blanch,2006,0.390009616981735,0.012195121951219615,85,0.8,0.225455192,4,22,ES,3.355,1
1267,3,Pena,2011,0.602716240068805,0.008547008547008557,120,1.42,0.222354083,4,9,ES,4.426,1
1182,4,Ngoma,2010,0.657779440360939,0.0029585798816568025,341,1.42,0.121703307,4,2,CD,2.682,1
1901,5,Zabala,2010,0.323984129535086,0.004950495049504952,205,0.66,0.143569896,4,32,ES,3.355,1
1124,6,Mohamed,1999,0.231332683339432,0.0025252525252525246,399,0.55,0.119566128,4,269,US,13.747,1
1027,7,Ma,2007,0.385659724201511,0.002967359050445101,340,0.81,0.115388768,4,36,CN,3.271,1
837,8,Joyce,2002,0.513950532426782,0.004672897196261679,217,1.11,0.150125149,4,37,GB,NA,1
22,9,Aas,2011,0.468884062481733,0.018867924528301883,56,0.975,0.283341834,4,22,GB,5.428,1
1069,10,Maziade ,2009,0.687860398651907,0.015625,67,1.583,0.293900377,4,22,CA,8.607,1
474,11,Dworkin (adolescence),1993,0.615658369276191,0.008196721311475405,125,1.314,0.19766926,4,67,US,8.607,0
475,12,Dworkin (childhood),1993,0.595907954859457,0.0068027210884353834,150,1.275,0.180466261,4,67,US,8.607,0
543,13,Fis,2008,0.491919110896092,0.017543859649122705,60,1.024,0.274599345,4,9,TR,3.554,1
669,14,Groom,2008,0.480341968166985,0.0074074074074074,138,0.999,0.18071068,4,36,GB,4.426,1
180,15,Bhojraj,2009,0.438666795742491,0.007692307692307689,133,0.907,0.182349652,4,25,US,4.426,0
1504,16,Schreiber,1992,0.252806334213803,0.012345679012345652,84,0.573,0.248648432,4,22,DE,2.682,1
639,17,Goodman,1987,0.256820261960855,0.010989010989011025,94,0.544,0.219705714,4,40,DE,8.607,1
1872,18,Worland,1984,0.252605137047895,0.004405286343612335,230,0.515,0.135162435,4,11,NA,3.167,1
479,19,Eack,2010,0.243737836785603,0.007692307692307689,133,0.493,0.176273788,4,38,US,8.607,1
1242,20,Ozan,2010,0.22921515864238,0.015625,67,0.465,0.248945737,4,8,TR,2.974,1
633,21,Goldstein,2000,0.179774130703561,0.0036363636363636338,278,0.367,0.122771609,4,32,US,8.607,1
1579,22,Sohlberg (Raven's matrices),1985,0.112264036742057,0.010309278350515483,100,0.225,0.200631815,4,28,US,8.607,1
140,23,Bartak,1976,0.472819654859512,0.016393442622950827,64,2.014903021,1.077226377,3,185,GB,NA,1
396,24,Danielsson,2005,0.157556482855262,0.009523809523809521,108,1.252762968,1.113766668,3,95,SE,4.584,1
1781,25,Volkmar,1990,0.268991829666865,0.0054644808743169425,186,1.401798548,0.757610955,3,214,US,6.354,1
768,26,Hrdlicka,2004,0.136826720197108,0.015151515151515218,69,0.619039208,0.827082785,3,37,CZ,3.554,1
1227,27,Olsson,1988,-0.34106671863287,0.02040816326530616,52,-1.974081026,0.936897955,3,142,SE,7.008,1
1723,28,Tuchman,1991,0.0707085365389188,0.0034843205574912857,290,0.302963269,0.399763475,3,145,US,5.297,1
880,29,Kielinen,2004,0.226547059212987,0.005434782608695656,187,0.829166137,0.400731808,3,81,FI,3.5,0
805,30,Jacobson,1983,0.316854202766899,9.199632014719428e-4,1090,1.223348051,0.246352336,3,15,US,NA,1
1391,31,Rodgers,1978,0.113092107914232,4.13052457662124e-4,2424,0.226666667,0.040752457,4,124,GB,3.292,1
530,32,Fergusson,1982,0.0696104353429831,9.671179883945814e-4,1037,0.139333333,0.062182322,4,89,NZ,2.558,1
1238,33,Ounsted,1984,0.185926934340636,0.004184100418410043,242,0.374,0.129683945,4,35,GB,16.378,1
1140,34,Morley,1988,0.144826519642461,0.0013020833333333326,771,0.290666667,0.072407583,4,91,GB,2.905,1
464,35,Doyle,1992,0.166562110793636,0.010752688172043109,96,0.334666667,0.20554807,4,18,AU,39.207,1
805,36,Jacobson,1992,0.0569691795398246,0.003124999999999995,323,0.114,0.11137333,4,51,US,39.207,1
1011,37,Lucas,1992,0.273253426415572,0.003571428571428574,283,0.553333333,0.121141346,4,675,GB,39.207,1
1396,38,Rogan,1993,0.0898789407439468,0.0011737089201877943,855,0.18,0.068536924,4,159,US,1.931,1
1677,39,Temboury,1994,0.144826519642461,0.004424778761061943,229,0.290666667,0.13285977,4,54,ES,2.873,1
554,40,Florey,1995,0.123022781724928,0.0016977928692699523,592,0.246666667,0.082511488,4,44,GB,9.197,1
36,41,Ahles breast,2002,0.00999983334083285,0.03125000000000004,35,-0.02,0.338070153,4,330,US,17.96,1
37,42,Ahles Lymph,2002,0.104808013476227,0.030303030303030356,36,-0.21,0.334250821,4,330,US,17.96,1
1266,43,Peace,2002,0.12963659033633,0.019230769230769156,55,-0.26,0.270816946,4,NA,NA,NA,NA
1374,44,Riggs,2001,-0.0499791900693487,0.10000000000000003,13,0.1,0.555046776,4,NA,US,NA,NA
240,45,Brezden,2000,-0.0449848263229507,0.02702702702702694,40,0.09,0.316387816,4,252,CA,17.96,1
1485,46,Schagen,1999,0.242612911397075,0.027777777777777887,39,-0.49,0.325026626,4,322,NL,4.901,1
1750,47,van Dam,1998,0.0699429590194018,0.032258064516129066,34,-0.14,0.343417085,4,391,NL,15.161,1
1759,48,van Oosterhout,1996,0.28127637161931,0.02173913043478257,49,-0.57,0.291458332,4,44,NL,4.176,1
1103,49,Meyers,1995,-0.154385969709221,0.04545454545454527,25,0.31,0.402395328,4,78,US,3.737,1
1261,50,Pavol,1995,0.436049668851741,0.07692307692307718,16,-0.9,0.524702297,4,121,US,8.303,1
1252,51,Parth,1989,0,0.05882352941176472,20,0,0.447213595,4,52,US,0.521,1
432,52,Denicoff,1987,0.319534632000572,0.028571428571428463,38,-0.65,0.332899938,4,367,US,16.104,1
42,53,Albee (2nd grade),1964,0.139661805431728,3.6603221083455253e-4,2735,0.678728827,0.093078683,4,33,US,0.968,1
945,54,Lane (6th grade),1968,0.0601656148349336,2.3786869647954355e-4,4207,0.612817693,0.157082512,4,17,US,NA,1
1220,55,Offord,1974,0.167432454916424,0.0078740157480315,130,0.336431684,0.176648132,4,65,CA,7.343,1
944,56,Lane (2nd grade),1968,0.124103992461117,2.1574973031283638e-4,4638,1.329234378,0.157474614,4,17,US,4.974,1
43,57,Albee (6th grade),1964,0.118005152413858,2.3164234422052402e-4,4320,0.637928782,0.082344678,4,33,US,0.968,1
1303,58,Pollack (6th-9th grade),1970,0.052833621681384,0.05263157894736853,22,0.10571641,0.426699169,4,NA,NA,NA,NA
44,59,Albee (8th grade),1964,0.0738865113488882,1.976284584980228e-4,5063,0.523852134,0.099686766,4,33,US,0.968,1
1483,60,Schaffner (7th-9th grade),1967,0.198075273750529,0.016393442622950827,64,0.39874605,0.252472127,4,NA,US,NA,1
1304,61,Pollack (Kindergarten-2nd grade),1970,0.306865827728405,0.037037037037036945,30,0.623409283,0.373912626,4,NA,NA,NA,NA
1484,62,Schaffner (Kindergarten-3rd grade),1967,0.132469397472347,0.021276595744680982,50,0.265714339,0.284088087,4,NA,US,NA,1
1302,63,Pollack (3rd-5th grade),1970,0.314616195072826,0.04000000000000001,28,0.639664475,0.387509692,4,NA,NA,NA,NA
1220,64,Offord,1974,0.403297745677756,0.01010101010101006,102,0.828639335,0.206353057,4,65,CA,7.343,1
1220,65,Offord,1971,0.336571701883456,0.008849557522123888,116,0.79203749,0.220637693,4,39,CA,13.747,1
1482,66,Schaffner (4th-6th grade),1967,0.0984033384457158,0.02040816326530616,52,0.197124451,0.278022862,4,NA,US,NA,1
132,67,Baron-Cohen,1997,-0.080171325,0.07692307692307718,16,-0.080171325,0.277350098,1,495,GB,5.669,0
