"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","author","study_id","study_year","es_id","group_id","ef_type","ef_component","domain","test","year","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Borella 2013 2013",0.0561555107210318,0.105304650544531,"from_dataset","Borella 2013","1837",2013,"1","DS","inhibition","inhibition","verbal","Animal Stroop",2013,3.08159970857111,0.0561555107210318,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Borella 2013 2013",-0.769515072745945,0.113054650620832,"from_dataset","Borella 2013","1837",2013,"2","DS","inhibition","inhibition","verbal","Proactive interference",2013,2.9741014854582,0.769515072745945,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Borella 2013 2013",0.746119322256241,0.112588079513738,"from_dataset","Borella 2013","1837",2013,"3","DS","inhibition","inhibition","verbal","Directed forgetting",2013,2.98025753322283,0.746119322256241,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Carretti 2010 2010",-0.57304510330697,0.0743605418787866,"from_dataset","Carretti 2010","964",2010,"4","NSID","updating","updating","verbal","Updating word span",2010,3.66715044312175,0.57304510330697,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Danielsson 2012 2012",-0.643174620948505,0.0956099271935483,"from_dataset","Danielsson 2012","2944",2012,"5","NSID","inhibition","inhibition","verbal","VIMI verbal",2012,3.2340632270472,0.643174620948505,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Danielsson 2012 2012",-1.00916660776036,0.10248201411612,"from_dataset","Danielsson 2012","2944",2012,"6","NSID","inhibition","inhibition","visuospatial","VIMI motor",2012,3.12374931512491,1.00916660776036,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Danielsson 2012 2012",-1.15899403126258,0.106173490505708,"from_dataset","Danielsson 2012","2944",2012,"7","NSID","other","other","verbal","D-KEFS sorting",2012,3.06896511894062,1.15899403126258,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Danielsson 2012 2012",-0.833083960367945,0.0987957827843448,"from_dataset","Danielsson 2012","2944",2012,"8","NSID","other","other","visuospatial","D-KEFS sorting",2012,3.18149171558662,0.833083960367945,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Danielsson 2012 2012",-0.365467660492084,0.0924268933052904,"from_dataset","Danielsson 2012","2944",2012,"9","NSID","shifting","shifting","verbal","D-KEFS category fluency switch",2012,3.28927983209843,0.365467660492084,"CRAN",NA,NA,"CRAN"
"psymetadata_spaniol2020","psymetadata","spaniol2020","Studies on Executive function components in intellectual disability","Danielsson 2012 2012",-0.283002211686115,0.0918192074070367,"from_dataset","Danielsson 2012","2944",2012,"10","NSID","shifting","shifting","visuospatial","CANTAB ID ED",2012,3.3001465814725,0.283002211686115,"CRAN",NA,NA,"CRAN"
