"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","study_id","es_id","author","pub_year","pub_type","peer_review","adapt_measures","adapt_method","adapt_method_specific","go_measure","financ_support","age","age_imputed","sex","perc_men","country","sample","level","complexity_dynamic","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_stasielowicz2019a","psymetadata","stasielowicz2019a","Studies on the association between goal orientation and performance adaptation",1,0.14,0.00275410934097421,"from_dataset",1,1,"Bell",2008,1,1,"3",2,3,"VandeWalle",1,NA,21,3,42,"USA",1,1,"3",19.0550200859541,0.14,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019a","psymetadata","stasielowicz2019a","Studies on the association between goal orientation and performance adaptation",2,0.09,0.00281909916905444,"from_dataset",1,2,"Bell",2008,1,1,"3",2,3,"Horvath",1,NA,21,3,42,"USA",1,1,"3",18.834097885139,0.09,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019a","psymetadata","stasielowicz2019a","Studies on the association between goal orientation and performance adaptation",3,0.243,0.0150065895661186,"from_dataset",2,3,"Kozlowski",2001,1,1,"3",2,3,"Button",0,NA,NA,NA,NA,"USA",1,1,"3",8.16317294722958,0.243,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019a","psymetadata","stasielowicz2019a","Studies on the association between goal orientation and performance adaptation",4,0.61,0.0017600821875,"from_dataset",3.1,4,"Beuing",2009,8,0,"1",1,1,"VandeWalle",0,33.3,33.3,3,48,"Germany",2,1,"",23.8360081973177,0.61,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019a","psymetadata","stasielowicz2019a","Studies on the association between goal orientation and performance adaptation",5,0.31,0.00364747861607143,"from_dataset",3.1,5,"Beuing",2009,8,0,"1",1,1,"VandeWalle",0,33.3,33.3,3,48,"Germany",2,1,"",16.5578377553886,0.31,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019a","psymetadata","stasielowicz2019a","Studies on the association between goal orientation and performance adaptation",6,0.55,0.00236168082524272,"from_dataset",3.2,6,"Beuing",2009,8,0,"1",1,1,"VandeWalle",0,22.1,22.1,3,23.3,"Germany",1,1,"",20.5773478056019,0.55,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019a","psymetadata","stasielowicz2019a","Studies on the association between goal orientation and performance adaptation",7,0.43,0.00322518451456311,"from_dataset",3.2,7,"Beuing",2009,8,0,"1",1,1,"VandeWalle",0,22.1,22.1,3,23.3,"Germany",1,1,"",17.6085144085478,0.43,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019a","psymetadata","stasielowicz2019a","Studies on the association between goal orientation and performance adaptation",8,0.13,0.0153410414285714,"from_dataset",4,9,"LePine",2005,1,1,"3",2,3,"Button",1,21,21,3,50,"USA",1,2,"2",8.0736994539658,0.13,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019a","psymetadata","stasielowicz2019a","Studies on the association between goal orientation and performance adaptation",9,0.31,0.0129688128571429,"from_dataset",4,8,"LePine",2005,1,1,"3",2,3,"Button",1,21,21,3,50,"USA",1,2,"2",8.78111951896643,0.31,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019a","psymetadata","stasielowicz2019a","Studies on the association between goal orientation and performance adaptation",10,0.16,0.00765689806451613,"from_dataset",5,10,"Bell",2002,1,1,"3",2,3,"Button",1,NA,21,3,42,"USA",1,1,"3",11.4280877726396,0.16,"CRAN",NA,NA,"CRAN"
