"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","study_id","es_id","author","pub_year","pub_type","peer_review","pgo_type","adapt_measures","adapt_method","adapt_method_specific","go_measure","financ_support","age","age_imputed","sex","perc_men","country","sample","level","complexity_dynamic","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",1,-0.13,0.00276929974212034,"from_dataset",1,1,"Bell",2008,1,1,"Avoid","3",2,3,"VandeWalle",1,NA,21,3,42,"USA",1,1,"3",19.0026871043326,0.13,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",2,-0.04,0.00285616779369627,"from_dataset",1,2,"Bell",2008,1,1,"Avoid","3",2,3,"Horvath",1,NA,21,3,42,"USA",1,1,"3",18.711480060366,0.04,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",3,0.09,0.00281909916905444,"from_dataset",1,13,"Bell",2008,1,1,"Prove","3",2,3,"VandeWalle",1,NA,21,3,42,"USA",1,1,"3",18.834097885139,0.09,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",4,0.12,0.00278340217765043,"from_dataset",1,14,"Bell",2008,1,1,"Prove","3",2,3,"Horvath",1,NA,21,3,42,"USA",1,1,"3",18.9544862949162,0.12,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",5,0.253,0.0148487991878136,"from_dataset",2,15,"Kozlowski",2001,1,1,"Global","3",2,3,"Button",0,NA,NA,NA,NA,"USA",1,1,"3",8.20643120272374,0.253,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",6,-0.44,0.00290304,"from_dataset",3.1,3,"Beuing",2009,8,0,"Avoid","1",1,1,"VandeWalle",0,33.3,33.3,3,48,"Germany",2,1,"",18.5598084661406,0.44,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",7,-0.25,0.00392368861607143,"from_dataset",3.1,4,"Beuing",2009,8,0,"Avoid","1",1,1,"VandeWalle",0,33.3,33.3,3,48,"Germany",2,1,"",15.9644048502355,0.25,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",8,0.17,0.00420997861607143,"from_dataset",3.1,16,"Beuing",2009,8,0,"Prove","1",1,1,"VandeWalle",0,33.3,33.3,3,48,"Germany",2,1,"",15.4120374287877,0.17,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",9,0.09,0.0043922571875,"from_dataset",3.1,17,"Beuing",2009,8,0,"Prove","1",1,1,"VandeWalle",0,33.3,33.3,3,48,"Germany",2,1,"",15.0888492258249,0.09,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",10,-0.46,0.00301735223300971,"from_dataset",3.2,5,"Beuing",2009,8,0,"Avoid","1",1,1,"VandeWalle",0,22.1,22.1,3,23.3,"Germany",1,1,"",18.2048453759606,0.46,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",11,-0.31,0.00396619033980583,"from_dataset",3.2,6,"Beuing",2009,8,0,"Avoid","1",1,1,"VandeWalle",0,22.1,22.1,3,23.3,"Germany",1,1,"",15.8786371218136,0.31,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",12,-0.04,0.00483884737864078,"from_dataset",3.2,18,"Beuing",2009,8,0,"Prove","1",1,1,"VandeWalle",0,22.1,22.1,3,23.3,"Germany",1,1,"",14.3757012163535,0.04,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",13,0.08,0.00479243184466019,"from_dataset",3.2,19,"Beuing",2009,8,0,"Prove","1",1,1,"VandeWalle",0,22.1,22.1,3,23.3,"Germany",1,1,"",14.4451490483166,0.08,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",14,-0.24,0.0140971073015873,"from_dataset",4,20,"LePine",2005,1,1,"Global","3",2,3,"Button",1,21,21,3,50,"USA",1,2,"2",8.42238320585078,0.24,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",15,-0.03,0.0158444573015873,"from_dataset",4,21,"LePine",2005,1,1,"Global","3",2,3,"Button",1,21,21,3,50,"USA",1,2,"2",7.9444038967008,0.03,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2019b","psymetadata","stasielowicz2019b","Studies on the association between goal orientation and performance adaptation",16,-0.16,0.00765689806451613,"from_dataset",5,22,"Bell",2002,1,1,"Global","3",2,3,"Button",1,NA,21,3,42,"USA",1,1,"3",11.4280877726396,0.16,"CRAN",NA,NA,"CRAN"
