"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","effect_id","author","pub_year","pub_type","peer_review","adapt_measures","adapt_method","adapt_method_specific","subj_adapt_definition","cog_abil_measure","ca_measure","financ_support","sex","men_prop","country","sample","task","complexity_component","complexity_coordinative","precision","abs_yi","source","repo","branch","repo_license"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",1,0.33,0.00426913553763441,"from_dataset",1,"Allworth",1999,"1",1,"2",1,2,"broad","Ravens Progressive Matrices","Specific",1,3,52.62,"Australia?","2","",NA,NA,15.3048835113745,0.33,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",2,0.25,0.00472530241935484,"from_dataset",2,"Allworth",1999,"1",1,"2",1,2,"broad","Ball CSAT","ACT/SAT/GPA",1,3,52.62,"Australia?","2","",NA,NA,14.5473938101182,0.25,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",3,0.17,0.00507008177419355,"from_dataset",3,"Allworth",1999,"1",1,"2",1,2,"broad","Ball NRT","Specific",1,3,52.62,"Australia?","2","",NA,NA,14.0440548831077,0.17,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",4,-0.04,0.00890002285714286,"from_dataset",4,"Blickle",2011,"1",1,"2",1,2,"broad","Wonderlic Personnel Test","General",1,3,75,"Germany","2","",NA,NA,10.5999651885601,0.04,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",5,0.142,0.00294502634017178,"from_dataset",5,"Pulakos",2002,"1",1,"2",1,2,"narrow","Armed Forces Qualifying Test (AFQT)","General",1,3,83,"USA","2","",NA,NA,18.4270327741252,0.142,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",6,0.49,0.0016545788252149,"from_dataset",6,"Bell",2008,"1",1,"3",2,3,"","SAT or ACT","ACT/SAT/GPA",1,3,42,"USA","1","Simulation/video game",1,1,24.5842106754434,0.49,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",7,0.281,0.0143781837206949,"from_dataset",7,"Kozlowski",2001,"1",1,"3",2,3,"","Grade point average (GPA)","ACT/SAT/GPA",0,NA,NA,"USA","1","Simulation/video game",1,1,8.33965309598031,0.281,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",8,0.32,0.00440265442622951,"from_dataset",8,"Lang",2009,"1",1,"3",2,3,"","Wilde Intelligenz Test (WIT; folding boxes, completing number series, verbal analogies)","Specific",0,3,49.46,"Germany","1","Simulation/video game",1,1,15.071021901146,0.32,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",9,0.19,0.0122250422368421,"from_dataset",9,"Shoss",2012,"1",1,"2",1,2,"narrow","Wonderlic Personnel Test","General",0,3,32.6,"USA","2","",NA,NA,9.04429700911023,0.19,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",10,0.31,0.00623691,"from_dataset",10,"Stokes",2010,"1",1,"4(3+2)",1,2,"narrow","Wonderlic Personnel Test","General",0,3,47.73,"USA","4","",NA,NA,12.6623776327687,0.31,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",11,0.25,0.00670920801526718,"from_dataset",11,"Stokes",2010,"1",1,"4(3+2)",2,3,"","Wonderlic Personnel Test","General",0,3,47.73,"USA","4","Simulation/video game",1,1,12.2085580184102,0.25,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",12,0.24,0.00431125126213592,"from_dataset",12,"Beuing",2009,"8",0,"1",1,1,"narrow","IST-2000-R","General",0,3,23.3,"Germany","1","",NA,NA,15.2299449219093,0.24,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",13,0.01,0.00485339810679612,"from_dataset",13,"Beuing",2009,"8",0,"1",1,1,"narrow","IST-2000-R","General",0,3,23.3,"Germany","1","",NA,NA,14.3541355079581,0.01,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",14,0.09,0.014258921884058,"from_dataset",14,"Beuing",2009,"8",0,"4(1+3)",1,1,"narrow","IST-2000-R","General",0,3,15.71,"Germany","1","",NA,NA,8.37445696432913,0.09,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",15,0.29,0.0121575769565217,"from_dataset",15,"Beuing",2009,"8",0,"4(1+3)",1,1,"narrow","IST-2000-R","General",0,3,15.71,"Germany","1","",NA,NA,9.06935676702488,0.29,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",16,0.36,0.0109796544927536,"from_dataset",16,"Beuing",2009,"8",0,"4(1+3)",2,3,"","IST-2000-R","General",0,3,15.71,"Germany","1","Simulation/video game",1,0,9.54345572485993,0.36,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",17,0.43,0.00922761125,"from_dataset",17,"LePine",2000,"1",1,"3",2,3,"","Wonderlic Personnel Test","General",1,NA,NA,"USA","1","Simulation/video game",1,1,10.410110875032,0.43,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",18,0.43,0.00922761125,"from_dataset",18,"LePine",2000,"1",1,"3",2,3,"","Wonderlic Personnel Test","General",1,NA,NA,"USA","1","Simulation/video game",1,1,10.410110875032,0.43,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",19,-0.02,0.00628427773584906,"from_dataset",19,"Chan",2002,"1",1,"3",2,3,"","Graduate and Managerial Assessment Verbal (GMA V)","General",0,3,28,"Singapur","2","SJT",1,NA,12.6145660393342,0.02,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",20,0.43,0.00535796782258065,"from_dataset",20,"Bell",2002,"1",1,"3",2,3,"","Wonderlic Personnel Test","General",1,3,42,"USA","1","Simulation/video game",1,1,13.6615491665563,0.43,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",21,-0.06,0.0180511447272727,"from_dataset",21,"Schunn",2001,"1",1,"3",2,3,"","spatial working memory (CAM)","Specific",1,NA,NA,"USA","1","Other",0,1,7.4429932628419,0.06,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",22,-0.08,0.0179498356363636,"from_dataset",22,"Schunn",2001,"1",1,"3",2,3,"","inductive reasoning (CAM)","Specific",1,NA,NA,"USA","1","Other",0,1,7.46396788153751,0.08,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",23,-0.02,0.0232372130232558,"from_dataset",23,"Schunn",2001,"1",1,"3",2,3,"","modified digit span (MODS)","Specific",1,NA,NA,"USA","1","Other",0,1,6.56006254932173,0.02,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",24,0.36,0.0061096464516129,"from_dataset",24,"Oswald",2007,"7",1,"3",2,3,"","operation span, symmetry span, letter comparison, pattern comparison, matrix reasoning, letter sets","Specific",1,3,32,"USA","1","Simulation/video game",1,1,12.7935762013558,0.36,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",25,0.07,0.00263357449468085,"from_dataset",25,"Zorzie",2012,"3",0,"1",1,1,"broad","SAT or ACT","ACT/SAT/GPA",0,3,19.15,"USA","1","",NA,NA,19.4862018185763,0.07,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",26,0,0.00265957446808511,"from_dataset",26,"Zorzie",2012,"3",0,"1",1,1,"broad","SAT or ACT","ACT/SAT/GPA",0,3,19.15,"USA","1","",NA,NA,19.3907194296653,0,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",27,0.01,0.00265904257978723,"from_dataset",27,"Zorzie",2012,"3",0,"1",1,1,"broad","SAT or ACT","ACT/SAT/GPA",0,3,19.15,"USA","1","",NA,NA,19.3926586955349,0.01,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",28,0.13,0.00257044045212766,"from_dataset",28,"Zorzie",2012,"3",0,"1",1,1,"broad","SAT or ACT","ACT/SAT/GPA",0,3,19.15,"USA","1","",NA,NA,19.7240559756539,0.13,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",29,0.04,0.00265107063829787,"from_dataset",29,"Zorzie",2012,"3",0,"1",1,1,"broad","SAT or ACT","ACT/SAT/GPA",0,3,19.15,"USA","1","",NA,NA,19.4217943005462,0.04,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",30,0.13,0.00257044045212766,"from_dataset",30,"Zorzie",2012,"3",0,"1",1,1,"broad","SAT or ACT","ACT/SAT/GPA",0,3,19.15,"USA","1","",NA,NA,19.7240559756539,0.13,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",31,0.06,0.00264046,"from_dataset",31,"Zorzie",2012,"3",0,"1",1,1,"broad","SAT or ACT","ACT/SAT/GPA",0,3,19.15,"USA","1","",NA,NA,19.460778231298,0.06,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",32,0.07,0.00263357449468085,"from_dataset",32,"Zorzie",2012,"3",0,"1",1,1,"broad","SAT or ACT","ACT/SAT/GPA",0,3,19.15,"USA","1","",NA,NA,19.4862018185763,0.07,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",33,0.1,0.00260664893617021,"from_dataset",33,"Zorzie",2012,"3",0,"1",1,1,"broad","SAT or ACT","ACT/SAT/GPA",0,3,19.15,"USA","1","",NA,NA,19.5865852824902,0.1,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",34,0.11,0.00259560215425532,"from_dataset",34,"Zorzie",2012,"3",0,"1",1,1,"broad","SAT or ACT","ACT/SAT/GPA",0,3,19.15,"USA","1","",NA,NA,19.6282209025866,0.11,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",35,0.22,0.0069125386259542,"from_dataset",35,"Wheeler",2012,"3",0,"3",2,3,"","ANAM (Simple reaction time)","Specific",0,3,42.42,"USA","1","Simulation/video game",1,1,12.027661982198,0.22,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",36,0.38,0.00558817832061069,"from_dataset",36,"Wheeler",2012,"3",0,"3",2,3,"","ANAM (perceptual speed)","Specific",0,3,42.42,"USA","1","Simulation/video game",1,1,13.3771892733282,0.38,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",37,0.23,0.00684731610687023,"from_dataset",37,"Wheeler",2012,"3",0,"3",2,3,"","ANAM (GMA)","General",0,3,42.42,"USA","1","Simulation/video game",1,1,12.0848095684295,0.23,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",38,-0.07,0.00755896190839695,"from_dataset",38,"Wheeler",2012,"3",0,"3",2,3,"","ANAM (Simple reaction time)","Specific",0,3,42.42,"USA","1","Simulation/video game",1,1,11.5018823658523,0.07,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",39,0.36,0.00578317679389313,"from_dataset",39,"Wheeler",2012,"3",0,"3",2,3,"","ANAM (perceptual speed)","Specific",0,3,42.42,"USA","1","Simulation/video game",1,1,13.1497278748387,0.36,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",40,-0.36,0.00578317679389313,"from_dataset",40,"Wheeler",2012,"3",0,"3",2,3,"","ANAM (GMA)","General",0,3,42.42,"USA","1","Simulation/video game",1,1,13.1497278748387,0.36,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",41,0.35,0.00693699324324324,"from_dataset",41,"Hughes",2013,"1",1,"3",2,3,"","Raven Advanced Progressive Matrices (APM)","Specific",0,2,100,"USA","1","Simulation/video game",1,1,12.006443023194,0.35,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",42,0.645,0.0110008645362903,"from_dataset",42,"Morgan",2013,"1",1,"3",2,3,"","Working memory","General",1,NA,NA,"USA","4","Simulation/video game",1,1,9.53425123135413,0.645,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",43,0.465,0.019816233891129,"from_dataset",43,"Morgan",2013,"1",1,"3",2,3,"","SAT/ACT","ACT/SAT/GPA",1,NA,NA,"USA","4","Simulation/video game",1,1,7.10377897078885,0.465,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",44,0.403,0.022630925267129,"from_dataset",44,"Morgan",2013,"1",1,"3",2,3,"","Shepard & Metzler mental rotation task","Specific",1,NA,NA,"USA","4","Simulation/video game",1,1,6.64735457141973,0.403,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",45,0.394,0.0230202005063226,"from_dataset",45,"Morgan",2013,"1",1,"3",2,3,"","Working memory","General",1,NA,NA,"USA","4","Simulation/video game",1,1,6.59091102702059,0.394,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",46,0.503,0.0179998565832581,"from_dataset",46,"Morgan",2013,"1",1,"3",2,3,"","SAT/ACT","ACT/SAT/GPA",1,NA,NA,"USA","4","Simulation/video game",1,1,7.45358961865674,0.503,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",47,0.435,0.0212050355040323,"from_dataset",47,"Morgan",2013,"1",1,"3",2,3,"","Shepard & Metzler mental rotation task","Specific",1,NA,NA,"USA","4","Simulation/video game",1,1,6.86721268271717,0.435,"CRAN",NA,NA,"CRAN"
"psymetadata_stasielowicz2020","psymetadata","stasielowicz2020","Studies on the importance of cognitive ability in performance adaptation",48,0.203,0.0296541994090645,"from_dataset",48,"Morgan",2013,"1",1,"3",2,3,"","Working memory","General",1,NA,NA,"USA","4","Simulation/video game",1,1,5.80706782065124,0.203,"CRAN",NA,NA,"CRAN"
