esid,studyid,effectsize,var,binge,sreport,males,age,followup
5035,1,0.9508265852928162,0.13912610709667206,1,1,90,16,51.42856979370117
15,1,-1.6518627405166626,0.06708534061908722,0,0,72,14,34.28571319580078
3028,1,0.2589156925678253,0.06021507456898689,0,1,80,15.899999618530273,17.14285659790039
4086,1,0.19091446697711945,0.036034293472766876,0,0,82,15.300000190734863,34.28571319580078
1297,2,-0.24720217287540436,0.04623444750905037,0,0,76,16,34.28571319580078
3721,2,0.3019571602344513,0.02022794634103775,0,1,79,16,17.14285659790039
2768,2,0.24236418306827545,0.03329584747552872,0,1,66,16.899999618530273,51.42856979370117
2841,2,0.2695467472076416,0.00944482907652855,0,1,82,16,34.28571319580078
2409,3,0.38738253712654114,0.03613904118537903,0,1,70,16,51.42856979370117
4959,3,-0.39847123622894287,0.03293190523982048,0,0,75,15.5,51.42856979370117
1185,4,0.45284220576286316,0.05156450346112251,0,1,79,15.699999809265137,208.57142639160156
2522,4,-0.2715483009815216,0.057856760919094086,0,0,83,15.199999809265137,51.42856979370117
913,5,-0.07088641822338104,0.06785867363214493,0,1,41,18.450000762939453,17.14285659790039
5,5,0.8166366219520569,0.05079491809010506,1,1,65,18.399999618530273,104.57142639160156
4376,5,0.5253714919090271,0.1507621705532074,1,1,66,19.1299991607666,17.14285659790039
5505,5,0.3176412582397461,0.03965645283460617,1,1,89.5,17.059999465942383,51.42856979370117
3043,5,0.3340078294277191,0.04314659908413887,1,1,51,18,17.14285659790039
4342,5,-0.13408194482326508,0.06711410731077194,0,0,85,19.100000381469727,34.28571319580078
1417,5,0,0.024250438436865807,1,1,35,19.299999237060547,17.14285659790039
1068,6,-0.46521443128585815,0.16173776984214783,0,0,77,16,104.57142639160156
710,6,0.3620183765888214,0.072689950466156,0,0,82,15.399999618530273,34.28571319580078
3528,7,1.1760438680648804,0.09022191166877747,1,1,62,15.399999618530273,104.57142639160156
13,7,0.5669777393341064,0.09906504303216934,0,1,76.19999694824219,16.049999237060547,34.28571319580078
4068,7,0.28281697630882263,0.022944927215576172,0,0,56,17,208.57142639160156
