Study,Crit.Domain,IAT.ID,IAT.Focus,Crit.ID,Crit.Cat,Scoring,Target,Type,Sample.ID,N,R,effect.size,var.eff.size
Avenanti et al. (2010),Race,1,Attitude,1,Brain Activity,Difference Score,White/Black,ICC,1,16,0.5,0.5493061443340549,0.07692307692307693
Avenanti et al. (2010),Race,1,Attitude,1,Brain Activity,Difference Score,White/Black,ICC,2,16,0.71,0.8871838632580928,0.07692307692307693
Cunningham et al. (2004),Race,1,Attitude,1,Brain Activity,Difference Score,White/Black,ICC,2,13,0.79,1.0714316840586662,0.1
Glaser & Knowles (2008),Race,1,Stereotype,1,Response Time,Difference Score,White/Black,ICC,1,48,0.46,0.497311287572031,0.022222222222222223
Glaser & Knowles (2008),Race,4,Attitude,1,Response Time,Difference Score,White/Black,ICC,1,48,0.1,0.10033534773107558,0.022222222222222223
He et al. (2009),Race,1,Attitude,1,Brain Activity,Difference Score,White/Black,ICC,1,20,0.14,0.14092557607049389,0.058823529411764705
He et al. (2009),Race,1,Attitude,2,Brain Activity,Difference Score,White/Black,ICC,1,20,0.27,0.27686382265510007,0.058823529411764705
He et al. (2009),Race,1,Attitude,3,Brain Activity,Difference Score,White/Black,ICC,1,20,0.5,0.5493061443340549,0.058823529411764705
He et al. (2009),Race,1,Attitude,4,Brain Activity,Difference Score,White/Black,ICC,1,20,0.52,0.5763397549691928,0.058823529411764705
He et al. (2009),Race,1,Attitude,5,Brain Activity,Difference Score,White/Black,ICC,1,20,0.34,0.35409252896224297,0.058823529411764705
He et al. (2009),Ethnicity,2,Attitude,1,Brain Activity,Difference Score,White-Asian Comparison,ICC,1,20,0.11,0.11044691579009715,0.058823529411764705
He et al. (2009),Ethnicity,2,Attitude,2,Brain Activity,Difference Score,White-Asian Comparison,ICC,1,20,0.28,0.28768207245178096,0.058823529411764705
He et al. (2009),Ethnicity,2,Attitude,3,Brain Activity,Difference Score,White-Asian Comparison,ICC,1,20,-0.09,-0.09024418785614682,0.058823529411764705
He et al. (2009),Ethnicity,2,Attitude,4,Brain Activity,Difference Score,White-Asian Comparison,ICC,1,20,0.007,0.007000114336694851,0.058823529411764705
He et al. (2009),Ethnicity,2,Attitude,5,Brain Activity,Difference Score,White-Asian Comparison,ICC,1,20,-0.19,-0.1923371692195453,0.058823529411764705
He et al. (2009),Ethnicity,2,Attitude,6,Brain Activity,Difference Score,White-Asian Comparison,ICC,1,20,0.56,0.632833186665638,0.058823529411764705
Korn et al. (2012),Race,1,Attitude,2,Brain Activity,Difference Score,White/Black,ICC,1,19,-0.73,-0.9287273642467249,0.0625
Korn et al. (2012),Race,1,Attitude,3,Brain Activity,Difference Score,White/Black,ICC,1,19,-0.77,-1.0203277583223398,0.0625
Phelps et al. (2000),Race,1,Attitude,1,Brain Activity,Difference Score,White/Black,ICC,1,12,0.576,0.6564559075929333,0.1111111111111111
Phelps et al. (2000),Race,1,Attitude,1,Brain Activity,Difference Score,White/Black,ICC,1,12,0.52,0.5763397549691928,0.1111111111111111
Richeson & Shelton (2003),Race,1,Attitude,1,Response Time,Absolute,Black,ICC,2,21,0.5246,0.5826654023140398,0.05555555555555555
Richeson & Shelton (2003),Race,1,Attitude,1,Response Time,Absolute,White,ICC,1,21,0.0574,0.05746316465585968,0.05555555555555555
"Richeson, Baird et al. (2003)",Race,1,Attitude,1,Brain Activity,Absolute,White,ICC,1,15,0.22,0.22365610902183242,0.08333333333333333
"Richeson, Baird et al. (2003)",Race,1,Attitude,2,Brain Activity,Absolute,White,ICC,1,15,0.17,0.1716666635005791,0.08333333333333333
"Richeson, Baird et al. (2003)",Race,1,Attitude,4,Brain Activity,Absolute,White,ICC,2,15,-0.13,-0.13073985002887845,0.08333333333333333
"Richeson, Baird et al. (2003)",Race,1,Attitude,5,Brain Activity,Absolute,White,ICC,2,15,0.24,0.2447741126593529,0.08333333333333333
"Richeson, Baird et al. (2003)",Race,1,Attitude,1,Brain Activity,Absolute,Black,ICC,1,15,0.53,0.5901451598411885,0.08333333333333333
"Richeson, Baird et al. (2003)",Race,1,Attitude,2,Brain Activity,Absolute,Black,ICC,1,15,0.44,0.4722308044204257,0.08333333333333333
"Richeson, Baird et al. (2003)",Race,1,Attitude,4,Brain Activity,Absolute,Black,ICC,2,15,0.7,0.8673005276940532,0.08333333333333333
"Richeson, Baird et al. (2003)",Race,1,Attitude,5,Brain Activity,Absolute,Black,ICC,2,15,0.5,0.5493061443340549,0.08333333333333333
"Richeson, Baird et al. (2003)",Race,1,Attitude,3,Response Time,Difference Score,White/Black,ICC,1,15,0.67,0.8107431254751375,0.08333333333333333
Tuttle (Unpublished) (2009),Race,1,Attitude,1,Response Time,Difference Score,White/Black,ICC,1,147,0.04,0.04002135383676822,0.006944444444444444
