studyID,siteID,serviceType,samplingYear,plantingType,fieldDist,flowerstripPlantSpecRich,flowerstripAge,propSemiNatural,propArable,ES
blaa01,blaa01.Cals,pest control,2011,control,1,NA,NA,78,6,0.688636219261831
blaa01,blaa01.Cals,pest control,2011,control,15,NA,NA,78,6,-0.0137591341310924
blaa01,blaa01.Cals,pest control,2011,flowerstrip,1,9.67,24,78,6,1.52485180600271
blaa01,blaa01.Cals,pest control,2011,flowerstrip,15,9.67,24,78,6,-0.20368003986907
blaa01,blaa01.Cals,pest control,2012,control,1,NA,NA,78,6,1.2917238141417
blaa01,blaa01.Cals,pest control,2012,control,15,NA,NA,78,6,-0.330296231463227
blaa01,blaa01.Cals,pest control,2012,flowerstrip,1,9.67,36,78,6,2.0072241054001494
blaa01,blaa01.Cals,pest control,2012,flowerstrip,15,9.67,36,78,6,2.48551546232444
blaa01,blaa01.Cals,pollination,2009,control,1,NA,NA,78,6,-0.01935614061275
blaa01,blaa01.Cals,pollination,2009,control,15,NA,NA,78,6,-0.62791245406269
blaa01,blaa01.Cals,pollination,2009,flowerstrip,1,9.67,0,78,6,-0.0601667295138239
blaa01,blaa01.Cals,pollination,2009,flowerstrip,15,9.67,0,78,6,0.40394021252884
blaa01,blaa01.Cals,pollination,2010,control,1,NA,NA,78,6,-0.310301992655499
blaa01,blaa01.Cals,pollination,2010,control,15,NA,NA,78,6,-0.429118765038127
blaa01,blaa01.Cals,pollination,2010,flowerstrip,1,9.67,12,78,6,-0.0337145325087302
blaa01,blaa01.Cals,pollination,2010,flowerstrip,15,9.67,12,78,6,-0.361624435006881
blaa01,blaa01.Cals,pollination,2011,control,1,NA,NA,78,6,-2.31325908975967
blaa01,blaa01.Cals,pollination,2011,control,15,NA,NA,78,6,-2.07920117420564
blaa01,blaa01.Cals,pollination,2011,flowerstrip,1,9.67,24,78,6,-0.566291833488471
blaa01,blaa01.Cals,pollination,2011,flowerstrip,15,9.67,24,78,6,0.212777616906363
blaa01,blaa01.Cals,pollination,2012,control,1,NA,NA,78,6,-0.307225024767707
blaa01,blaa01.Cals,pollination,2012,control,15,NA,NA,78,6,-0.407415250735897
blaa01,blaa01.Cals,pollination,2012,flowerstrip,1,9.67,36,78,6,0.176563837089475
blaa01,blaa01.Cals,pollination,2012,flowerstrip,15,9.67,36,78,6,-0.4390512880319
blaa01,blaa01.Gale,pest control,2011,control,1,NA,NA,49,7,-1.58999290862767
blaa01,blaa01.Gale,pest control,2011,control,15,NA,NA,49,7,0.171063965650235
blaa01,blaa01.Gale,pest control,2011,flowerstrip,1,7.5,24,49,7,0.688109179773961
blaa01,blaa01.Gale,pest control,2011,flowerstrip,15,7.5,24,49,7,-0.13141969603207
blaa01,blaa01.Gale,pest control,2012,control,1,NA,NA,49,7,-1.42037774392127
blaa01,blaa01.Gale,pest control,2012,control,15,NA,NA,49,7,-1.22693645406212
blaa01,blaa01.Gale,pest control,2012,flowerstrip,1,7.5,36,49,7,-0.7735077976628649
blaa01,blaa01.Gale,pest control,2012,flowerstrip,15,7.5,36,49,7,0.302860201639532
blaa01,blaa01.Gale,pollination,2009,control,1,NA,NA,49,7,0.546875490848709
blaa01,blaa01.Gale,pollination,2009,control,15,NA,NA,49,7,0.745998712955955
blaa01,blaa01.Gale,pollination,2009,flowerstrip,1,7.5,0,49,7,-0.18898533850533
blaa01,blaa01.Gale,pollination,2009,flowerstrip,15,7.5,0,49,7,0.857623739638616
blaa01,blaa01.Gale,pollination,2010,control,1,NA,NA,49,7,0.641907916317624
blaa01,blaa01.Gale,pollination,2010,control,15,NA,NA,49,7,0.372710352056473
blaa01,blaa01.Gale,pollination,2010,flowerstrip,1,7.5,12,49,7,-0.065932275002414
blaa01,blaa01.Gale,pollination,2010,flowerstrip,15,7.5,12,49,7,-0.034888951819691
blaa01,blaa01.Gale,pollination,2011,control,1,NA,NA,49,7,1.37645333468447
blaa01,blaa01.Gale,pollination,2011,control,15,NA,NA,49,7,2.33904321661337
