Estimate_ID,Article.ID,N,Corrected_Effect_Size,Effect_size,SE_calc,Effect_value,df,P,SE,Sign,Predicted.direction,Match,Test_type,Effect_type,Level_of_Inference,Class,Order,Species,Species2,Common_name,Invert_Vert,Ecto_Endo,Stage,Sex,Field_Lab,Manipulation,Manipulation.characteristics,Relation_type,Relation,Relation_Cat_1,Relation_Cat_2,B_Trait,B_Category,P_Trait,P_Category,LH_Trait,LH_Category,Trait1_description,Trait2_description
1,8,244,0.218263005,-0.218263005,0.062732584,-0.24,235,0.0001,0.07,-,-,1,LMM,Reg,ID,Aves,Strigiformes,Strix uralensis,Strix_uralensis,Ural owls,Vert,Endo,Adult,Both,Field,N,NA,BxLH,BoldxLayingdate,BoldxLayingDate,BoldxProd,Boldness,Boldness,NA,NA,NA,Productivity,Nest defense aggression,Laying date
2,8,244,0.285771245,0.285771245,0.06160172,0.32,235,0.0001,0.07,+,+,1,LMM,Reg,ID,Aves,Strigiformes,Strix uralensis,Strix_uralensis,Ural owls,Vert,Endo,Adult,Both,Field,N,NA,BxLH,BoldxClutchsize,BoldxClutchSize,BoldxProd,Boldness,Boldness,NA,NA,NA,Productivity,Nest defense aggression,Clutch size
3,10,9,0.72,0.72,0.262297541,0.72,NA,0.082,NA,+,+,1,Bivariate,Corr,P,Mammalia,Carnivora,Canis lupus familiaris,Canis_lupus_familiaris,Dogs,Vert,Endo,Adult,Both,Field,N,NA,BxLH,ActxGR,ActxGR,ActxGR,Activity,Activity,NA,NA,GR,GR,General activity and excitability,Growth rate
6,10,19,-0.25,-0.25,0.234834109,-0.25,NA,0.16,NA,-,+,-1,Bivariate,Corr,P,Mammalia,Carnivora,Canis lupus familiaris,Canis_lupus_familiaris,Dogs,Vert,Endo,Adult,Both,Field,N,NA,BxLH,ActxMR,ActxLifeSpan,ActxLifeSpan,Activity,Activity,NA,NA,Mortality,Life-Span,General activity and excitability,Mortality rate
9,10,9,0.5,0.5,0.327326835,0.5,NA,0.29,NA,+,+,1,Bivariate,Corr,P,Mammalia,Carnivora,Canis lupus familiaris,Canis_lupus_familiaris,Dogs,Vert,Endo,Adult,Both,Field,N,NA,BxP,ActxMEI,ActxMEI,ActxMetab,Activity,Activity,MEI,Metabolism,NA,NA,General activity and excitability,MEI
4,10,9,-0.08,-0.08,0.376753045,-0.08,NA,0.85,NA,-,+,-1,Bivariate,Corr,P,Mammalia,Carnivora,Canis lupus familiaris,Canis_lupus_familiaris,Dogs,Vert,Endo,Adult,Both,Field,N,NA,BxLH,AggrxGR,AggrxGR,AggrxGR,Aggression,Aggression,NA,NA,GR,GR,Territoriality and aggresion to dogs,Growth rate
7,10,19,0.24,0.24,0.235447009,0.24,NA,0.45,NA,+,+,1,Bivariate,Corr,P,Mammalia,Carnivora,Canis lupus familiaris,Canis_lupus_familiaris,Dogs,Vert,Endo,Adult,Both,Field,N,NA,BxLH,AggrxMR,AggrxRMR,AggrxLifeSpan,Aggression,Aggression,NA,NA,Mortality,Life-Span,Territoriality and aggresion to dogs,Mortality rate
10,10,9,0.83,0.83,0.210814746,0.83,NA,0.02,NA,+,+,1,Bivariate,Corr,P,Mammalia,Carnivora,Canis lupus familiaris,Canis_lupus_familiaris,Dogs,Vert,Endo,Adult,Both,Field,N,NA,BxP,AggrxMEI,AggrxMEI,AggrxMetab,Aggression,Aggression,MEI,Metabolism,NA,NA,Territoriality and aggresion to dogs,MEI
5,10,9,0.17,-0.17,0.372462846,-0.17,NA,0.73,NA,-,-,1,Bivariate,Corr,P,Mammalia,Carnivora,Canis lupus familiaris,Canis_lupus_familiaris,Dogs,Vert,Endo,Adult,Both,Field,N,NA,BxLH,TrainxGR,TrainxGR,TrainxGR,Trainability,Trainability,NA,NA,GR,GR,Obedience training,Growth rate
8,10,19,0.61,-0.61,0.192185572,-0.61,NA,0.02,NA,-,-,1,Bivariate,Corr,P,Mammalia,Carnivora,Canis lupus familiaris,Canis_lupus_familiaris,Dogs,Vert,Endo,Adult,Both,Field,N,NA,BxLH,TrainxMortality,TrainxMortality,TrainxLifeSpan,Trainability,Trainability,NA,NA,Mortality,Life-Span,Obedience training,Mortality rate
11,10,9,0.51,-0.51,0.325115364,-0.51,NA,0.29,NA,-,-,1,Bivariate,Corr,P,Mammalia,Carnivora,Canis lupus familiaris,Canis_lupus_familiaris,Dogs,Vert,Endo,Adult,Both,Field,N,NA,BxP,TrainxMEI,TrainxMEI,TrainxMetab,Trainability,Trainability,MEI,Metabolism,NA,NA,Obedience training,MEI
12,11,600,0.489,0.489,0.035670337,0.489,NA,NA,NA,+,+,1,Bivariate,Corr,P,Insecta,Coleoptera,Tenebrio molitor,Tenebrio_molitor,Mealworm beetles,Invert,Ecto,Adult,Both,Lab,N,NA,BxP,BoldxRMR,BoldxRMR,BoldxMetab,Boldness,Boldness,RMR,Metabolism,NA,NA,latency to become immobile following manipulation,Standard Metabolic Rate
13,11,600,0.428,-0.428,0.036958261,-0.428,NA,NA,NA,-,-,1,Bivariate,Corr,P,Insecta,Coleoptera,Tenebrio molitor,Tenebrio_molitor,Mealworm beetles,Invert,Ecto,Adult,Both,Lab,N,NA,BxP,BoldxRMR,BoldxRMR,BoldxMetab,Boldness,Boldness,RMR,Metabolism,NA,NA,total time immobile following predation threat,Standard Metabolic Rate
14,13,17,0.543851678,-0.543851678,0.216675695,6.3,NA,NA,NA,-,-,1,F test,NA,P,Aves,Passeriformes,Parus major,Parus_major,Great tit,Vert,Endo,Adult,M,Lab,Y,Selection line,BxP,ActxImmuno,ActxImmuno,ActxImmunity,Activity,Activity,ImmuneResponse,Immunity,NA,NA,exploration distance covered novel environment,immune response to phytohaemagglutinin
15,13,28,-0.466701047,-0.466701047,0.173448078,7.24,NA,NA,NA,-,+,-1,F test,F,P,Aves,Passeriformes,Parus major,Parus_major,Great tit,Vert,Endo,Adult,M,Lab,Y,Selection line,BxP,ActxImmuno,ActxImmuno,ActxImmunity,Activity,Activity,ImmuneResponse,Immunity,NA,NA,exploration distance covered novel environment,testosterone titer
16,14,48,NA,0.034421322,NA,2.1,140,<0.01,NA,?,+,NA,LM,F,P,Actinopterygii,Salmoniformes,Salmo trutta,Salmo_trutta,Brown trouts,Vert,Ecto,Juv,Both,Field,N,NA,BxLH,AggrxGR,AggrxGR,AggrxGR,Aggression,Aggression,NA,NA,GR,GR,Intruder aggression,Growth rate after release in the wild
17,14,48,-0.060204529,0.060204529,0.147174506,8.54,140,0.16,NA,-,+,-1,LM,F,P,Actinopterygii,Salmoniformes,Salmo trutta,Salmo_trutta,Brown trouts,Vert,Ecto,Juv,Both,Field,N,NA,BxLH,ExploxGR,ExploxGR,ExploxGR,Exploration,Exploration,NA,NA,GR,GR,Foraging activity,Growth rate after release in the wild
18,14,48,NA,0.000249999,NA,1e-4,140,NA,NA,?,-,NA,LM,F,P,Actinopterygii,Salmoniformes,Salmo trutta,Salmo_trutta,Brown trouts,Vert,Ecto,Juv,Both,Field,N,NA,BxLH,FlexixGR,ExploxGR,ExploxGR,Flexibility,Flexibility,NA,NA,GR,GR,Exploration flexibility,Growth rate after release in the wild
19,15,60,-0.488788938,0.488788938,0.114552004,3.8,NA,NA,NA,+,-,-1,t test,t,P,Aves,Passeriformes,Carduelis chloris,Carduelis,Greenfinch,Vert,Endo,Adult,Both,Field,N,NA,BxP,DocilityxImmuno,DocilityxImmuno,DocilityxImmunity,Docility,Docility,ImmuneResponse,Immunity,NA,NA,struggle rate in captivity (feather damage in captive conditions),immune response to Brucella abortus antigens
20,16,57,0.0345558,0.0345558,0.134759442,0.033,NA,NA,NA,+,+,1,Bivariate,Corr,P,Insecta,Orthopetra,Gryllus integer,Gryllus_integer,Field crickets,Invert,Ecto,Adult,Both,Lab,N,NA,BxLH,BoldxMaturation,BoldxMaturation,BoldxMaturationRate,Boldness,Boldness,NA,NA,Maturation,MaturationRate,Boldness latency to emerge from shelter,Latency to mature
21,16,57,-0.156918191,0.156918191,0.133169522,0.15,NA,NA,NA,+,-,-1,Bivariate,Corr,P,Insecta,Orthopetra,Gryllus integer,Gryllus_integer,Field crickets,Invert,Ecto,Adult,Both,Lab,N,NA,BxLH,BoldxGR,BoldxGR,BoldxGR,Boldness,Boldness,NA,NA,GR,GR,Boldness latency to emerge from shelter,Growth rate
22,16,46,-0.070147846,-0.070147846,0.150384302,-0.067,NA,NA,NA,-,+,-1,Bivariate,Corr,P,Insecta,Orthopetra,Gryllus integer,Gryllus_integer,Field crickets,Invert,Ecto,Adult,Both,Lab,N,NA,BxP,BoldxImmuno,BoldxImmuno,BoldxImmunity,Boldness,Boldness,ImmuneResponse,Immunity,NA,NA,Boldness latency to emerge from shelter,thickness of melanic encapsulation
23,18,105,0.78,0.78,0.061659888,0.78,NA,NA,0.23,+,+,1,MLMM,Corr,G,Mammalia,Rodentia,Peromyscus maniculatus,Peromyscus_maniculatus,Deer mice,Vert,Endo,Adult,Both,Field,N,NA,BxP,ActxRMR,ActxRMR,ActxMetab,Activity,Activity,RMR,Metabolism,NA,NA,Distance moved in hole board arena,RMR
24,18,105,-0.25,0.25,0.095404097,0.25,NA,NA,0.29,+,-,-1,MLMM,Corr,G,Mammalia,Rodentia,Peromyscus maniculatus,Peromyscus_maniculatus,Deer mice,Vert,Endo,Adult,Both,Field,N,NA,BxP,CenxRMR,ActxRMR,ActxMetab,Centrality,Activity,RMR,Metabolism,NA,NA,Time in central zone of hole board arena,RMR
25,18,180,0.61,0.61,0.059392997,0.61,NA,NA,0.21,+,+,1,MLMM,Corr,G,Mammalia,Rodentia,Peromyscus maniculatus,Peromyscus_maniculatus,Deer mice,Vert,Endo,Adult,Both,Field,N,NA,BxP,ActxAMR,ActxAMR,ActxMetab,Activity,Activity,RMR,Metabolism,NA,NA,Distance moved in hole board arena,RMR
26,18,180,-0.15,0.15,0.074105148,0.15,NA,NA,0.26,+,-,-1,MLMM,Corr,G,Mammalia,Rodentia,Peromyscus maniculatus,Peromyscus_maniculatus,Deer mice,Vert,Endo,Adult,Both,Field,N,NA,BxP,CenxAMR,ActxAMR,ActxMetab,Centrality,Activity,RMR,Metabolism,NA,NA,Time in central zone of hole board arena,RMR
27,19,36,0.073850945,0.073850945,0.171030272,0.17,NA,NA,NA,+,+,1,F Test,F Test,P,Mammalia,Rodentia,Microtus pennsylvanicus,Microtus_pennsylvanicus,Meadow voles,Vert,Endo,Mixed,Both,Field,N,NA,BxP,ActxRMR,ActxRMR,ActxMetab,Activity,Activity,RMR,Metabolism,NA,NA,exploration distance covered novel environment,RMR
28,19,72,0.064622256,0.064622256,0.119273034,0.13,NA,NA,NA,+,+,1,F Test,F Test,P,Mammalia,Rodentia,Microtus pennsylvanicus,Microtus_pennsylvanicus,Meadow voles,Vert,Endo,Mixed,Both,Field,N,NA,BxP,ActxRMR,ActxRMR,ActxMetab,Activity,Activity,RMR,Metabolism,NA,NA,exploration distance covered novel environment,RMR
