"BSC-Plant Database. Dataset used in multi-factor meta-analyses (i.e., overall plant performance, germination, survival, growth, cover) and univariate meta-regression models in Havrilla et al. (2019). Columns G-K indicate whether or not a particular study (row) was utilized in a particular analysis group. Columns L-U contain effect sizes (log response ratios) and variance estimates (ESTVAR3) for the five analyses. Full citations for each publication can be found in Appendix S2. Columns Z-AG contain the eight candidate explanatory predictor variables. See text for detailed description of each variable (Table 1). Columns AH-AK contain additional plant species information. Columns AL-AP contain geographic and climatic information.",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STUDY_ID,Short_Citation,First Author Last,Pub_Year,Country,Continent,OVERALL_Analysis,GERMINATION_Analysis,SURVIVAL_Analysis,GROWTH_Analysis,COVER_Analysis,LnRR_GERM,ESTVAR3_GERM,LnRR_SURVIVAL,ESTVAR3_SURVIVAL,LnRR_GROWTH,ESTVAR3_GROWTH,LnRR_COVER,ESTVAR3_COVER,LnRR_AVG,ESTVAR3_AVG,ESTVAR1,Soil reps (n),Control reps (n),Experimental location,BIOCRUST_TYPE,ECOSYSTEM_OF_ORIGIN,PLANT_FUNCTIONAL_GROUP,PLANT_NATIVENESS,PLANT_DURATION,PLANT_ROOT_MORPHOLOGY,SOIL_REFERENCE_STATE,STUDY_LOCATION,Plant_Species,Plant_Common_Name,Plant_Family,Plant_Lifeform,Lat_Y,Long_X,Aridity_Index,BIOCLIM_MAT,BIOCLIM_MAP
2130,Cortina et al. (2010),Cortina,2010,Spain,Europe,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0,7.6805440000000001E-3,0,7.6805440000000001E-3,0.4,5,5,"Relleu, SE Spain",Mixed,NA,C3 Grass,Native,Perennial,Fibrous,Biocrust disturbance,Field,Stipa tenacissima,Esparto,Poaceae,Grass,38.542791770000001,5.7031713330000002,NA,16,388
2130,Cortina et al. (2010),Cortina,2010,Spain,Europe,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0,7.6805440000000001E-3,0,7.6805440000000001E-3,0.4,5,5,"Relleu, SE Spain",Mixed,NA,C3 Grass,Native,Perennial,Fibrous,Biocrust disturbance,Field,Stipa tenacissima,Esparto,Poaceae,Grass,38.542791770000001,5.7031713330000002,NA,16,388
2130,Cortina et al. (2010),Cortina,2010,Spain,Europe,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0,7.6805440000000001E-3,0,7.6805440000000001E-3,0.4,5,5,"Relleu, SE Spain",Mixed,NA,C3 Grass,Native,Perennial,Fibrous,Biocrust disturbance,Field,Stipa tenacissima,Esparto,Poaceae,Grass,38.542791770000001,5.7031713330000002,NA,16,388
2147,Eldridge et al. (2002),Eldridge,2002,Israel,Asia,Yes,No,No,Yes,No,NA,NA,NA,NA,-0.67718721699999995,1.1178989E-2,NA,NA,-0.67718721699999995,1.1178989E-2,0.4,5,5,"Sayeret Shaked Park, Negev Desert, Israel",Mixed,Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Biocrust removal,Field,Noaea mucronata,NA,Amaranthaceae,Shrub,31.283333330000001,34.616666670000001,0.14499999999999999,19.7,227
2147,Eldridge et al. (2002),Eldridge,2002,Israel,Asia,Yes,No,No,Yes,No,NA,NA,NA,NA,-0.67718721699999995,1.1178989E-2,NA,NA,-0.67718721699999995,1.1178989E-2,0.4,5,5,"Sayeret Shaked Park, Negev Desert, Israel",Mixed,Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Biocrust removal,Field,Atractylis serratuloides,NA,Asteraceae,Shrub,31.283333330000001,34.616666670000001,0.14499999999999999,19.7,227
