CITATION,Country,EXPERIMENT_TYPE,HABITAT_TYPE_P,HABITAT_TYPE_S,NEIGHBOR_SPP,TARGET_SPP,PAIR,LIFESTAGE.RED,ORIGIN.neighbor,NNTYPE.neighbor,FAMILY.neighbor,FUN_GROUP.neighbor,DUR_GROUP.neighbor,NFIX.neighbor,ORIGIN.target,NonnativeType.target,FAMILY.target,FUN_GROUP.target,DUR_GROUP.target,NFIX.target,ResponseVariable,COMPtreatment,d,Var,ISLE
Stevens and Gowing et al. 2014,United Kingdom,greenhouse,4_grassland,4.4_temperate,ANO,PLL,NAT-NAT,adult,native,native,Poaceae,grass,annual,no,native,native,Plantaginaceae,herb,perennial,no,biomassAG,RCE,-1.0469,0.4548,yes
Stevens and Gowing et al. 2014,United Kingdom,greenhouse,4_grassland,4.4_temperate,ANO,PLL,NAT-NAT,adult,native,native,Poaceae,grass,annual,no,native,native,Plantaginaceae,herb,perennial,no,biomassBG,RCE,-1.0338,0.7557,yes
Stevens and Gowing et al. 2014,United Kingdom,greenhouse,4_grassland,4.4_temperate,ANO,PRV,NAT-NAT,adult,native,native,Poaceae,grass,annual,no,native,native,Lamiaceae,herb,perennial,no,biomassAG,RCE,-1.0426,0.4544,yes
Stevens and Gowing et al. 2014,United Kingdom,greenhouse,4_grassland,4.4_temperate,ANO,PRV,NAT-NAT,adult,native,native,Poaceae,grass,annual,no,native,native,Lamiaceae,herb,perennial,no,biomassBG,RCE,-1.195,0.7857,yes
Britton et al. 2003,United Kingdom,experiment.field,3_shrubland,3.4_temperate,CAV,DEF,NAT-NAT,juvenile,native,native,Ericaceae,shrub,perennial,no,native,native,Poaceae,grass,perennial,no,biomassAG,RCE,-1.4053,0.1039,yes
Britton et al. 2003,United Kingdom,experiment.field,3_shrubland,3.4_temperate,CAV,DEF,NAT-NAT,juvenile,native,native,Ericaceae,shrub,perennial,no,native,native,Poaceae,grass,perennial,no,biomassAG,RCE,-10.6222,1.2587,yes
Britton et al. 2003,United Kingdom,experiment.field,3_shrubland,3.4_temperate,CAV,DEF,NAT-NAT,juvenile,native,native,Ericaceae,shrub,perennial,no,native,native,Poaceae,grass,perennial,no,biomassBG,RCE,-11.7928,1.532,yes
Britton et al. 2003,United Kingdom,experiment.field,3_shrubland,3.4_temperate,CAV,DEF,NAT-NAT,juvenile,native,native,Ericaceae,shrub,perennial,no,native,native,Poaceae,grass,perennial,no,biomassBG,RCE,-9.7709,1.0778,yes
Brooker et al. 2006,"Scotland, United Kingdom",experiment.field,3_shrubland,3.4_temperate,CAV,PIS,NAT-NAT,juvenile,native,native,Ericaceae,shrub,perennial,no,native,native,Pinaceae,tree,perennial,no,biomassAG,RNE,-2.8078,0.0397,yes
Brooker et al. 2006,"Scotland, United Kingdom",experiment.field,3_shrubland,3.4_temperate,CAV,PIS,NAT-NAT,juvenile,native,native,Ericaceae,shrub,perennial,no,native,native,Pinaceae,tree,perennial,no,biomassAG,RNE,-36.8568,3.4161,yes
Britton et al. 2003,United Kingdom,experiment.field,3_shrubland,3.4_temperate,DEF,CAV,NAT-NAT,juvenile,native,native,Poaceae,grass,perennial,no,native,native,Ericaceae,shrub,perennial,no,biomassAG,RCE,-66.1569,45.6743,yes
