Source,Neighbor species,Focal species,Visitation,Reproductive Success,d (vis),var (d vis),d (rep),var (d rep),Min. Distance ('control' to nearest neighbour),Treatment Arrangement,Interaction type,Study approach,Phylo,Symmetry,Colour,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32
Aigner 2004,various,Dithyrea maritima (Davidson) Davidson,yes,yes,-1.042,0.757,0.848,0.727,56,natural,alien,experimental,179.91215,P,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albrecht 2016,Oxalis pes-caprae,Diplotaxis erucoides,yes,no,0.3381842873,0.2028592153,NA,NA,200,natural,alien,observational,235.069517,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albrecht 2016,Oxalis pes-caprae,Diplotaxis erucoides,yes,no,0.3522615141,0.2031022044,NA,NA,1500,natural,alien,experimental,235.069517,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albrecht 2016,Oxalis pes-caprae,Diplotaxis erucoides,yes,no,0.0129144897,0.2000041696,NA,NA,1500,natural,alien,experimental,235.069517,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armbruster 1991,Aster sibiricus L.,Erigeron glabellus Nutt.,yes,yes,0.09,0.143,-0.138,0.501,2,clumped,native,experimental,91.4874,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armbruster 1991,Erigeron glabellus,Aster sibiricus,yes,yes,-0.289,0.135,0.636,0.472,2,clumped,native,experimental,91.4874,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baskett 2011,Gypsophila paniculata,Cirsium pitcheri,yes,no,1.7021000269,0.6109524723,NA,NA,1000,natural,alien,observational,233.394552,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baskett 2011,Gypsophila paniculata,Cirsium pitcheri,yes,no,2.5682673804,0.8164442965,NA,NA,1000,natural,alien,observational,233.394552,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baskett 2011,Gypsophila paniculata,Cirsium pitcheri,yes,no,1.1410853527,0.4817704558,NA,NA,1000,natural,alien,experimental,233.394552,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baskett 2011,Gypsophila paniculata,Cirsium pitcheri,yes,no,-1.0734285963,0.4576124476,NA,NA,30000,natural,alien,experimental,233.394552,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
