Farm,Environmental,Mist-net,Fecal density,State,BCR,Natural,Urban,Water,Nat_ED,Nat_ENN_AM,Nat_AREA_AM,CONTAG,Nat_IJI,PR,SHDI,SHEI,cattle.den,goat.den,pig.den,sheep.den,mammal_land,chicken_land,Livestock_2016,Livestock_2017,mammal_farm,poultry_farm,Cattle,Chickens,Goats,Horses,Pigs,Sheep,Fowl_other,Ungulate_Other,Livestock_type,Farm_size,Open roof,Closeable barn,Cart,Exposed table,Farm stand,None/grass,Notes
Farm_01,Yes,Yes,Yes,OR,Northern_Pacific_Rainforest,13.7025,4.036,1.6607,31.9792,89.8137,57.8484,69.8602,35.0697,5,0.6505,0.4042,13.29920387,0.912468016,2.530537128,0.775147676,17.51735669,76.44098767,1,1,0.755667506,0,0,0,0,4,0,8,0,0,Rotational,15.88,No,No,No,Yes,No,No,NA
Farm_02,No,Yes,Yes,CA,Coastal_California,0.0991,18.7822,0,0.5724,2482.0355,0.75,70.9768,60.6473,4,0.4956,0.3575,6.772328377,0.082316875,0.055926371,0.283654243,7.194225866,1.104165062,0,0,0,0,0,0,0,0,0,0,0,0,N/A,45.23,Yes,Yes,No,No,No,No,NA
Farm_03,Yes,Yes,Yes,WA,Northern_Pacific_Rainforest,23.6017,23.78,0,57.5183,75.681,56.5841,27.5947,86.834,3,1.0202,0.9286,18.71444511,1.997361898,0.910591543,0.692012548,22.3144111,357.626894,1,1,0.600600601,1.051051051,0,7,0,0,1.5,0,0,2.5,Separated,6.66,Yes,No,No,No,No,No,NA
Farm_04,No,Yes,Yes,OR,Northern_Pacific_Rainforest,70.2958,10.7157,0,63.317,60.0867,333.1129,44.3731,99.9927,3,0.8026,0.7305,4.066193104,0.483950526,0.086532809,0.115677781,4.75235422,0.132880222,0,0,0,0,0,0,0,0,0,0,0,0,N/A,4.41,No,No,No,No,No,Yes,NA
Farm_05,No,Yes,Yes,CA,Coastal_California,46.2361,42.3303,0.4091,47.8547,62.2852,273.4533,51.1791,62.1629,4,0.9862,0.7114,5.863100529,0.380465537,0.076266617,0.488704354,6.808537036,0.48292204,0,0,0,0,0,0,0,0,0,0,0,0,N/A,3.55,No,No,No,No,No,No,NA
Farm_06,Yes,Yes,Yes,WA,Northern_Pacific_Rainforest,34.8064,9.2284,0,55.5556,68.1899,285.6019,41.1283,90.3361,3,0.9121,0.8302,11.14004803,0.710289896,0.41119504,0.154019505,12.41555247,190.1277887,0,1,0,0,0,62.5,0,0,0,0,0,0,Separated,4.87,Yes,No,No,No,No,No,NA
Farm_07,No,Yes,Yes,WA,Northern_Pacific_Rainforest,47.0371,10.9476,3.0817,63.3056,62.6771,486.727,46.5579,83.6357,5,1.1835,0.7353,28.45900536,0.465691894,0.111595243,0.046320535,29.08261303,2.483450592,1,1,0,16.47,0,40,0,0,0,0,0,0,Separated,2.43,Yes,No,No,No,No,No,NA
Farm_08,Yes,Yes,Yes,CA,Coastal_California,1.4982,12.8828,0,7.0398,427.8137,4.7843,71.5829,53.642,4,0.5005,0.361,5.054197311,0.509336412,0.043480441,0.312186956,5.919201121,1.587659654,0,0,0,0,0,0,0,0,0,0,0,0,N/A,5.01,Yes,No,No,No,No,No,NA
Farm_09,Yes,Yes,No,CA,Coastal_California,39.9366,13.4113,1.8093,74.4189,65.7299,267.3163,47.9219,60.4419,5,1.0984,0.6825,7.261040688,0.337560564,0.113061361,0.116963148,7.828625761,1.122124401,1,1,2.463054187,73.89162562,0,150,0,1,0,4,0,0,Rotational,2.03,No,Yes,No,Yes,No,No,NA
Farm_10,Yes,Yes,Yes,OR,Northern_Pacific_Rainforest,74.6976,2.7232,0.0793,43.8672,60.5972,994.7434,69.9209,46.2385,5,0.6661,0.4139,2.928617716,0.351561099,0.379724503,0.654697418,4.314600736,430.2825557,0,1,0,0,0,1.5,0,0,0,0,0,0,Free,2.96,Yes,No,No,No,No,No,"Chickens were farmed across street from produce in 2016, but several were allowed to roam freely in produce areas in 2017"
