Species;UTM_easting_10km_center;UTM_northing_10km_center;GriddedMean_MeanOrdinalDay;GriddedMean_2.5percentileOrdinalDay;GriddedMean_97.5percentileOrdinalDay;GriddedMean_SampleSizeOrdinalDay;GriddedMean_Altitude;GriddedMean_WorldClim_bio1;GriddedMean_WorldClim_bio12;GriddedMean_MeanNDVI
Amanita_ceciliae;385;6645;247;247;247;1;1513;-12;1990;0.132885416666667
Amanita_ceciliae;305;6695;245;245;245;1;573;63;2384;0.4573046875
Amanita_ceciliae;855;7605;236;236;236;2;640;6;752;0.145811197916667
Amanita_gemmata;555;6555;292;292;292;1;46;67;749;0.461870442708333
Amanita_gemmata;605;6745;247;247;247;1;220;39;591;0.3861953125
Astraeus_hygrometricus;-385;5675;17.3333333333333;17.3333333333333;17.3333333333333;1;90.3333333333333;96.6666666666667;889;0.475080295138889
Astraeus_hygrometricus;-235;5675;298;298;298;1;22;105;792;0.3680859375
Astraeus_hygrometricus;-295;5685;294;294;294;1;143;91;848;0.685764322916667
Astraeus_hygrometricus;-245;5685;289;289;289;1;39;100;790;0.515048177083333
Astraeus_hygrometricus;-135;5685;290;290;290;1;41;99;684;0.573701822916667
Astraeus_hygrometricus;-465;5685;94;94;94;1;234;94;1107;0.756908203125
Astraeus_hygrometricus;-505;5655;274.5;212.05;314;4;51;101;1062;0.609143229166667
Astraeus_hygrometricus;-445;5655;96;96;96;1;73;104;1004;0.276977864583333
Astraeus_hygrometricus;-495;5665;286.6;282.23;290.97;1.2;61.2;101.6;1053;0.661720052083333
Astraeus_hygrometricus;-475;5675;4;4;4;1;127;102;1028;0.5803359375
Astraeus_hygrometricus;-185;5735;293;293;293;1;77;96;767;0.672716145833333
Astraeus_hygrometricus;-155;5735;327;327;327;2;14;104;627;0.652846354166667
Astraeus_hygrometricus;-315;5765;221.5;141.225;301.775;2;63;96;890;0.775658854166667
Astraeus_hygrometricus;-295;5805;295;295;295;1;98;93;824;0.724837239583333
Astraeus_hygrometricus;-435;5825;49;49;49;1;21;102;947;0.597515625
Astraeus_hygrometricus;-25;5885;301.25;300.0625;302.4375;1.5;40;102;642.5;0.61070703125
Astraeus_hygrometricus;-315;5915;248;248;248;1;135;88;829;0.751072916666667
Astraeus_hygrometricus;-205;5925;314;314;314;2;84;94;762;0.699968098958333
Astraeus_hygrometricus;-105;5695;278;278;278;1;84.5;100;691;0.664024739583333
Astraeus_hygrometricus;-35;5705;299.166666666667;289.7;313.45;2;33;101;612;0.685962239583333
Astraeus_hygrometricus;-185;5925;141;141;141;1;116;95;681;0.58858203125
Astraeus_hygrometricus;-105;5725;293;293;293;1;111;97;688;0.659997395833333
Astraeus_hygrometricus;-365;5735;292;292;292;1;292;85;1217;0.771130208333333
Astraeus_hygrometricus;-195;5735;289;254.5;312.45;3;56;97;759;0.672716145833333
Astraeus_hygrometricus;-465;5675;177;177;177;1;27;104;1012;0.5803359375
Astraeus_hygrometricus;-445;5675;94;94;94;1;82;102;1027;0.4580390625
Cantharellus_romagnesianus;495;5085;165;165;165;1;880;96;1291;0.66090234375
Cortinarius_argenteopileatus;-115;5705;292;292;292;1;47;101;670;0.700216145833333
Cortinarius_argenteopileatus;-105;5735;321;321;321;1;85;103;621;0.669014322916667
Cortinarius_argenteopileatus;-295;5795;285;285;285;1;75;95;806;0.724837239583333
Cortinarius_argenteopileatus;-265;6405;272;272;272;1;321;58;983;0.638485677083333
Cortinarius_argenteopileatus;-395;5685;334;334;334;1;141;97;943;0.76234765625
Cortinarius_argenteopileatus;-235;5815;281.5;281.5;281.5;1;134;92;640;0.463858723958333
Cortinarius_argutus;-305;5805;288;288;288;1;99;97;821;0.724837239583333
Cortinarius_argutus;-165;5755;293;293;293;1;39;101;647;0.653012369791667
Cortinarius_argutus;-135;5785;260;260;260;1;88;98;654;0.624946614583333
Cortinarius_argutus;-135;5835;248;248;248;1;33;97;559;0.506920572916667
Cortinarius_atrovirens;-265;5795;301;301;301;1;230;88;782;0.694028645833333
Cortinarius_balteatoalbus;-105;5725;267;267;267;1;111;97;688;0.659997395833333
Cortinarius_balteatoalbus;-225;5665;295;295;295;1;30;104;822;0.737540364583333
Cortinarius_balteatocumatilis;375;6785;281;281;281;1;400;42;1835;0.305625
Cortinarius_balteatocumatilis;385;6785;254;254;254;1;686;28;1673;0.356213541666667
Cortinarius_balteatocumatilis;405;6795;253;253;253;1;1;44;1172;0.461434895833333
Cortinarius_balteatocumatilis;305;6655;254;254;254;1;275;65;2127;0.514619791666667
Cortinarius_balteatocumatilis;405;6905;241;241;241;1;700;54;1195;0.3841640625
Cortinarius_balteatocumatilis;395;6915;261;261;261;1;60;48;1431;0.36819140625
Cortinarius_balteatocumatilis;525;6525;250;250;250;1;43;67;818;0.584627604166667
Cortinarius_balteatocumatilis;415;6795;252;252;252;1;707;28;1175;0.34882421875
Cortinarius_balteatocumatilis;605;6565;266;266;266;1;25;71;747;0.29433984375
Cortinarius_balteatocumatilis;595;6635;266;266;266;1;83;60;760;0.59090625
Cortinarius_balteatocumatilis;625;7105;261;261;261;1;8;49;1113;0.414095052083333
Cortinarius_balteatocumatilis;565;7045;246;246;246;1;1;37;981;0.315477864583333
Cortinarius_balteatocumatilis;615;6555;266;266;266;1;27;71;745;0.285936197916667
Cortinarius_balteatocumatilis;595;6645;259.5;259.5;259.5;1;152.5;55.5;761.5;0.559734049479167
Cortinarius_balteatocumatilis;605;6645;269;269;269;1;253;49.5;800;0.595567708333333
Cortinarius_balteatocumatilis;375;6935;252;246.3;257.7;2;60;61;1717;0.445897786458333
Cortinarius_balteatocumatilis;495;6995;297;297;297;1;340;32;1211;0.349365885416667
Cortinarius_balteatocumatilis;495;6945;304;304;304;1;620;11;1034;0.210934895833333
Cortinarius_belleri;695;5675;122;122;122;1;198;85;543;0.542721354166667
Cortinarius_borgsjoeensis;625;6675;263;263;263;1;205;44;792;0.532481770833333
Cortinarius_borgsjoeensis;555;6765;255;255;255;1;550;16;677;0.439525065104167
Cortinarius_borgsjoeensis;695;7235;239;239;239;1;380;34;1552;0.2323125
Cortinarius_bovinus;-135;6085;263;263;263;1;175;84;809;0.74590234375
Cortinarius_bovinus;-395;6255;271;271;271;1;696;66;1845;0.5857265625
Cortinarius_bovinus;-295;5825;271;271;271;1;108;94;750;0.70621875
Cortinarius_bovinus;-185;5755;316;316;316;1;85;97;699;0.654848307291667
Cortinarius_castaneus;-135;6085;263;263;263;1;175;84;809;0.74590234375
Cortinarius_castaneus;-145;6045;261;261;261;1;90;91;671;0.636321614583333
Cortinarius_castaneus;-305;5825;280;280;280;1;128;96;754;0.682908854166667
Cortinarius_chrysolitus;-345;5855;269;269;269;1;195;89;1254;0.735446614583333
Cortinarius_chrysolitus;-245;5775;265;265;265;1;111;94;661;0.591216145833333
Cortinarius_chrysolitus;-275;6235;272;272;272;1;304;71;1094;0.628515625
Cortinarius_chrysolitus;-575;6005;281;281;281;1;79;91;846;0.689490885416667
Cortinarius_chrysolitus;-545;6215;311;311;311;1;18;87;1072;0.732923828125
Cortinarius_contractus;-375;5935;138;138;138;1;127;88;1153;0.63429296875
Cortinarius_crassifolius;655;5325;178;178;178;1;531;84;933;0.689700520833333
Cortinarius_durus;-325;6355;297;297;297;1;635;49;1843;0.550860677083333
Cortinarius_durus;-235;5675;288.5;279.475;297.525;2;20;104;784;0.657922526041667
Cortinarius_durus;-245;5685;293;293;293;1;49;102;780;0.687837239583333
Cortinarius_fagetorum;975;5065;99;96.15;101.85;2;452;112;1237;0.749869791666667
Cortinarius_fervidus;-315;6365;288;288;288;1;326;59;1680;0.5488828125
Cortinarius_fulvoisabellinus;435;5355;153;153;153;1;651;87;946;0.781380208333333
Cortinarius_fulvoisabellinus;665;5535;121;121;121;1;445;77;695;0.635035807291667
Cortinarius_fulvoisabellinus;345;5175;149;136.125;158.475;4;708;81;975;0.712464192708333
Cortinarius_gentilis;-145;5865;284;284;284;1;80;96;581;0.596067057291667
Cortinarius_gentilis;-335;5785;273;273;273;1;38;101;935;0.592975260416667
Cortinarius_gentilis;-295;5795;314;314;314;1;113;95;806;0.724837239583333
Cortinarius_gentilis;-225;5865;283;283;283;1;95;91;669;0.632381510416667
Cortinarius_gentilis;-275;6335;245;245;245;1;174;69;985;0.595065755208333
Cortinarius_gentilis;-195;5995;282;282;282;1;67;95;723;0.635098307291667
Cortinarius_gentilis;-415;5655;289;289;289;1;131;98;991;0.558555989583333
Cortinarius_gentilis;-245;5715;258;258;258;1;75;99;755;0.67255859375
Cortinarius_gentilis;-255;6385;278.682905982906;258.416666666667;301.75;4.33333333333333;481.666666666667;53.8333333333333;1038.83333333333;0.5295224609375
Cortinarius_gentilis;-245;6385;250.5;250.5;250.5;1;325.5;57;964.5;0.533299479166667
Cortinarius_gentilis;-225;6385;296;296;296;1;320;67;846;0.605090494791667
Cortinarius_gentilis;-215;6385;246;245.525;246.475;1.5;261.5;69;823;0.608367838541667
Cortinarius_gentilis;-265;6395;303.5;294.1125;317.1375;2.5;467;48;1138;0.514223307291667
Cortinarius_gentilis;-255;6395;303.333333333333;303.333333333333;303.333333333333;1;523.666666666667;52.3333333333333;1050.33333333333;0.5295224609375
Cortinarius_gentilis;-235;6395;247;247;247;1;431;65;858;0.635963541666667
Cortinarius_gentilis;-205;6165;313;313;313;1;204;76;799;0.659670572916667
Cortinarius_gentilis;-345;6285;249;249;249;1;19;83;1429;0.58950390625
Cortinarius_gentilis;-265;6415;256.25;255.220833333333;257.279166666667;1.16666666666667;256;66;851.166666666667;0.612024522569445
Cortinarius_gentilis;-255;6415;258;241.15;292.4;7;379;61;897;0.5041484375
Cortinarius_gentilis;-265;6425;249;249;249;1;256;68;814;0.637563802083333
Cortinarius_gentilis;-175;6425;234;234;234;1;113;80;794;0.65632421875
Cortinarius_gentilis;-345;6435;285;285;285;1;267;61;1666;0.449858723958333
Cortinarius_gentilis;-335;6435;256;256;256;1;332;60;1666;0.566153645833333
Cortinarius_gentilis;-315;6445;248;248;248;1;49;74;1073;0.63003125
Cortinarius_gentilis;-205;6455;244;244;244;1;136;77;794;0.706763020833333
Cortinarius_gentilis;-265;6495;222;222;222;1;9;81;713;0.467278645833333
Cortinarius_gentilis;-315;6505;261;261;261;1;104;72;1118;0.51499609375
Cortinarius_gentilis;-185;5755;282;282;282;1;85;97;699;0.654848307291667
Cortinarius_gentilis;-315;6365;244;244;244;1;328.5;68;1464;0.561213541666667
Cortinarius_gentilis;-275;6405;259.5;257.5625;262.075;1.5;247;63.5;921.25;0.611229166666667
Cortinarius_gentilis;-265;6405;260;259.05;260.95;1.25;339.5;58.25;976.5;0.624857421875
Cortinarius_gentilis;-275;5775;278;278;278;1;129;92;769;0.69278125
Cortinarius_gentilis;-285;6365;245;245;245;1;160;67;1105;0.622016927083333
Cortinarius_gentilis;-265;6385;282;282;282;1;434;52;1073;0.514223307291667
Cortinarius_hillieri;-125;5735;282;282;282;1;78;103;650;0.644682291666667
Cortinarius_inexspectatus;605;6725;166;166;166;1;260;42;618;0.534967447916667
Cortinarius_inexspectatus;375;5125;149;149;149;1;1431;54;1218;0.53051953125
Cortinarius_inexspectatus;365;5175;152.5;152.5;152.5;1;1345.5;49;1351;0.61080859375
Cortinarius_inexspectatus;565;6665;153;153;153;1;170;54;710;0.562442708333333
Cortinarius_insignibulbus;695;5675;65;65;65;1;198;85;543;0.542721354166667
Cortinarius_junghuhnii;655;7125;271;271;271;1;40;44;1197;0.377463541666667
Cortinarius_niveoglobosus;795;5815;176;160.8;191.2;2;46;91;569;0.632729166666667
Cortinarius_occidentalis;-105;5725;283;283;283;1;111;97;688;0.659997395833333
Cortinarius_pertristis;365;5195;146;146;146;1;545;85;929;0.69674609375
Cortinarius_pseudocyanites;905;5115;176;176;176;1;354;102;1280;0.710180338541667
Cortinarius_pseudocyanites;985;5095;169;169;169;1;363.5;101.5;1184.5;0.655529947916667
Cortinarius_purpureus;-245;5695;274;272.575;275.425;1.5;70;99;791;0.668093098958333
Cortinarius_purpureus;-105;5715;252.75;251.5625;253.9375;1.5;167;97;683;0.659997395833333
Cortinarius_purpureus;-245;5685;268;268;268;1;39;101;787.5;0.601442708333333
Cortinarius_purpureus;-125;5725;307;307;307;1;91;103;650;0.644682291666667
Cortinarius_purpureus;-95;5695;294;294;294;1;118;99;699;0.707978515625
Cortinarius_purpureus;-135;5755;262;262;262;2;108;108;641;0.553782552083333
Cortinarius_purpureus;-255;5775;283;283;283;1;121;95;687;0.726197265625
Cortinarius_purpureus;-305;5865;328;328;328;1;248;85;832;0.706697916666667
Cortinarius_purpureus;-25;5865;263;263;263;1;31;101;632;0.60505078125
Cortinarius_purpureus;-105;5705;273.571428571429;254.35;292.95;7;75;98;699;0.676235677083333
Cortinarius_purpureus;-125;5715;278.5;278.5;278.5;1;198;98.5;690;0.686171875
Cortinarius_purpureus;-45;5905;294;294;294;1;1;98;615;0.436817708333333
Cortinarius_purpureus;-215;5995;300;300;300;1;283;89;1010;0.6244296875
Cortinarius_purpureus;-315;6365;259;259;259;1;326;59;1680;0.5488828125
Cortinarius_purpureus;-275;6405;257;257;257;1;240;60;987;0.611229166666667
Cortinarius_purpureus;-265;6415;237;237;237;1;269;64;882;0.63505078125
Cortinarius_purpureus;-205;5735;287;287;287;1;101;97;742;0.597850260416667
Cortinarius_purpureus;-145;5755;261;261;261;1;30;104;632;0.510091796875
Cortinarius_purpureus;-345;5725;255;255;255;1;32;94;939;0.769188802083333
Cortinarius_purpureus;-265;5725;237.5;221.825;253.175;2;113;94;762;0.628802083333333
Cortinarius_purpureus;-155;5725;289;289;289;1;92;99;668;0.686399739583333
Cortinarius_purpureus;5;5875;281;281;281;1;-1;102;615;0.623833333333333
Cortinarius_purpureus;-45;5885;246;246;246;1;70;96;651;0.600404296875
Cortinarius_rhaebopus;465;5125;77;77;77;1;1258;34;1499;0.591674479166667
Cortinarius_romagnesii;575;5285;106;106;106;1;743;71;1072;0.756440755208333
Cortinarius_romagnesii;565;5295;127;127;127;1;717;74;1052;0.758139322916667
Cortinarius_romagnesii;495;5365;237;237;237;1;348;89;784;0.645210286458333
Cortinarius_romagnesii;555;5295;127;127;127;1;668;75;1071;0.756376302083333
Cortinarius_romagnesii;725;5685;119;119;119;1;123;89;515;0.568462239583333
Cortinarius_romagnesii;405;5325;106;106;106;1;245;100;780;0.610680989583333
Cortinarius_romagnesii;345;5185;130;130;130;1;607;81;967;0.712464192708333
Cortinarius_romagnesii;555;5415;110;110;110;1;509;82;739;0.71158203125
Cortinarius_romagnesii;535;5805;107;107;107;1;46;89;686;0.613877604166667
