PE-MP Type,Treatment,PE-MP concentration (mg/kg),Unassigned;__,k__Archaea;__,k__Archaea;p__Aenigmarchaeota,k__Archaea;p__Crenarchaeota,k__Archaea;p__Euryarchaeota,k__Archaea;p__Halobacterota,k__Archaea;p__Nanoarchaeota,k__Archaea;p__Thermoplasmatota,k__Bacteria;__,k__Bacteria;p__Abditibacteriota,k__Bacteria;p__Acidobacteriota,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Armatimonadota,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Bdellovibrionota,k__Bacteria;p__Caldatribacteriota,k__Bacteria;p__Caldisericota,k__Bacteria;p__Campilobacterota,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cloacimonadota,k__Bacteria;p__Coprothermobacterota,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Dadabacteria,k__Bacteria;p__Deferribacterota,k__Bacteria;p__Deinococcota,k__Bacteria;p__Dependentiae,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Elusimicrobiota,k__Bacteria;p__Entotheonellaeota,k__Bacteria;p__Fibrobacterota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteriota,k__Bacteria;p__Gemmatimonadota,k__Bacteria;p__Halanaerobiaeota,k__Bacteria;p__Hydrogenedentes,k__Bacteria;p__Latescibacterota,k__Bacteria;p__MBNT15,k__Bacteria;p__Marinimicrobia_(SAR406_clade),k__Bacteria;p__Methylomirabilota,k__Bacteria;p__Myxococcota,k__Bacteria;p__NB1-j,k__Bacteria;p__Nitrospirota,k__Bacteria;p__Patescibacteria,k__Bacteria;p__Planctomycetota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__RCP2-54,k__Bacteria;p__SAR324_clade(Marine_group_B),k__Bacteria;p__Schekmanbacteria,k__Bacteria;p__Spirochaetota,k__Bacteria;p__Sumerlaeota,k__Bacteria;p__Sva0485,k__Bacteria;p__Synergistota,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__WPS-2,k__Bacteria;p__WS1,...59,...60,...61,...62
PRISTINE,C0,0,37,0,27,0,129,0,0,0,18,0,13,5871,0,106,59,0,0,3,68,0,0,66,0,0,0,31,1,0,0,12,14357,0,37,1,0,0,0,0,0,121,0,0,30,964,3584,0,0,0,3,0,0,1,492,3,0,NA,NA,NA,NA
PRISTINE,C0,0,43,35,0,2,21,0,0,0,27,0,14,8343,0,109,59,0,2,3,65,0,0,47,0,1,3,39,6,0,0,9,12332,0,32,0,0,0,0,0,0,121,0,0,33,1100,3302,0,0,0,3,0,2,0,281,0,0,NA,NA,NA,NA
PRISTINE,C0,0,38,6,5,38,63,0,0,0,35,0,71,7409,0,321,110,0,0,10,108,0,0,197,0,6,6,96,4,0,4,6,9201,0,25,0,0,0,0,0,6,199,0,0,85,2514,4927,0,0,0,2,2,0,5,528,7,0,NA,NA,NA,NA
PRISTINE,C0,0,107,5,10,0,2,0,0,0,73,0,7,2743,0,7956,9,0,0,84,14,0,0,18,0,0,0,8,9,0,0,0,13162,0,12,0,0,0,0,0,0,45,0,0,3,127,1576,0,0,0,0,0,0,0,64,0,0,NA,NA,NA,NA
PRISTINE,C1,0.2,49,19,2,1,47,0,0,0,48,0,12,10162,0,98,24,0,0,4,92,0,4,81,0,0,0,47,0,0,3,7,10954,0,29,0,0,0,0,0,0,142,0,0,51,932,3068,0,0,0,7,0,0,0,151,0,0,NA,NA,NA,NA
PRISTINE,C1,0.2,49,25,3,0,10,0,0,0,63,0,27,8582,0,184,38,0,0,0,71,0,0,93,0,1,8,50,0,0,0,0,12189,3,31,0,0,4,0,0,0,150,0,0,14,851,3454,0,0,0,3,3,1,12,115,0,0,NA,NA,NA,NA
PRISTINE,C1,0.2,82,10,2,1,15,0,0,0,70,0,1,5024,0,138,30,0,0,0,51,0,0,33,1,2,3,37,0,0,0,0,14839,6,26,0,0,0,0,0,0,147,0,0,11,1342,4068,0,0,0,0,2,0,0,93,0,0,NA,NA,NA,NA
PRISTINE,C1,0.2,94,22,2,0,121,6,0,0,26,0,39,6383,0,232,77,0,0,5,94,0,0,403,0,0,0,48,7,0,0,5,12034,0,31,0,0,0,0,0,0,295,0,0,47,2012,3927,0,0,0,2,0,0,0,118,4,0,NA,NA,NA,NA
PRISTINE,C2,2,113,41,0,0,53,0,0,1,46,0,9,4817,0,133,68,0,0,5,72,0,0,56,0,0,2,48,0,0,0,0,13122,0,42,0,0,0,0,0,0,173,0,0,16,2798,4225,0,0,0,0,2,0,0,192,0,0,NA,NA,NA,NA
PRISTINE,C2,2,88,6,14,0,81,0,0,0,47,0,6,7719,0,127,44,0,0,0,120,0,0,926,0,0,18,37,1,0,0,4,10784,0,43,0,0,0,0,0,0,143,0,0,21,1995,3671,0,0,0,6,0,3,0,130,0,0,NA,NA,NA,NA
PRISTINE,C2,2,19,8,0,3,74,0,0,0,38,0,204,5728,11,199,54,5,0,0,255,0,0,122,0,0,7,95,15,4,9,22,11755,0,54,0,0,6,0,0,2,173,0,7,138,3119,3666,0,0,0,25,0,0,0,217,0,0,NA,NA,NA,NA
