USN,Author,Year,Hedge_g,Hedge_g_error,N,Plant_Family,Tribe,Tribe_B,Experiment_Conditions,Continent,Drought methodology,Hedge_g_Plant_Vigour,Hedge_g_error_Plant_Vigour,N_Plant_Vigour,Hedge_g_Plant_Defence,Hedge_g_error_Plant_Defence,N_Plant_Defence,Hedge_g_Plant_Nutrition,Hedge_g_error_Plant_Nutrition,N_Plant_Nutrition
3,Beetge and Kruger,2019,-0.223743609,0.007970536,798,Solanaceae,Macrosiphini,Macrosiphini,Growth_Chamber_or_Room,Africa,FC,-2.93,0.93,12,n/a,n/a,n/a,n/a,n/a,n/a
5,Tamburini,2018,-0.353320402,0.02387518,225,Poaceae,Macrosiphini,Macrosiphini,Glasshouse,Europe,DI,-16.170000000000002,0.9,327,n/a,n/a,n/a,n/a,n/a,n/a
6,Rousselin,2018,-0.41465425,0.019333354,480,Roseaceae,Macrosiphini,Macrosiphini,Field_or_Polytunnel,Europe,DI,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10,Liu,2018,-3.085165633,0.219253174,216,Poaceae,Macrosiphini,Macrosiphini,Growth_Chamber_or_Room,Asia,DI,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
23,Wade,2017,0.274929807,0.034100846,72,Poaceae,Macrosiphini,Macrosiphini,Field_or_Polytunnel,Europe,DI,-7.76,0.83,91,n/a,n/a,n/a,2.14,0.18,140
28,Foote,2017,-0.363799752,0.021741194,288,Poaceae,Macrosiphini,Macrosiphini,Glasshouse,North_America,GM,-35.700000000000003,7.61,24,n/a,n/a,n/a,n/a,n/a,n/a
29,Ahmed,2017,-1.406666667,0.306959832,24,Poaceae,Macrosiphini,Macrosiphini,Growth_Chamber_or_Room,Asia,DI,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
32,Ryalls,2016,-0.884536871,0.19302177,22,Fabaceae,Macrosiphini,Macrosiphini,Field_or_Polytunnel,Australasia,DI,-9.94,0.76,176,n/a,n/a,n/a,n/a,n/a,n/a
34,Pineda,2016,-1.857907138,0.345004694,30,Brassicaceae,Macrosiphini,Macrosiphini,Growth_Chamber_or_Room,Europe,GM,-4.45,0.27,272,0.81,0.13,40,n/a,n/a,n/a
36,Nachappa,2016,-0.735743546,0.126178977,36,Fabaceae,Aphidini,Aphidini,Growth_Chamber_or_Room,North_America,CC,-1.77,0.59,10,n/a,n/a,n/a,n/a,n/a,n/a
