Study_ID;Short_citation;Year;Growth_Habit;Species_Status;Mechanism;Disturbance_type;Ln_Overall;Ln_Overall_Var;Ln_Abundance;Ln_Abundance_Var;Ln_Biomass;Ln_Biomass_Var;Ln_Reproduction;Ln_Reproduction_Var;Ln_Richness;Ln_Richness_Var;Ln_Survival;Ln_Survival_Var;Ln_Damage;Ln_Damage_Var;Ln_HerbLoad;Ln_HerbLoad_Var;ETP;Latitude_Abs;Precipitation;Temperature
206;Ayala et al. ;2012;Grass;Exotic;Disturbance;Fire;-0.65;0.27;-0.65;0.27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2095;28;559;21.9
207;Barbosa et al. ;2010;Mixed;Exotic;Disturbance;Anthropogenic;1.37;0.75;3.12;0.7893;NA;NA;NA;NA;1.64;0.72;NA;NA;NA;NA;NA;NA;1338;19;500;19.1
212;Bellingham & Coomes;2003;Shrub;Invasive;Disturbance;Plant Removal;0.05;0.05;-0.1;0.05;0.2;0.05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1139;43;1680;8
214;Belote et al. ;2012;Mixed;Exotic;Disturbance;Plant Removal;0.18;0.05;NA;NA;NA;NA;NA;NA;0.18;0.05;NA;NA;NA;NA;NA;NA;1232;36;1207;12.3
214;Belote et al. ;2012;Mixed;Exotic;Disturbance;Anthropogenic;0.47;0.11;NA;NA;NA;NA;NA;NA;0.47;0.11;NA;NA;NA;NA;NA;NA;1232;36;1207;12.3
215;Besaw et al. ;2011;Forb;Exotic;Disturbance;Fire;0.76;1.08;0.76;1.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1241;46;445;4.9
216;Blair et al. ;2010;Mixed;Exotic;Disturbance;Anthropogenic;0.66;0.07;NA;NA;NA;NA;NA;NA;0.66;0.07;NA;NA;NA;NA;NA;NA;1337;37;841;12.9
217;Bossard;1991;Shrub;Exotic;Disturbance;Plant Removal;0.28;2.06;0.28;2.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1568;38;1420;6.8
220;Buckley et al. ;2003;Mixed;Exotic;Disturbance;Anthropogenic;0.61;0.41;NA;NA;NA;NA;NA;NA;0.61;0.41;NA;NA;NA;NA;NA;NA;888;46;834;3.9
225;Cook et al. ;2008;Mixed;Exotic;Disturbance;Fire;2.46;0.48;2.46;0.48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;959;45;783;5.7
225;Cook et al. ;2008;Forb;Exotic;Disturbance;Fire;2.56;0.28;2.56;0.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;959;45;783;5.7
227;Davies et al. ;2008;Grass;Invasive;Disturbance;Fire;-1.22;0.34;-1.22;0.34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1422;23;292;6.6
230;De Villalobos et al. ;2011;Mixed;Invasive;Disturbance;Grazing;1.08;0.01;1.08;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1611;38;800;14
230;De Villalobos et al. ;2011;Tree;Invasive;Disturbance;Grazing;4.05;12.64;NA;NA;NA;NA;0.79;0.096;NA;NA;7.32;25.18;NA;NA;NA;NA;1411;38;800;14
233;Edward et al.;2009;Tree;Exotic;Disturbance;Anthropogenic;0.83;0.0004;0.83;0.0004;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1501;5;1900;20.6
233;Edward et al.;2009;Tree;Exotic;Disturbance;Mixed ;0.985;0.03;1.44;0.004;NA;NA;NA;NA;0.53;0.06;NA;NA;NA;NA;NA;NA;1501;5;1900;20.6
236;Fleishman et al.;2006;Mixed;Exotic;Disturbance;Mixed ;1.06;3.24;1.83;5.37;NA;NA;NA;NA;0.29;1.12;NA;NA;NA;NA;NA;NA;2611;36;167;15.5
238;Flory & Clay;2006;Shrub;Invasive;Disturbance;Mixed ;1.43;0.1;1.43;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1205;39;1084;11.7
241;Gelbard & Belnap;2003;Grass;Exotic;Disturbance;Anthropogenic;-0.12;0.04;-0.12;0.04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1892;38;216;12.1
241;Gelbard & Belnap;2003;Forb;Exotic;Disturbance;Anthropogenic;1.28;0.96;1.28;0.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1892;38;216;12.1
241;Gelbard & Belnap;2003;Forb;Exotic;Disturbance;Anthropogenic;1.72;1.25;1.72;1.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1892;38;216;12.1
241;Gelbard & Belnap;2003;Forb;Exotic;Disturbance;Anthropogenic;2.12;0.81;2.12;0.81;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1892;38;216;12.1
241;Gelbard & Belnap;2003;Forb;Exotic;Disturbance;Anthropogenic;4.17;7.61;4.17;7.61;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1892;38;216;12.1
241;Gelbard & Belnap;2003;Forb;Exotic;Disturbance;Anthropogenic;4.44;9.24;4.44;9.24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1892;38;216;12.1
243;Gerhardt & Collinge;2003;Mixed;Exotic;Disturbance;Anthropogenic;-0.35;0.006;-0.48;0.003;NA;NA;NA;NA;-0.22;0.008;NA;NA;NA;NA;NA;NA;1765;38;580;15.4
243;Gerhardt & Collinge;2003;Mixed;Exotic;Disturbance;Fire;0.15;0.003;0.0271;0.0036;NA;NA;NA;NA;0.29;0.0036;NA;NA;NA;NA;NA;NA;1765;38;580;15.4
245;Góme-Gónzalez et al. ;2011;Mixed;Exotic;Disturbance;Fire;0.05;0.02;-0.11;0.33;NA;NA;NA;NA;0.22;0.02;NA;NA;NA;NA;NA;NA;1412;33;561;14.1
246;Gonzales & Clements;2010;Forb;Exotic;Disturbance;Grazing;0.12;0.15;NA;NA;0.12;0.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;883;48;1083;9.1
246;Gonzales & Clements;2010;Grass;Exotic;Disturbance;Plant Removal;-0.35;0.48;NA;NA;-0.35;0.48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;883;48;1083;9.1
246;Gonzales & Clements;2010;Grass;Exotic;Disturbance;Grazing;0.005;0.245;NA;NA;0.005;0.245;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;883;48;1083;9.1
246;Gonzales & Clements;2010;Forb;Exotic;Disturbance;Plant Removal;0.07;0.54;NA;NA;0.07;0.54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;883;48;1083;9.1
247;Gosper et al.;2011;Grass;Invasive;Disturbance;Fire;-0.46;0.04;-0.46;0.04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1946;33;354;16.5
249;Cushman et al. ;2004;Forb;Exotic;Disturbance;Soil Disturbance;0.83;0.98;NA;NA;0.83;0.98;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1167;38;1000;12
249;Cushman et al. ;2004;Grass;Exotic;Disturbance;Soil Disturbance;-0.245;1.26;NA;NA;-0.54;0.4;NA;NA;0.05;2.12;NA;NA;NA;NA;NA;NA;1167;38;1000;12
249;Cushman et al. ;2004;Mixed;Exotic;Disturbance;Soil Disturbance;0.36;0.03;NA;NA;NA;NA;NA;NA;0.36;0.03;NA;NA;NA;NA;NA;NA;1167;38;1000;12
