studyID,caseID,author,year,journal,kingdom,organism_group,thermoregulation,dispersal_type,trophic_position,realm,habitat,hemisphere,longitude_range,longitude_midpoint,scale,diversity,latitude_range,latitude_midpoint,total_taxonomic_richness,measure_of_richness,number_of_points,slope_b,SE_b,Var_b,intercept,r,rz,VarRz
38,2,A. I. Kafanov,2008,OCEANOLOGY,Animalia,other invertebrates,ecto,passive,suspension,marine,Open ocean,both,120,180,regional,gamma,60,40,548,S,4,-7.985,1.259792,6.348303533,594.15,-0.976001127,-2.20541179,1
38,3,A. I. Kafanov,2008,OCEANOLOGY,Animalia,other invertebrates,ecto,passive,suspension,marine,Open ocean,both,120,180,regional,gamma,60,40,4,index,4,-0.02076,0.01159037,5.37347e-4,5.7034,-0.784849922,-1.057876896,1
1083,2,"V. Visser, W. D. Clayton, D. A. Simpson, R. P. Freckleton and C. P. Osborne",2014,Global Ecology and Biogeography,Plantae,herbaceous plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,S,360,0,regional,gamma,36,NA,NA,S,5,3.385,1.093,5.973245,186.81,0.872926114,1.345244277,0.5
41,2,"A. J. Kerkhoff, P. E. Moriarty and M. D. Weiser",2014,PNAS,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,S,NA,NA,regional,gamma,45,-27.5,12521,S,10,-132.758,21.712,4714.10944,NA,-0.907744457,-1.514557274,0.142857143
17,1,"A. Carranza, O. Defeo, J. C. Castilla and T. F. L. V. B. Rangel",2009,Marine Biology,Animalia,other invertebrates,ecto,passive,suspension,marine,Coastal/estuary,S,12,-76,local,gamma,55,-27.5,41,S,11,-0.191,0.101,0.112211,13.955,-0.513809303,-0.567891772,0.111111111
42,1,"A. J. Sellers, G. M. Ruiz, B. Leung and M. E. Torchin",2015,Plos One,Animalia,other invertebrates,ecto,passive,parasites,marine,Coral reefs,N,9,-83.5,local,alpha,17,17.5,NA,S,12,-0.077,0.026,0.008112,2.732,-0.688476579,-0.845053723,0.111111111
42,2,"A. J. Sellers, G. M. Ruiz, B. Leung and M. E. Torchin",2015,Plos One,Animalia,other invertebrates,ecto,passive,parasites,marine,Coral reefs,N,9,-83.5,local,alpha,17,17.5,NA,S,12,-1.957,1.149,15.842412,56.863,-0.474341649,-0.515657675,0.111111111
17,2,"A. Carranza, O. Defeo, J. C. Castilla and T. F. L. V. B. Rangel",2009,Marine Biology,Animalia,other invertebrates,ecto,passive,suspension,marine,Coastal/estuary,S,34,-53,local,gamma,55,-27.5,43,S,13,-0.396,0.027,0.009477,25.212,-0.977752525,-2.243743934,0.111111111
41,1,"A. J. Kerkhoff, P. E. Moriarty and M. D. Weiser",2014,PNAS,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,NA,NA,regional,gamma,65,32.5,12521,S,14,-79.558,9.311,1213.726094,NA,-0.926822529,-1.635369982,0.090909091
33,1,"A. H. Navarrete, N. A. Lagos and F. P. Ojeda",2014,Revista Chilena de Historia Natural,Animalia,fishes,ecto,active,carnivores,marine,Coastal/estuary,S,5,-74.5,local,alpha,35,-37.5,20,S,14,-0.3757921,0.08761578,0.107471349,25.41386,-0.777955783,-1.040171504,0.09090909
33,2,"A. H. Navarrete, N. A. Lagos and F. P. Ojeda",2014,Revista Chilena de Historia Natural,Animalia,fishes,ecto,active,carnivores,marine,Coastal/estuary,S,5,-74.5,local,alpha,35,-37.5,151,S,14,-1.09574,0.2150058,0.647184916,130.3319,-0.827032285,-1.178671634,0.09090909
70,1,"A. Padhye, S. Shelke and N. Dahanukar",2012,Check List,Animalia,arthropods,ecto,active,herbivores,terrestrial,Forest,N,2,73,regional,gamma,14,15,334,S,14,-7.164835,4.05391,230.078608,313.8901,-0.454468371,-0.490317473,0.09090909
1083,1,"V. Visser, W. D. Clayton, D. A. Simpson, R. P. Freckleton and C. P. Osborne",2014,Global Ecology and Biogeography,Plantae,herbaceous plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,360,0,regional,gamma,66,NA,NA,S,15,-1.581,0.682,6.97686,264.703,-0.540370243,-0.604678398,0.083333333
95,1,"A. Z. Krug, D. Jablonski and J. W. Valentine",2008,Proc. R. Soc. B,Animalia,other invertebrates,ecto,passive,suspension,marine,Open ocean,N,360,0,regional,gamma,75,37.5,NA,S,16,0.139,0.038,0.023104,2.979,0.698569968,0.864502029,0.07692308
95,3,"A. Z. Krug, D. Jablonski and J. W. Valentine",2008,Proc. R. Soc. B,Animalia,other invertebrates,ecto,passive,suspension,marine,Open ocean,S,360,0,regional,gamma,79,-39.5,NA,S,16,-21.246,1.993,63.552784,NA,-0.943398113,-1.768075502,0.076923077
90,1,"A. Valdes, J. Lenoir, E. Gallet-Moron, E. Andrieu, J. Brunet, O. Chabrerie, D. Closset-Kopp, S. A. O. Cousins, M. Deconchat, P. De Frenne, P. De Smedt, M. Diekmann, K. Hansen, M. Hermy, A. Kolb, J. Liira, J. Lindgren, T. Naaf, T. Paal, I. Prokofieva, M. Scherer-Lorenzen, M. Wulf, K. Verheyen and G. Decocq",2015,Global Ecology and Biogeography,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Forest,N,27,13.5,regional,gamma,16,52,783,S,16,-8.465,2.54,103.2256,731.613,-0.664830806,-0.801421658,0.076923077
67,1,A. Novillo and R. A. Ojeda,2012,Austral Ecology,Animalia,mammals,homeo,active,multiple,terrestrial,Terrestrial general,S,12,-71,regional,gamma,33,-25,67,S,18,0.108,0.17,0.5202,18.984,0.158113883,0.159451623,0.066666667
43,2,"A. J. Shaw, C. J. Cox and B. Goffinet",2005,Taxon,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,S,360,0,regional,gamma,41,-20.5,NA,index,19,-0.159,0.949,17.111419,67.953,-0.04472136,-0.04475121,0.0625
23,1,A. E. Arnold and F. Lutzoni,2007,Ecology,Fungi,fungi,ecto,passive,parasites,terrestrial,Terrestrial other,N,47,-86.5,local,alpha,45,32.4,NA,index,22,-0.1060701,0.056619331,0.070526469,NA,-0.37840792,-0.398200186,0.05
44,1,"A. JuÃ¡rez, P. Ortega-Baes, S. SÃ_hring, W. Martin and G. GalÃ_ndez",2007,Biodivers Conserv,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,S,37,-36.5,regional,gamma,31,-38.5,NA,S,23,-41.29729,10.01474,2306.785397,2432.895,-0.668904926,-0.808758695,0.05
44,4,"A. JuÃ¡rez, P. Ortega-Baes, S. SÃ_hring, W. Martin and G. GalÃ_ndez",2007,Biodivers Conserv,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,S,37,-36.5,local,alpha,31,-38.5,NA,index,23,-4.038078,0.9597521,21.18585415,228.4971,-0.676311688,-0.822285092,0.05
54,1,"A. M. Martini, Zanforlin, P. Fiaschi, A. M. Amorim, J. L. PaixÃ£o and Da",2008,Biodivers Conserv,Plantae,woody plants,ecto,passive,autotrophs,terrestrial,Forest,S,38.6,-58.3,regional,gamma,23.8,-12.3,NA,S,24,-0.4217202,0.8405311,16.95582072,119.1744,-0.10636254,-0.106766378,0.04761905
16,1,Canavero et al.,2009,Austral Ecology,Animalia,herpetofauna,ecto,active,omnivores,freshwater,Freshwater,S,30.3,-52.5,local,alpha,22,-19,NA,S,29,-0.03636589,0.2270642,1.495186377,21.64882,-0.03080757,-0.030817323,0.03846154
85,1,A. Schuldt and T. Assmann,2011,ZooKeys,Animalia,arthropods,ecto,active,carnivores,terrestrial,Terrestrial other,N,48,16,regional,gamma,39,44.5,NA,S,36,0.108,0.17,1.0404,18.984,0.158113883,0.159451623,0.066666667
110,1,"B. C. Schlick-Steiner, F. M. Steiner and M. Pautasso",2008,Journal of Biogeography,Animalia,arthropods,ecto,active,omnivores,terrestrial,Terrestrial general,N,43,11.5,regional,gamma,30,51,NA,S,42,-2.556725,1.111602,51.89767827,211.1662,-0.341768928,-0.356094037,0.02564103
1096,1,"W. O. Hobbs, R. J. Telford, H. J. B. Birks, J. E. Saros, R. R. O. Hazewinkel, B. B. Perren, Ã‰. Saulnier-Talbot and A. P. Wolfe",2010,Plos One,Protista,protozoa,ecto,passive,autotrophs,freshwater,Freshwater,N,75.7,-87.7,local,alpha,41.7,58.5,NA,S,52,-0.002398088,0.004249464,9.39013e-4,0.9544234,-0.07955495,-0.079723424,0.02040816
43,1,"A. J. Shaw, C. J. Cox and B. Goffinet",2005,Taxon,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,360,0,regional,gamma,80,40,NA,index,66,0.051,0.197,2.561394,39.015,0.031622777,0.031633324,0.015873016
131,1,"B. S. Ihm, J. S. Lee, J. W. Kim and J. H. Kim",2007,Journal of Plant Biology,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Terrestrial general,N,360,0,regional,gamma,65,32.5,NA,S,79,-129.754,NA,NA,10064,-0.282842712,-0.290769289,0.01315789
424,1,"J. A. Fuhrman, J. A. Steele, I. Hewson, M. S. Schwalbach, M. V. Brown, J. L. Green and J. H. Brown",2008,PNAS,Bacteria,bacteria,ecto,passive,multiple,marine,Open ocean,N,355,-5,local,alpha,71.7,37,NA,S,93,-0.672466275,0.215929525,4.336177046,92.69371027,-0.310346165,-0.320928423,0.011111111
424,2,"J. A. Fuhrman, J. A. Steele, I. Hewson, M. S. Schwalbach, M. V. Brown, J. L. Green and J. H. Brown",2008,PNAS,Bacteria,bacteria,ecto,passive,multiple,marine,Open ocean,S,155,-131,local,alpha,46,-41.2,NA,S,10,-0.726055223,0.174779296,0.305478021,97.31568722,-0.826591288,-1.177277759,0.142857143
394,1,I. A. Wright and S. Burgin,2007,Freshwater Biology,Animalia,arthropods,ecto,both,herbivores,freshwater,Freshwater,S,11.88,146.75,local,alpha,27,-28.63,134,S,4,0.407264,0.06437688,0.016577531,6.613533,0.975912496,2.203546199,0.1666667
401,1,"I. Gjerde, M. Saetersdal, J. Rolstad, K. O. Storaunet, H. H. Blom, V. Gundersen and E. Heegaard",2005,ECOGRAPHY,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Forest,N,13,11.5,local,alpha,11,63.5,NA,index,6,1.095052,1.584094,15.05612281,-25.394,0.326677211,0.339103958,0.333333
401,2,"I. Gjerde, M. Saetersdal, J. Rolstad, K. O. Storaunet, H. H. Blom, V. Gundersen and E. Heegaard",2005,ECOGRAPHY,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Forest,N,13,11.5,local,alpha,11,63.5,NA,index,6,-1.53876,1.870833,21.00009668,143.4635,-0.380343266,-0.40046091,0.333333
401,3,"I. Gjerde, M. Saetersdal, J. Rolstad, K. O. Storaunet, H. H. Blom, V. Gundersen and E. Heegaard",2005,ECOGRAPHY,Fungi,NA,ecto,passive,autotrophs,terrestrial,Forest,N,13,11.5,local,alpha,11,63.5,NA,index,6,-0.19072,0.537831,1.735573107,30.27629,-0.174582359,-0.176389217,0.333333
401,4,"I. Gjerde, M. Saetersdal, J. Rolstad, K. O. Storaunet, H. H. Blom, V. Gundersen and E. Heegaard",2005,ECOGRAPHY,Fungi,fungi,ecto,passive,detritivores,terrestrial,Forest,N,13,11.5,local,alpha,11,63.5,NA,index,6,-0.13938,0.23688,0.336672806,13.05175,-0.282241032,-0.290115409,0.333333
285,1,"F. L. Condamine, F. A. H. Sperling, N. Wahlberg, J. Y. Rasplus and G. J. Kergoat",2012,Ecology Letters,Animalia,arthropods,ecto,active,herbivores,terrestrial,Terrestrial general,N,150,-105,regional,gamma,70,35,203,S,7,-1.23571,0.206353,0.298070924,75.82143,-0.936820153,-1.711408723,0.25
285,2,"F. L. Condamine, F. A. H. Sperling, N. Wahlberg, J. Y. Rasplus and G. J. Kergoat",2012,Ecology Letters,Animalia,arthropods,ecto,active,herbivores,terrestrial,Terrestrial general,N,90,15,regional,gamma,70,35,203,S,7,-0.50714,0.259021,0.469643149,38.03571,-0.658763994,-0.790626843,0.25
285,3,"F. L. Condamine, F. A. H. Sperling, N. Wahlberg, J. Y. Rasplus and G. J. Kergoat",2012,Ecology Letters,Animalia,arthropods,ecto,active,herbivores,terrestrial,Terrestrial general,N,120,120,regional,gamma,70,35,203,S,7,-1.85357,0.312099,0.681840501,125.3036,-0.935865909,-1.703666972,0.25
285,4,"F. L. Condamine, F. A. H. Sperling, N. Wahlberg, J. Y. Rasplus and G. J. Kergoat",2012,Ecology Letters,Animalia,arthropods,ecto,active,herbivores,terrestrial,Terrestrial general,S,150,-105,regional,gamma,70,-35,203,S,7,-1.54643,0.269575,0.508694764,84.41071,-0.931719378,-1.671269876,0.25
285,5,"F. L. Condamine, F. A. H. Sperling, N. Wahlberg, J. Y. Rasplus and G. J. Kergoat",2012,Ecology Letters,Animalia,arthropods,ecto,active,herbivores,terrestrial,Terrestrial general,S,90,15,regional,gamma,70,-35,203,S,7,-1.08214,0.201873,0.285268957,58.16071,-0.922923074,-1.608398888,0.25
285,6,"F. L. Condamine, F. A. H. Sperling, N. Wahlberg, J. Y. Rasplus and G. J. Kergoat",2012,Ecology Letters,Animalia,arthropods,ecto,active,herbivores,terrestrial,Terrestrial general,S,120,120,regional,gamma,70,-35,203,S,7,-1.85357,0.312099,0.681840501,125.3036,-0.935865909,-1.703666972,0.25
990,1,"S. P. Mullen, W. K. Savage, N. Wahlberg and K. R. Willmott",2011,Proceedings of the Royal Society B,Animalia,arthropods,ecto,active,herbivores,terrestrial,Forest,N,59.83,-80.95,local,alpha,35,17,NA,S,7,-1.30299,0.284488,0.566533955,61.16625,-0.898623948,-1.465023888,0.25
990,2,"S. P. Mullen, W. K. Savage, N. Wahlberg and K. R. Willmott",2011,Proceedings of the Royal Society B,Animalia,arthropods,ecto,active,herbivores,terrestrial,Forest,S,45.75,-58.41,local,alpha,35,-17,NA,S,7,-2.14199,0.197031,0.271748505,67.17416,-0.979495278,-2.284970995,0.25
1143,1,R. W. Lichtwardt,2012,Biodiversity and Conservation,Fungi,fungi,ecto,passive,detritivores,NA,Multiple,both,300.8,-7.4,regional,gamma,44.31,-0.85,22,S,8,-0.19483,0.477808,1.826403879,12.98065,-0.164210231,-0.165710557,0.2
296,1,"F. Wittmann, J. SchÃ¶ngart, J. C. Montero, T. Motzer, W. J. Junk, M. T. F. Piedade, H. L. Queiroz and M. Worbes",2006,Journal of Biogeography,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Forest,S,25,-60.5,local,alpha,11.25,-6.13,39497,S,10,-0.5665695,2.913731,84.8982834,86.19082,-0.029990498,-0.029999495,0.02439024
296,2,"F. Wittmann, J. SchÃ¶ngart, J. C. Montero, T. Motzer, W. J. Junk, M. T. F. Piedade, H. L. Queiroz and M. Worbes",2006,Journal of Biogeography,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Forest,S,25,-60.5,local,alpha,11.25,-6.13,39497,index,10,-0.328957,1.054209,11.11356616,27.343139999999998,-0.048093347,-0.048130478,0.02439024
417,2,J. A. Crame,2002,Paleobiology,Animalia,other invertebrates,ecto,passive,suspension,marine,Benthic,S,360,0,regional,gamma,66,-37,NA,S,11,-4.07023,4.185469,192.6996582,528.4259,-0.308360179,-0.318732265,0.125
300,2,"G. Amori, F. Chiozza, C. Rondinini and L. Luiselli",2011,Biodiversity and Conservation,Animalia,mammals,homeo,active,omnivores,terrestrial,Terrestrial general,S,23.47,25.07,regional,gamma,28.73,-15.64,NA,S,14,-1.21785,0.672473,6.3310791,82.91402,-0.463299039,-0.501503856,0.090909
1010,1,"S. Wasof, J. Lenoir, E. Gallet-Moron, A. Jamoneau, J. Brunet, S. A. O. Cousins, P. De Frenne, M. Diekmann, M. Hermy, A. Kolb, J. Liira, K. Verheyen, M. Wulf and G. Decocq",2013,Global Ecology and Biogeography,Plantae,other plants,ecto,passive,autotrophs,terrestrial,Forest,N,23,15.1,local,alpha,9.6,54.61,26,S,14,-1.45222,0.453854,2.883768346,114.4727,-0.678521186,-0.826368397,0.090909
1020,1,T. D. O'Hara,2007,Global Ecology and Biogeography,Animalia,other invertebrates,ecto,active,detritivores,marine,Benthic,S,28,157,regional,gamma,38,-38,318,S,14,-1.18437,1.313613,24.15810759,92.48441,-0.251880924,-0.257420141,0.090909
