line,phase,date,day,month,treatment_name,wage,output,productivity,quality_rate,total_absenteeism,unplan_absenteeism,plan_absenteeism,tot_wk_hr,line_workers,style1,sam_style1,BaseWage,OvertimeWage,OldIncentive,OldTHP,TotalTardinessMin,WorkingHr,OTHr,DTMinPersons,DTMinMachine,DTMinMaterial,DTMinQuality,DTTotal,treat_qual,treat_prod,treat_fixed,after,t_prod,t_fixed,t_qual,treat,t_after,OT,lead_time
Control 2,Pre-Treatment,2015-01-05,mon,January,Control,533.75,634,156,99.05,25,25,0,8,16,448209,18.91,300,0,233.75,533.75,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Control 2,Pre-Treatment,2015-01-06,tue,January,Control,616.34,707,101,99.01,0,0,0,11,20,448209,18.91,300,168.75,147.59,616.34,2,8,3,9,3,0,0,12,0,0,0,0,0,0,0,0,0,1,2
Control 2,Pre-Treatment,2015-01-07,wed,January,Control,585.87,865,113,98.61,0,0,0,11,22,448209,18.91,300,168.75,117.12,585.87,2,8,3,19,24,0,25,68,0,0,0,0,0,0,0,0,0,1,3
Control 2,Pre-Treatment,2015-01-08,thu,January,Control,635.95,795,100,99.12,0,0,0,11,22,448209,18.91,300,168.75,167.2,635.95,1,8,3,5,0,0,25,30,0,0,0,0,0,0,0,0,0,1,4
Control 2,Pre-Treatment,2015-01-09,fri,January,Control,536.9,765,100,98.95,0,0,0,11,22,448209,18.91,300,168.75,68.15,536.9,1,8,3,77,0,0,15,92,0,0,0,0,0,0,0,0,0,1,5
Control 2,Pre-Treatment,2015-01-10,sat,January,Control,383.9,627,112,98.88,0,0,0,8,22,448209,18.91,300,0,83.9,383.9,3,8,0,38,35,0,10,83,0,0,0,0,0,0,0,0,0,0,6
Control 2,Pre-Treatment,2015-01-12,mon,January,Control,601.76,845,110,98.82,0,0,0,11,22,448209,18.91,300,168.75,133.01,601.76,0,8,3,17,31,0,25,73,0,0,0,0,0,0,0,0,0,1,7
Control 2,Pre-Treatment,2015-01-13,tue,January,Control,572.59,810,105,99.14,0,0,0,11,22,448209,18.91,300,168.75,103.84,572.59,2,8,3,59,0,0,10,69,0,0,0,0,0,0,0,0,0,1,8
Control 2,Pre-Treatment,2015-01-14,wed,January,Control,598.11,885,115,99.21,0,0,0,11,22,448209,18.91,300,168.75,129.36,598.11,1,8,3,0,33,0,25,58,0,0,0,0,0,0,0,0,0,1,9
Control 2,Pre-Treatment,2015-01-15,thu,January,Control,505.09,720,94,98.47,0,0,0,11,22,448209,18.91,300,168.75,36.34,505.09,0,8,3,5,0,0,20,25,0,0,0,0,0,0,0,0,0,1,10
Control 2,Pre-Treatment,2015-01-16,fri,January,Control,309.05,490,89,98.57,2.27,2.27,0,8,22,448209,18.91,300,0,9.05,309.05,0,8,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11
Control 2,Pre-Treatment,2015-01-17,sat,January,Control,381.65,595,112,99.16,4.55,0,4.55,8,21,448209,18.91,300,0,81.65,381.65,15,8,0,10,0,0,10,20,0,0,0,0,0,0,0,0,0,0,12
Control 2,Pre-Treatment,2015-01-19,mon,January,Control,376.52,587,110,98.64,0,0,0,8,21,448209,18.91,300,0,76.52,376.52,0,8,0,14,0,0,90,104,0,0,0,0,0,0,0,0,0,0,13
Control 2,Pre-Treatment,2015-01-20,tue,January,Control,576.68,850,111,99.18,0,0,0,11,22,448209,18.91,300,168.75,107.93,576.68,0,8,3,41,0,0,36,77,0,0,0,0,0,0,0,0,0,1,14
