Author,year,animal,Amniotes,Environment,Reproductive Unit,N,Zr
"Abell, A.J.",1999,Sceloporus_virgatus,Y,Wild,Single,21,1.098612289
"Abell, A.J.",1999,Sceloporus_virgatus,Y,Wild,Single,14,0.950479381
"Allen, R.M., Krug, P.J. & Marshall, D.J.",2009,Elysia_stylifera,N,Wild,Single,24,0.797702538
"Gunn, J.S. & Thresher, R.E.",1991,Heteroclinus_perspicillatus,N,Wild,Single,19,1.576159504
"Gunn, J.S. & Thresher, R.E.",1991,Heteroclinus_puellarum,N,Wild,Single,27,0.963874235
"Bernal, J.S., Gillogly, P.O. & Griset, J.",2001,Parallorhogas_pyralophagus,N,Captive,Single,38,1.384896882
"Blouin-Demers, G. & Weatherhead, P.J.",2007,Pantherophis_obsoletus,Y,Wild,Single,52,0.270024765
"Bonnet, X., Naulleau, G., Shine, R. & Lourdais, O.",2001,Vipera_aspis,Y,Wild,Single,146,0.171666664
"Bonnet, X., Shine, R., Lourdais, O. & Naulleau, G.",2003,Vipera_aspis,Y,Wild,Single,57,0.618381314
"Bonnet, X., Shine, R., Lourdais, O. & Naulleau, G.",2003,Vipera_aspis,Y,Wild,Single,173,0.213171347
"Dziminski, M.A. & Alford, R.A.",2005,Cyclorana_alboguttata,N,Wild,Single,21,-0.029008134
"Dziminski, M.A. & Alford, R.A.",2005,Cyclorana_brevipes,N,Wild,Single,8,1.022788817
"Dziminski, M.A. & Alford, R.A.",2005,Cyclorana_novaehollandiae,N,Wild,Single,8,-0.487210954
"Dziminski, M.A. & Alford, R.A.",2005,Limnodynastes_ornatus,N,Wild,Single,24,0.164467041
"Dziminski, M.A. & Alford, R.A.",2005,Litoria_caerulea,N,Wild,Single,15,0.751427825
"Dziminski, M.A. & Alford, R.A.",2005,Litoria_fallax,N,Wild,Single,28,0.628473201
"Dziminski, M.A. & Alford, R.A.",2005,Litoria_gracilenta,N,Wild,Single,9,0.290940262
"Dziminski, M.A. & Alford, R.A.",2005,Litoria_nasuta,N,Wild,Single,10,0.267181208
"Dziminski, M.A. & Alford, R.A.",2005,Litoria_rothii,N,Wild,Single,11,0.86144223
"Dziminski, M.A. & Alford, R.A.",2005,Litoria_rubella,N,Wild,Single,8,0.036015564
"Ford, N.B. & Seigel, R.A.",1989,Ovophis_okinavensis,Y,Captive,Single,23,0.445666079
"Ford, N.B. & Seigel, R.A.",1989,Pantherophis_guttatus,Y,Captive,Single,21,0.996492011
"Ford, N.B. & Seigel, R.A.",1989,Trimeresurus_flavoviridis,Y,Captive,Single,15,0.179866196
"Barbosa, M. & Magurran, A.E.",2010,Poecilia_reticulata,N,Captive,Single,140,0.550940517
"Campbell, M.T. & Slade, N.A.",1995,Sigmodon_hispidus,Y,Wild,Single,29,0.572768942
"Castro, L.R., Claramunt, G., Krautz, M.C., Llanos-Rivera, A. & Morena, P.",2009,Engraulis_ringens,N,Wild,Single,168,1.040265163
"Castro, L.R., Claramunt, G., Krautz, M.C., Llanos-Rivera, A. & Morena, P.",2009,Engraulis_ringens,N,Wild,Single,195,0.552359393
"Greene, B.D., Dixon, J.R., Whiting, M.J. & Mueller, J.M.",1999,Nerodia_harteri,Y,Wild,Single,268,0.793046642
"Dobson, F.S. & Michener, G.R.",1995,Urocitellus_richardsonii,Y,Wild,Single,38,0.213171347
"Dobson, F.S. & Michener, G.R.",1995,Urocitellus_richardsonii,Y,Wild,Single,51,0.234189467
"Dobson, F.S., Risch, T.S. & Murie, J.O.",1999,Urocitellus_columbianus,Y,Wild,Single,44,-0.266108407
"Dobson, F.S., Risch, T.S. & Murie, J.O.",1999,Urocitellus_columbianus,Y,Wild,Single,129,0.298566264
"Fox, C.W., Thakar, M.S. & Mousseau, T.A.",1997,Stator_limbatus,N,Captive,Life,46,0.503671887
"Fox, C.W., Thakar, M.S. & Mousseau, T.A.",1997,Stator_limbatus,N,Captive,Life,53,0.700996635
"Dunlap, K.D. & Lang, J.W.",1990,Thamnophis_sirtalis,Y,Wild,Single,35,0.376885901
"Fernandez-Llario, P., Carranza, J. & Mateos-Quesada, P.",1999,Sus_scrofa,Y,Wild,Single,46,0.316126175
"Ferreiro, R. & Galin, P.",2004,Anguis_fragilis,Y,Captive,Single,68,0.578812251
"Ford, N.B. & Seigel, R.A.",2006,Lamprophis_fuliginosus,Y,Captive,Single,14,0.296317904
"Genoud, M. & Perrin, N.",1994,Crocidura_russula,Y,Wild,Single,29,0.662462707
"Gignac, A. & Gregory, P.T.",2005,Thamnophis_ordinoides,Y,Wild,Single,22,0.407017098
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,41,0.51779966
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,45,0.594326311
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,40,0.502396767
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,35,0.105388448
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,40,0.597124127
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,44,0.44647846
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,36,0.386107852
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,45,0.334992946
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,43,0.877172517
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,38,0.798147774
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,38,0.439222781
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,44,0.61694875
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,37,0.432010329
"Glazier, D.S.",2000,Gammarus_minus,N,Wild,Single,44,0.293115727
"Green, B.S & Chambers, R.C.",2007,Microgadus_tomcod,N,Wild,Single,9,1.65839002
"Green, B.S & Chambers, R.C.",2007,Microgadus_tomcod,N,Wild,Single,14,0.810743125
"Gregerson, F, Haugen, T.O. & Larsen, À.N.",2006,Salmo_trutta,N,Wild,Single,149,1.045370548
"Kudo, S.",2001,Elasmucha_putoni,N,Wild,Single,28,1.025259251
"Kudo, S.",2001,Elasmucha_putoni,N,Captive,Single,28,0.877172517
"Kudo, S.",2001,Sastragala_scutellata,N,Wild,Single,28,0.803519915
"Ito, K.",1997,Haminoea_callidegenita,N,Wild,Single,19,0.135829211
"Ilano, A.S., Fujinaga, K. & Nakao, S.",2004,Buccinum_isaotakii,N,Wild,Single,15,1.57538427
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Gadus_morhua,N,Wild,Single,28,0.584236213
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Gadus_morhua,N,Wild,Single,16,0.936910121
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Gadus_morhua,N,Wild,Single,55,1.228550601
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Gadus_morhua,N,Wild,Single,41,1.611494105
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Gadus_morhua,N,Wild,Single,30,1.432348183
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Gadus_morhua,N,Wild,Single,35,0.682574476
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Gadus_morhua,N,Wild,Single,30,1.146896532
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Salvelinus_fontinalis,N,Wild,Single,50,0.462615482
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Salvelinus_fontinalis,N,Wild,Single,40,0.997428129
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Salvelinus_fontinalis,N,Wild,Single,48,1.183823764
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Salvelinus_fontinalis,N,Wild,Single,51,1.146215835
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Salvelinus_fontinalis,N,Wild,Single,56,1.167878406
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Salvelinus_fontinalis,N,Wild,Single,58,0.744061081
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Salvelinus_fontinalis,N,Wild,Single,66,0.474536656
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Salvelinus_fontinalis,N,Wild,Single,52,0.896755019
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Salvelinus_fontinalis,N,Wild,Single,50,0.72565179
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Salvelinus_fontinalis,N,Wild,Single,52,0.522166427
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Salvelinus_fontinalis,N,Wild,Single,24,1.887863939
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Salvelinus_fontinalis,N,Wild,Single,32,1.732654343
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Salvelinus_fontinalis,N,Wild,Single,31,1.899362954
"Koops, M.A., Hutchings, J.A. & McIntyre, T.M.",2004,Salvelinus_fontinalis,N,Wild,Single,25,1.394719159
"Macip-Rios, R., Robleda, P.B., Casas-Andreu, Arias-Cisneros, M.L & Sustauta-Rodrigues, V.H.",2012,Kinosternon_integrum,Y,Wild,Single,57,0.677666068
"Molumby, A.",1996,Trypoxylon_politum,N,Wild,Single,22,0.497311288
"Molumby, A.",1996,Trypoxylon_politum,N,Wild,Single,29,0.411800034
"Nasution, S., Roberts, D., Farnsworth, K., Parker, G.A. & Elwood, R.W.",2010,Buccinum_undatum,N,Captive,Single,39,1.177430887
"Parker, T.H.",2002,Gallus_gallus,Y,Captive,Single,66,0.100335348
"Hartmann, M.T., Marques, O.A.V. & Almeida-Santos, S.M.",2004,Bothrops_neuwiedi,Y,Wild,Single,13,1.03624762
"Heyer, C.J., Miller, T.J., Binkowski, F.P., Caldarone, E.M. & Rice, J.A.",2001,Perca_flavescens,N,Captive,Single,10,0.488468431
"Higashitani, T., Takatsu, T., Nakaya, M., Joh, M. & Takahashi, T.",2007,Pseudopleuronectes_yokohamae,N,Wild,Single,20,1.221173518
"Ji, X. & Du, W.G., Qu, Y.F. & Lin, L.H.",2009,Naja_atra,Y,Wild,Single,50,0.8955881
Kudo S,2006,Elasmucha_signoreti,N,Wild,Single,24,0.33610983
"Lardies, M.A., Carter, M.J, Bozinovic, F",2004,Porcellio_laevis,N,Wild,Single,80,1.100192007
"Madsen, T. & Shine, R.",1996,Liasis_fuscus,Y,Wild,Single,55,0.950479381
"Madsen, T. & Shine, R.",1996,Liasis_fuscus,Y,Wild,Single,55,0.847955755
"Marsh-Matthews, E., Brooks, M., Deaton, R. & Tan, H.",2005,Gambusia_affinis,N,Wild,Single,23,0.81223326
"Marsh-Matthews, E., Brooks, M., Deaton, R. & Tan, H.",2005,Gambusia_geiseri,N,Wild,Single,26,0.475118739
"Outeda-Jorge, S., Mello, T. & Pinto-da-Rocha, R.",2009,Tityus_sp,N,Wild,Single,35,0.398866749
"Outeda-Jorge, S., Mello, T. & Pinto-da-Rocha, R.",2009,Tityus_sp,N,Wild,Single,10,0.32745015
"Outeda-Jorge, S., Mello, T. & Pinto-da-Rocha, R.",2009,Tityus_sp,N,Wild,Single,9,1.105584704
"Radder, R.S. & Shanbhag, B.A.",2004,Calotes_versicolor,Y,Wild,Single,25,0.887183863
"Rowe, J.W.",1994,Chrysemys_picta,Y,Wild,Single,88,0.510070337
