Author,Date,animal,Amniotes,Environment,N,Zr
"Castilla, A. M., Barbadillo, L. J. & Bauwens, D.",1992,Acanthodactylus_erythrurus,Y,Captive,14,0.0640875967119989
"Simpson, M. R.",1993,Alopecosa_hirtipes,N,Wild,40,0.0141430785459258
"Simpson, M. R.",1993,Alopecosa_hirtipes,N,Wild,55,-0.0795154687986372
"Herreras, M. V., Montero, F. E., Marcogliese, D. J., Raga, J. A. & Balbuena, J. A.",2007,Anisakis_simplex,N,Wild,50,-0.242652948778948
"Iverson, J. B. & Moler, P. E.",1997,Apalone_ferox,Y,Wild,41,-0.181982688600706
"Shibata, F. & Kawamichi, T.",2009,Apodemus_argenteus,Y,Wild,177,0.00299999550001823
"Bauerfeind, S. S. & Fischer, K.",2008,Araschnia_levana,N,Captive,142,-0.202732554054082
"Thorbjarnarson, J. B.",1994,Caiman_crocodilus,Y,Wild,25,-0.120581028408444
"Brown, C. A.",2003,Centruroides_exilicauda,N,Captive,18,0.0200026673068496
"Brown, C. A.",2003,Centruroides_exilicauda,N,Captive,15,-0.0500417292784913
"Brown, C. A.",2003,Centruroides_vittatus,N,Captive,13,-0.792813631870191
"Brown, C. A.",2003,Centruroides_vittatus,N,Captive,23,-0.0200026673068496
"Brown, C. A.",2003,Centruroides_vittatus,N,Captive,23,-0.0100003333533348
"Brown, C. A.",2003,Centruroides_vittatus,N,Captive,45,0.0500417292784913
"Brown, C. A.",2003,Centruroides_vittatus,N,Captive,12,-0.0200026673068496
"Brown, C. A.",2003,Centruroides_vittatus,N,Captive,17,-0.497311287572031
"Brown, C. A.",2003,Centruroides_vittatus,N,Captive,19,-0.255412811882995
"Brown, C. A.",2003,Centruroides_vittatus,N,Captive,51,-0.00400002133353813
"Brown, C. A.",2003,Centruroides_vittatus,N,Captive,32,-0.0200026673068496
"Brown, C. A.",2003,Centruroides_vittatus,N,Captive,41,-0.320545409301946
"Brown, C. A.",2003,Centruroides_vittatus,N,Captive,44,-0.0100003333533348
"Brown, C. A.",2003,Centruroides_vittatus,N,Captive,28,-0.331647108705132
"Rowe, J.W.",1994,Chrysemys_picta,Y,Wild,82,-0.309519604203112
"Rowe, J.W.",1994,Chrysemys_picta,Y,Wild,66,-0.365443754271396
"Rowe, J.W.",1994,Chrysemys_picta,Y,Wild,34,0.161386696131526
"Rowe, J.W.",1994,Chrysemys_picta,Y,Wild,35,-0.120581028408444
"Rowe, J.W., Coval, K.A. & Campbell, K.C.",2003,Chrysemys_picta,Y,Wild,144,-0.0500417292784913
"Rollison, N., Brooks, R.J.",2008,Chrysemys_picta,Y,Wild,130,-0.517051857014323
"Rollinson, N. & Brooks, R.",2008,Chrysemys_picta,Y,Wild,168,-0.357345415661247
"Brooks, R. J., Shilton, C. M., Brown, G. P. & Quinn, N. W. S.",1992,Clemmys_insculpta,Y,Wild,21,0.365443754271396
