individual identity,collective identity,social cohesion,sense of place,connection to place/human-nature connection,community,responsibility,culture,health,stewardship,care,knowledge,livelihood,familial,recreational,religious/spiritual,aesthetics,others
"I have strong feelings about  nature (including all plants, animals, the land, etc.), and these views are part of who I am and how I live my life",common identity,social cohesion,cultural identity/sense of place,attachment to place,applying knowledge of community,"How I manage the land, both for plants and animals and for future people, reflects my sense of responsibility to and so stewardship of the land;",cultural diversity,ensuring wellbeing and health for future generations,How we manage the land -- both for plants and animals and for future people -- reflects my sense of responsibility to the land and stewardship of it,care,application of parcel specific knowledge,guiding principles and procedures that dictate conduct and experimental learning about crop management,birth place,recreation,spiritual,aesthetic,achievement and skills
identity,cultural identity,connection to people,sense of place,connection to place,community,living in balance with nature is a social responsibility to others and a moral responsibility to nature,cultural heritage,health,stewardship,care for environment as steward,applying knowledge of community,application of parcel specific knowledge,chain of generations,recreation and leisure,spiritual and religious value,aesthetic appreciation,actions that are essential to living a good life
important to who we are as a community and me as a person,cultural identity/sense of place,belonging,sense of place and sense of hope,long-standing connection to area,community agency over landscape,moral responsibility to non-humans,cultural significance,health and psychological well-being,stewardship and care of farmland,care for future generations,applying traditional knowledge,stewardship and care of farmland,continuity of farming for family & kids,recreation and picnicking,spiritual connection,aesthetic experience,altruism
individual identity,local identity,contributions of nature to cultural identity and social cohesion,home,place attachment,community identity,responsibilities to mitigate human impact of livestock and upward movement of agriculture into the paramo,heritage and cultural value,healthy country,stewardship eudaimonic,care for future of river,cognitive enhancement,commitments and responsibilites to grow coffee trees under organic certification schemes,ensuring adaptive capacity and a good quality of life for future generations,recreation and relaxation,spiritual experience,aesthetic value of unique biodiversity and vistas,balance
"My identity primarily revolves around other people and the things we produce, rather than the natural world","My identity primarily revolves around other people and the things we produce, rather than the natural world",potential for social and community cohesion,NA,relationship between people and the sea,important to who we are as a community and me as a person,responsibility,historical and cultural values,healthy food resources,stewardship eudaimonic values,caring for others,ecological literacy,disorderly aspect of the plot,family ties and future generations,"recreation, leisure, nature-based tourism",spiritual realm,aesthetics,benefits and tasks
place identity,place identity,sense of belonging,NA,connection to nature and wildlife,land for community,"responsibility to land, water, and animals",law and cultural rules,Keeping Singapore's nature healthy is the right thing to do,stewardship of the land,caring for this green space is fullfiling and allows me to lead a good life,education and cognitive development,active land management,family tradition,relaxing,spiritual services,aesthetics and amenity,border protection
place-based identity,place-based identity,social bonds,NA,home,social community,responsibility to nature and society,contribution of nature to Inuit culture and well-being,mental and physical health,stewardship principle,caring for this green space shows my care for other people (present and future),education and knowledge transfer,farming heritage,farming heritage,nature-based tourism,spiritual value,landscape appearance,boredom
Singapore's nature is important to me and who I am as a person,contributions of nature to cultural identity and social cohesion,NA,NA,humans as part of nature,strong sense of community,social responsibility,contributions of nature to cultural identity and social cohesion,"my health, the health of my family, and the health of others who I care about is dependent on the natural environment",landscape stewardship,caring for wildlife,education and science,farming occupation,keeping the farm in the family,leisure and recreation and tourism,spiritual values,silence/quietness,concern
aesthetic enjoyment through (landscape) contribution to personal identity,important to who we are as a community and me as a person,NA,NA,harmony with nature,"There are landscapes that say something about who we are as a community, a people",value of IK in one’s moral responsibility for nature,inspiration for culture and art and design,"physical, mental, and emotional health",custodianship,My care for Singapore's nature fulfills me and helps me to lead a good life,guiding principles and procedures that dictate conduct and experimental learning about crop management,harvesting coffee makes a good life and upholds traditions,place to be with family/friends,access route and accessibility of the reserves,spirituality,aesthetic enjoyment through (landscape) contribution to personal identity,concern for nature
NA,NA,NA,NA,engagement and interaction with nature,cooperation and community aid,commitments and responsibilites to grow coffee trees under organic certification schemes,kinship,"physical, mental, holistic health",environmental stewardship,NA,information for cognitive development,interdependency of nature and farming,intergenerational equity,accessibility,spirituality and religions,NA,contributions of nature to a good life
NA,NA,NA,NA,emotional connection to animals,potential for social and community cohesion,moral duties to other organisms and ecosystems,intangible values transmitted by language,wetland ecosystem health,NA,NA,intergenerational transfer of knowledge systems,keeping the farm in the family,kinship,barbeque,sacred geographies,NA,cooperation
NA,NA,NA,NA,connectedness,social bonds,moral duty and concern for nature,language,therapeutic value,NA,NA,knowledge,meaningful occupation,"Plants and animals, as part of the interdependent web of life are like kin or family to me, so how we treat them matters",observing nature,sacredness,NA,country nourishes country
NA,NA,NA,NA,connection,NA,collective moral and social responsibility to conserve and protect nature,spoken language,stress relief,NA,NA,knowledge custodianship,monetary benefits/economic development,NA,physical and experiential interactions,sacredness and devotion to land,NA,creating taskscapes
NA,NA,NA,NA,connection to nature and wildlife,NA,How we manage the land -- both for plants and animals and for future people -- reflects my sense of responsibility to the land and stewardship of it,story telling,NA,NA,NA,knowledge fragmentation,ownership,NA,NA,sacredness/religious value,NA,diversity
NA,NA,NA,NA,kinship,NA,Humans have a responsibility to account for our own impacts to the environment because they can harm other people,NA,NA,NA,NA,learning and sharing,past and present occupation,NA,NA,religious value,NA,doing
NA,NA,NA,NA,living in a biodiverse landscape,NA,law and cultural rules,NA,NA,NA,NA,traditional ecological knowledge,neat and tidy aesthetic,NA,NA,religious value - ceremonial connectedness,NA,ecological resilience
NA,NA,NA,NA,living with birds,NA,living in balance with nature is a social responsibility to others and a moral responsibility to nature,NA,NA,NA,NA,value of IK in one’s moral responsibility for nature,pleasure derived from cultivation,NA,NA,nature as deity (superior),NA,emotional attachment
NA,NA,NA,NA,NA,NA,responsibility to nature and society,NA,NA,NA,NA,contemporary knowledge of threats,practicing livelihoods,NA,NA,creating spirituality,NA,empowerment
NA,NA,NA,NA,NA,NA,social responsibility,NA,NA,NA,NA,intangible values transmitted by language,reliable source of bush foods,NA,NA,ceremony,NA,eudaimonia
NA,NA,NA,NA,NA,NA,role and responsibility of humans in sustaining ecosystems and regulating nature,NA,NA,NA,NA,language,"subsistence, livelihoods",NA,NA,ceremony to ask Pachamama to help with capture of her creatures,NA,fear of percieved problematic places and dense (unkempt) vegetation
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spoken language,traditional hunting methods,NA,NA,ritual,NA,freedom and agency
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,story telling,traditional intergenerational agricultural practices,NA,NA,NA,NA,general well-being
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,way of life,NA,NA,NA,NA,good life
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ways of life,NA,NA,NA,NA,history of the land
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,work-life balance,NA,NA,NA,NA,individual fulfilment
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,customary economy,NA,NA,NA,NA,informal discussions
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,everyday life,NA,NA,NA,NA,inspiration
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,livelihood,NA,NA,NA,NA,leaving a legacy
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-material benefits related to way of life in Caatinga,NA,NA,NA,NA,life essence of environment
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rural lifestyle,NA,NA,NA,NA,life essence of people
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,long-termism
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,love
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,memories
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,memory/transformative value
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,motivational values
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My concern with protecting a wild place/animal is proportional to the chance that I will get to see and experience that place/animal in my lifetime
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nature
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nature as equal to humans
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other sustenance
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peace
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,personal relevance
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,personal satisfaction
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,place
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protocols
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,provides opportunity to connect with people
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reciprocity
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reciprocity and solidarity
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,relatedness
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,resource distribution
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,respect and care for the land
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,respect for nature
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,respecting
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,right
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,righteousness
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,self-determination
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,self-sustenance
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sense of agency
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sense of wellbeing
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sensing wildlife and nature
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,settlement
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,share
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sharing power
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,social memory
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,socialize
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,solidarity
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,songlines
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spatial structure by kinship communities
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subjective intrinsic
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,symbolic value
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vicunas as sentient beings
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,well being
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wild
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,worldview
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,worth of fame and prestige
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"contribution to a greater, shared effort"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,environmental justice
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,landscape walks and interviews
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,my own
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reciprocal kinship
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,river
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,social relations
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wilderness
