Species,PaperID,Experimental treatment,Type of manipulation,Sex,Control,...7,Treatment,...9,OR,log(OR),SE log(OR),95% CI log(OR),Source
NA,NA,NA,NA,NA,Dead,Alive,Dead,Alive,NA,NA,NA,NA,NA
Aegolius funereus,Paper027,Enlarged,Brood size,Male,18,7,15,5,0.857,-0.154,0.682,-1.490 to 1.182,"Korpim_ki, E. 1988. Costs of reproduction and success of manipulated broods under varying food conditions in Tengmalm's owl. J. Anim. Ecol. 57: 1027_1039."
Aegolius funereus,Paper027,Reduced,Brood size,Male,18,7,16,4,0.643,-0.442,0.715,-1.842 to 0.959,NA
Catharacta skua,Paper023,Enlarged,Egg removal,Female,8,146,2,44,1.205,0.187,0.809,-1.398 to 1.772,"Kalmbach, E., Griffiths, R., Crane, J.E. & Furness, R.W. 2004. Effects of experimentally increased egg production on female body condition and laying dates in the great skua Stercorarius skua. J. Avian Biol. 35: 501_514."
Catharacta skua,Paper023,Enlarged,Egg removal,Female,31,123,7,35,1.26,0.231,0.46,-0.670 to 1.133,NA
Colaptes auratus,Paper050,Enlarged,Mate removal,Female,4,3,7,0,0.095,-2.351,1.651,-5.587 to 0.884,"Wiebe, K.L. 2005. Asymmetric costs favor female desertion in the facultatively polyandrous northern flicker (Colaptes auratus): a removal experiment. Behav. Ecol. Sociobiol. 57: 429_437."
Colaptes auratus,Paper050,Enlarged,Mate removal,Male,6,10,10,6,0.36,-1.022,0.73,-2.453 to 0.409,NA
Cyanistes caeruleus,Paper038,Reduced,Brood size,Female,16,11,51,30,0.856,-0.156,0.454,-1.046 to 0.734,"Pettifor, R.A. 1993. Brood-manipulation experiments. II. A cost of reproduction in blue tits (Parus caeruleus)? J. Anim. Ecol. 62: 145_159."
Cyanistes caeruleus,Paper038,Enlarged,Brood size,Female,16,11,10,2,0.291,-1.235,0.868,-2.936 to 0.466,NA
Cyanistes caeruleus,Paper038,Reduced,Brood size,Female,21,11,66,28,0.81,-0.211,0.435,-1.063 to 0.642,NA
Cyanistes caeruleus,Paper038,Enlarged,Brood size,Female,21,11,18,8,0.848,-0.164,0.565,-1.271 to 0.942,NA
Cyanistes caeruleus,Paper038,Reduced,Brood size,Female,43,4,122,18,1.586,0.461,0.581,-0.676 to 1.599,NA
Cyanistes caeruleus,Paper038,Enlarged,Brood size,Female,43,4,17,6,3.794,1.333,0.706,-0.050 to 2.717,NA
Cyanistes caeruleus,Paper032,Reduced,Brood size,Female,16,5,13,9,2.215,0.795,0.671,-0.520 to 2.111,"Nur, N. 1984. The consequences of brood size for breeding blue tits I. Adult survival, weight change and the cost of reproduction. J. Anim. Ecol. 53: 479_496."
Cyanistes caeruleus,Paper032,Reduced,Brood size,Female,16,5,15,5,1.067,0.065,0.727,-1.361 to 1.490,NA
Cyanistes caeruleus,Paper032,Enlarged,Brood size,Female,16,5,17,4,0.753,-0.284,0.756,-1.765 to 1.197,NA
Cyanistes caeruleus,Paper032,Enlarged,Brood size,Female,16,5,17,4,0.753,-0.284,0.756,-1.765 to 1.197,NA
Cyanistes caeruleus,Paper032,Reduced,Brood size,Female,10,2,11,1,0.455,-0.788,1.3,-3.337 to 1.760,NA
Cyanistes caeruleus,Paper032,Reduced,Brood size,Female,10,2,9,3,1.667,0.511,1.022,-1.492 to 2.513,NA
Cyanistes caeruleus,Paper032,Enlarged,Brood size,Female,10,2,9,3,1.667,0.511,1.022,-1.492 to 2.513,NA
Cyanistes caeruleus,Paper032,Enlarged,Brood size,Female,10,2,9,2,1.111,0.105,1.101,-2.051 to 2.262,NA
Cyanistes caeruleus,Paper032,Reduced,Brood size,Female,9,1,7,3,3.857,1.35,1.26,-1.119 to 3.819,NA
Cyanistes caeruleus,Paper032,Reduced,Brood size,Female,9,1,8,2,2.25,0.811,1.318,-1.771 to 3.393,NA
Cyanistes caeruleus,Paper032,Enlarged,Brood size,Female,9,1,9,1,1,0,1.491,-2.921 to 2.921,NA
Cyanistes caeruleus,Paper032,Enlarged,Brood size,Female,9,1,11,0,0.409,-0.894,1.789,-4.401 to 2.613,NA
Cyanistes caeruleus,Paper038,Reduced,Brood size,Male,9,3,44,12,0.818,-0.201,0.742,-1.654 to 1.253,"Pettifor, R.A. 1993. Brood-manipulation experiments. II. A cost of reproduction in blue tits (Parus caeruleus)? J. Anim. Ecol. 62: 145_159."
