Covidence #,Study ID,Title...3,Reviewer Name,Title...5,Notes,Aim of study,Study design,Challenge domains,Notes about challenges,Opportunity Domains,Notes about opportunities
1146,Brennan 2021,Reflections on Methodological Tensions in Doing Qualitative Research at the Science-Policy-Community Interface,Ryan OConnor,Reflections on Methodological Tensions in Doing Qualitative Research at the Science-Policy-Community Interface,NA,Sharing personal perspectives on the tensions experience by community-engaged oceans researchers,Perspective,Community; Research/Science,"Tension between process-based research (often preferred by researchers) and outcomes-based research (often preferred by participants and policy makers)
Tension between engaged research and advocacy and the challenge of where to situate ocean social science
Tension between applied research and critical theoretical research",Invest in funding and resources for the field; Build communities of practice/networks,"""What is perhaps missing from this debate is greater attention to the requisite capacity building and career support that is needed to underpin a trajectory of engaged scholarship, to build up a cohort of skilled, engaged researchers that can operate at this interface"""
1144,Chiswell 2021,"Safety, Ethics and Trust: Reflecting on Methodological Challenges in Fisheries Research",Ryan OConnor,"Safety, Ethics and Trust: Reflecting on Methodological Challenges in Fisheries Research",NA,Review and discuss methodological challenges inherent in fisheries social science,Review,Research/Science,"The field of ocean social science presents unique methodological challenges due to factors like remoteness of field sites, mistrusts of fishers towards policymakers and academics, and dangers inherent to fishing",Invest in funding and resources for the field,"The authors share a variety of personal tips and tricks to overcome these methodological challenges, but offer few suggestions for the field as a whole. The only real field-level suggestion given is to ""encourage project managers/principal investigators to build in these extra costs [to support safer methodological practices] during the research proposals to normalize these important practices."""
140,McKinley 2022,A blue economy for whom?: Linking marine social sciences with blue economy discourse,Ryan OConnor,A Blue Economy for who? Linking marine social sciences with blue economy discourse.,NA,"""Through this chapter, we will explore how the concept and definitions of the blue economy have evolved in recent years, introducing initial thoughts as to how marine social sciences can contribute to this dialogue as we look to the future""",Perspective,Community; Research/Science,"""we have to first work collaboratively to address the misunderstandings and lack of awareness of the value and impact of marine social sciences...Marine social sciences need to be meaningfully integrated into the wider Blue Economy dialogue.""
""Of course, it should be noted that although generally accepted by those within ocean governance and management as useful terms, the discourse around these terms and concepts themselves is in a state of flux""
""currently, there is limited evidence of any ocean governance processes or approaches, at any scale, which easily facilitate the inclusion of marine social sciences evidence and data""",Invest in funding and resources for the field; Build communities of practice/networks; Cultural shift towards inter-/transdiciplinarity,"""Skills gaps, capacity building and understanding the role of social capital in delivering a sustainable blue economy for the future""
""If we take the ocean literacy dimension of Knowledge, for example, this could be about ensuring younger members of the community are aware of marine career prospects and have access to the knowledge, skills and capacity development opportunities to facilitate their engagement with the blue economy, in this way.""
""Finally, there is an opportunity to look to existing networks and communities of research and practice (e.g. the Marine Social Science Network, the MARE consortium, the UK’s CPN and more) to support development of best practice, effective collaboration and meaningful engagement with communities and stakeholders on issues relating to the blue economy.""
""Interdisciplinary collaborations across science-policy-practice, bringing in the wider ocean science research community, industry and decision makers will be integral to achieving sustainable use of the ocean now and in the future."""
136,Ounanian 2021,Discerning expertise in researching people and the sea,Ryan OConnor,Discerning Expertise in Researching People and the Sea,NA,"The work is meant to ""reflect on future directions for a field which, in itself, can be difficult to encapsulate""",Perspective,Institutional,"""but there is often a lack of acknowledgement of the time and resources needed for this work, and how it can place researchers in a sticky middle ground at risk of having their work and role(s) misunderstood by all parties""",Build communities of practice/networks,"""Paying attention to this growing field, it becomes important to consider who will be participating in and progressing the field in the future?"""
132,Ounanian 2021,Naked methodology: Baring it all for a realistic account of marine social science,Ryan OConnor,Naked Methodology: Baring It All for a Realistic Account of Marine Social Science,NA,NA,Perspective,Community; Research/Science,"""The pressure to prove oneself as methodologically bilingual especially confronts marine social scientists, or even environmental social scientists more broadly, because of the dominance of inquiry on  the natural and physical dynamics of the environment and their ecology""",Cultural shift towards inter-/transdiciplinarity,"""Increased transparency in the way the research was carried out, without glossing over the points of crisis or course corrections, will be meaningful to those working within, alongside, and outside the discipline."""
109,Bennett 2022,Social science for conservation in working landscapes and seascapes,Ryan OConnor,Social science for conservation in working landscapes and seascapes,NA,"""This exploratory study identifies 38 topics and linked questions related to how insights from place-based and problem-focused social science might inform the planning, doing, and learning phases of conservation decision-making and adaptive management. Results also show how conservation social science might yield synthetic and theoretical insights that are more broadly applicable""",Case study,Institutional; Research/Science,"""Social science contributions are often undervalued and underrepresented in landscape and seascape approaches""
""current conservation social science efforts were often limited in scope and overly mandate driven, rather than being broad, creative and curiosity driven. This, they felt, limited the true potential of conservation social science to produce novel or synthetic insights""",Develop new methodologies/Challenge existing theories; Invest in funding and resources for the field,"Very strong focus on measuring social outcomes of conservation -- ""Conservation social sciences can contribute to conservation through improving understanding of the local social context where conservation is taking place and shaping conservation approaches, plans, and management...also demonstrated how social sciences can contribute to conservation through helping to understand, evaluate, and improve conservation policies, processes, and activities....the need to understand the social outcomes of conservation actions and decisions, through research on the economic values of different ecosystem goods and services or the impacts of conservation actions on human well-being or socio-economic indicators""
""recommend that conservation agencies and organizations working on conservation in working landscapes and seascapes build their internal capacity to conduct social science - through hiring trained and experienced social scientists"""
108,Jefferson 2021,Public Perceptions of the Ocean: Lessons for Marine Conservation From a Global Research Review,Ryan OConnor,Public Perceptions of the Ocean: Lessons for Marine Conservation From a Global Research Review,NA,"""This review of 349 peer reviewed studies explores the current state of research into public perceptions of the ocean""",Review,Community; Research/Science,"""Ocean perceptions research is currently fragmented and conducted across multiple disciplines and in a range of geographical and societal contexts""
""Current ocean perceptions research does not fully reflect the full range of methods and approaches available, with the majority of studies included in this review found to depend on the traditional social science methods of questionnaires and interview...the ocean perceptions research community is currently not being adventurous or brave with the methods and analyses it uses""",Develop new methodologies/Challenge existing theories; Invest in funding and resources for the field; Build communities of practice/networks; Cultural shift towards inter-/transdiciplinarity,"The field ""needs to deliver more rigorous social science moving beyond the familiar methods and embracing the opportunities of a more diverse suite of social science methods.""
""Incorporate social science content and specialist staff into undergraduate and postgraduate conservation training""
""To make a more impactful contribution to marine conservation outcomes, ocean perceptions research needs to be collated into a coherent body of literature. This will provide focus for those working in this field and establish a knowledge base for enhanced practice, to push forward the development of new ideas and insights, and to develop new methods and approaches""
Recommend that the field ""Undertake a strategic transdisciplinary assessment to identify marine conservation priorities to which ocean perceptions research can leverage maximum impact....[and].....inspire and enhance transdisciplinarity through the involvement of research, policy and practitioner actors in the development, delivery and application of ocean perceptions research"""
107,Bennett 2021,Socio-economic monitoring and evaluation in fisheries,Ryan OConnor,Socio-economic monitoring and evaluation in fisheries,NA,Develop ideas around the creation of context-specific socio-economic monitoring approaches in response to the challenge of ineffective one-size-fits-all attempts,Perspective,Research/Science,"""There is no such thing as a one-size-fits-all framework or approach for socio-economic assessments of fisheries since the purpose, scope and scale of the project, and the objectives of management interventions and programs will vary substantially by implementing  partner, organization and context",Develop new methodologies/Challenge existing theories,"""Governments, non-governmental organizations, and funders will benefit from developing  their own approach to and framework for socio-economic assessments  that is modified to fit their own purpose, program objectives, and the scale and specific context(s) of the fisheries that they are working in."""
101,Popova 2023,Socio-oceanography: an opportunity to integrate marine social and natural sciences,Ryan OConnor,Socio-oceanography: an opportunity to integrate marine social and natural sciences,NA,"""we propose a series of steps to promote integrated marine research inclusive of strong social science""",Perspective,Community; Institutional; Research/Science,"""the social disciplines remain largely insufficiently and ineffectively integrated into marine research...a key challenge for natural scientists is to recognise and communicate this in an  accessible manner outside their own disciplines... one of the key challenges to overcome is the need for natural marine scientists to embrace an inter- and transdisciplinary nature of marine research, one that is inclusive of social sciences, and their critical significance to the societal challenges and their solutions""
""challenges of career progression for scientists engaging into interdisciplinary research""
"" funding models still largely favour single discipline funding""
""Historically, a significant barrier to the development of socio-oceanography has been the prioritising of “Blue Sky” or fundamental research over applied or practical research, although this may differ between the countries and funding bodies""",Develop new methodologies/Challenge existing theories; Invest in funding and resources for the field; Build communities of practice/networks; Cultural shift towards inter-/transdiciplinarity,"The paper presents several topic areas that provide opportunities for the field to expand methodologically and thematically
""researchers should influence funding agencies to create programmes where socio-oceanography can be a clearly-funded objective rather than a “lip-service” add-on to proposals.""
""The need to develop new tools and concepts to support communication and collaboration between academic and non-academic actors""
""There is a growing realisation that we need to look beyond growing the capacity of individual scientists engaging with an interdisciplinary research, and instead towards developing institutional capacity to conduct interdisciplinary projects"""
100,McRuer 2024,Ocean literacy research community: co-identifying gaps and priorities to advance the UN Ocean Decade,Ryan OConnor,Ocean literacy research community: co-identifying gaps and priorities to advance the UN Ocean Decade,NA,"""Through this process, four initial OLR priorities were identified, including measuring ocean literacy, the role of ocean literacy as a policy mechanism, and alignment of OLR with climate change and the blue economy agendas. Finally, a working definition of OLR was developed to further guide OLR priorities for the UN Ocean Decade and beyond""",Perspective,Community; Research/Science,"""We must collectively address ways for our iterative and co-designed research processes to be self-sustained and mobilized by a global community in action. This presents both a barrier and importantly, an opportunity.""
""critical social science research that explores how people live in relation to the ocean (e.g., epistemologies of knowledges, ecologies of knowledges, Indigenous knowledge) has not always been included in what constitutes ocean literacy....To date, OLR has rarely evaluated or created effective tools for achieving this""",Develop new methodologies/Challenge existing theories; Invest in funding and resources for the field; Build communities of practice/networks,"""There is a need for future OLR to consider the impacts of future climate change and how this might impact societal relationships with the ocean, and in turn, levels of ocean literacy in different communities. Crucially in the context of climate change, ongoing OLR needs to include aspects of resilience and adaptive capacity""
""an enabling condition for operationalizing OLR is having a dedicated coordinator to facilitate collective directions. A coordinator to take the lead through a paid position, dedicating effort toward continued and sustained OLR community collaboration, communication, engagement, education, and deliverables""
""We must collectively address ways for our iterative and co-designed research processes to be self-sustained and mobilized by a global community in action. This presents both a barrier and importantly, an opportunity."""
