Study,Authors,Year (online),Year (print),Title,Journal,Pub year IF,2017 IF,Species,Climate (FishBase),Env cue/stimulus?,Cue/stimulus type,Behavioural metric,Life stage,|lnRR|,Raw RR,OA as Percent of Control,...18
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,Amphiprion percula,Trop,Yes,Habitat,% time in Xanthostemon cue,Larvae,0.2571,1.2932,77.329,NA
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,Amphiprion percula,Trop,Yes,Habitat,% time in Melaleuca cue,Larvae,4.6702,106.7191,0.937,NA
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,Amphiprion percula,Trop,Yes,Habitat,% time in Grass cue,Larvae,0.4318,1.54,64.934,NA
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,Amphiprion percula,Trop,Yes,Habitat,% time in anemone cue,Larvae,0.1131,1.1197,89.306,NA
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,Amphiprion percula,Trop,Yes,Kin,% time in Parent vs Seawater cue,Larvae,4.6955,109.4535,0.914,NA
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,Amphiprion percula,Trop,Yes,Kin,% time in Non-parent vs Seawater cue,Larvae,0.0939,1.0984,91.037,NA
a1,Munday et al,2009,2009,Ocean acidification impairs olfactory discrimination and homing ability of marine fish.,PNAS,9.432,9.504,Amphiprion percula,Trop,Yes,Kin,% time in Non-parent vs Parent cue,Larvae,0.6633,1.9412,51.515,NA
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, newly hatched, untreat vs.  pred 1",Larvae,0.1951,1.2154,82.275,NA
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, newly hatched, untreat vs. pred 2",Larvae,0.0502,1.0515,95.104,NA
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,Amphiprion percula,Trop,Yes,Predator,"% time in non-predator cue, newly hatched, untreat vs.  Non-pred 1",Larvae,0.0323,1.0328,96.822,NA
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,Amphiprion percula,Trop,Yes,Predator,"% time in non-predator cue, newly hatched, untreat vs.  Non-pred 2",Larvae,2.0848,8.043,12.433,NA
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, newly hatched, pred 1 vs. non-pred 1",Larvae,0,1,100,NA
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, newly hatched, non-pred 2 vs. pred 2",Larvae,0.1627,1.1767,84.985,NA
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, untreat vs.  pred 1",Larvae,13.8155,999989.4421,0,NA
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, untreat vs. pred 2",Larvae,13.8155,999989.4421,0,NA
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,Amphiprion percula,Trop,Yes,Predator,"% time in non-predator cue, settlement stg, untreat vs. non-pred 1",Larvae,0.6878,1.9893,50.268,NA
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,Amphiprion percula,Trop,Yes,Predator,"% time in non-predator cue, settlement stg, untreat vs. non-pred 2",Larvae,0.6771,1.9682,50.809,NA
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, pred 1 vs. non-pred 1",Larvae,13.1064,492081.681,0,NA
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, non-pred 2 vs. pred 2",Larvae,13.1064,492081.681,0,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 1 dph, 550ppm (Fig 1)",Larvae,0.1867,1.2053,82.969,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 1 dph, 700ppm (Fig 1)",Larvae,0.1752,1.1915,83.929,NA
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 1 dph, 850ppm (Fig 1)",Larvae,0.4403,1.5532,64.384,NA
