species_latin,family,country,province,site_name,habitat,soil_type,plant_part,unit,trait,trait_value,references
Acacia auriculiformis,Fabaceae,Brunei,Brunei-Muara district,Rimba Tungku Berakas,kerapah heath forest,peat,leaf,mg.g-1,nitrogen,23.66,Yusoff.2015
Acacia auriculiformis,Fabaceae,Brunei,Brunei-Muara district,Rimba Tungku Berakas,kerapah heath forest,peat,leaf,mg.g-1,phosphorus,0.8,Yusoff.2015
Acacia auriculiformis,Fabaceae,Australia,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.68,DRYAD
Acacia auriculiformis,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.665,PROSEA
Acacia auriculiformis,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.581,ICRAF
Acacia crassicarpa,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.616,ICRAF
Acacia crassicarpa,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.581,DRYAD
Acacia crassicarpa,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.61,DRYAD
Acacia crassicarpa,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.69,PROSEA
Acacia crassicarpa,Fabaceae,Australia,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.577,DRYAD
Acacia crassicarpa,Fabaceae,Australia,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.618,DRYAD
Acacia mangium,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,calcium,1.3,Yanbuaban.et.al.2007
Acacia mangium,Fabaceae,Brunei,Brunei-Muara district,Rimba Tungku Berakas,kerapah heath forest,peat,leaf,mg.g-1,phosphorus,0.61,Yusoff.2015
Acacia mangium,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,magnesium,0.4,Yanbuaban.et.al.2007
Acacia mangium,Fabaceae,Brunei,Brunei-Muara district,Rimba Tungku Berakas,kerapah heath forest,peat,leaf,mg.g-1,nitrogen,21.23,Yusoff.2015
Acacia mangium,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.448,DRYAD
Acacia mangium,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.474,DRYAD
Acacia mangium,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.532,ICRAF
Acacia mangium,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.49,DRYAD
Acacia mangium,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.61,PROSEA
Acacia mangium,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.55,DRYAD
Acacia mangium,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.594,DRYAD
Acacia mangium,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.519,DRYAD
Acacia mangium,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.474,DRYAD
Acacia mangium,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,potassium,1.2,Yanbuaban.et.al.2007
Acacia mangium,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,phosphorus,0.1,Yanbuaban.et.al.2007
Acacia mangium,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,nitrogen,17.4,Yanbuaban.et.al.2007
Adenanthera pavonina,Fabaceae,India,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.88,DRYAD
Adenanthera pavonina,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.775,DRYAD
Adenanthera pavonina,Fabaceae,China,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.637,DRYAD
Adenanthera pavonina,Fabaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.77,DRYAD
Adenanthera pavonina,Fabaceae,China,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.68,DRYAD
