UIC,species_latin,species_local,country,province,site_name,replicates,start_date_year.month,monitoring_date_year.month,duration_months,height_cm,height_sd,number_planted,height_0,RGRm,seedling_trt_type,site_trt_type,Sseedling_trt_type,Ssite_trt_type,planting_density.m2,ENSO
BT2020ST,Calophyllum ferrugineum,Bintangur,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-11,12,129.8333333,26.4363157,165,82.08333333,0.048361356,none,none,none,none,0.111111111,neutral
BT2020ST,Calophyllum ferrugineum,Bintangur,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-7,8,103,24.03784894,165,82.08333333,0.048361356,none,none,none,none,0.111111111,neutral
BT2020ST,Calophyllum ferrugineum,Bintangur,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-1,2,82.08333333,23.255335,165,82.08333333,0.048361356,none,none,none,none,0.111111111,neutral
BT2020ST,Calophyllum ferrugineum,Bintangur,Indonesia,Riau,Sungai Tohor,2,2019-11,2021-1,14,143.6666667,26.78986692,165,82.08333333,0.048361356,none,none,none,none,0.111111111,neutral
BT2020ST,Calophyllum ferrugineum,Bintangur,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-9,10,115.5,25.3932704,165,82.08333333,0.048361356,none,none,none,none,0.111111111,neutral
BT2020ST,Calophyllum ferrugineum,Bintangur,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-5,6,97.33333333,23.8835559,165,82.08333333,0.048361356,none,none,none,none,0.111111111,neutral
BT2020ST,Calophyllum ferrugineum,Bintangur,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-3,4,87.41666667,23.43058736,165,82.08333333,0.048361356,none,none,none,none,0.111111111,neutral
BT2020ST,Coffea liberica,Kopi,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-11,12,58.18181818,5.250108224,50,14.5,0.044510483000000003,none,none,none,none,0.111111111,neutral
BT2020ST,Coffea liberica,Kopi,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-1,2,14.5,3.057147992,50,14.5,0.044510483000000003,none,none,none,none,0.111111111,neutral
BT2020ST,Coffea liberica,Kopi,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-9,10,43.27272727,4.859854094,50,14.5,0.044510483000000003,none,none,none,none,0.111111111,neutral
BT2020ST,Coffea liberica,Kopi,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-3,4,18.5,3.057147992,50,14.5,0.044510483000000003,none,none,none,none,0.111111111,neutral
BT2020ST,Coffea liberica,Kopi,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-7,8,36.54545455,4.274661071,50,14.5,0.044510483000000003,none,none,none,none,0.111111111,neutral
BT2020ST,Coffea liberica,Kopi,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-5,6,26.14285714,4.258153136,50,14.5,0.044510483000000003,none,none,none,none,0.111111111,neutral
BT2020ST,Coffea liberica,Kopi,Indonesia,Riau,Sungai Tohor,2,2019-11,2021-1,14,69,6.131883887,50,14.5,0.044510483000000003,none,none,none,none,0.111111111,neutral
BT2020ST,Gonystylus bancanus,Ramin,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-5,6,32.5,6.244997998,85,26.66666667,0.012775274,none,none,none,none,0.111111111,neutral
BT2020ST,Gonystylus bancanus,Ramin,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-9,10,46.77777778,7.067138349,85,26.66666667,0.012775274,none,none,none,none,0.111111111,neutral
BT2020ST,Gonystylus bancanus,Ramin,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-3,4,27.58333333,6.287915297,85,26.66666667,0.012775274,none,none,none,none,0.111111111,neutral
BT2020ST,Gonystylus bancanus,Ramin,Indonesia,Riau,Sungai Tohor,2,2019-11,2021-1,14,59.88888889,8.666666667,85,26.66666667,0.012775274,none,none,none,none,0.111111111,neutral
BT2020ST,Gonystylus bancanus,Ramin,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-11,12,54.11111111,8.403041777,85,26.66666667,0.012775274,none,none,none,none,0.111111111,neutral
BT2020ST,Gonystylus bancanus,Ramin,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-1,2,26.66666667,6.286107819,85,26.66666667,0.012775274,none,none,none,none,0.111111111,neutral
BT2020ST,Gonystylus bancanus,Ramin,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-7,8,40.44444444,5.811865258,85,26.66666667,0.012775274,none,none,none,none,0.111111111,neutral
BT2020ST,Jackiopsis ornata,Selumar,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-5,6,39.7,9.117138927,95,31,0.034474657,none,none,none,none,0.111111111,neutral
BT2020ST,Jackiopsis ornata,Selumar,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-3,4,34,8,95,31,0.034474657,none,none,none,none,0.111111111,neutral
BT2020ST,Jackiopsis ornata,Selumar,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-7,8,52.5,8.92828571,95,31,0.034474657,none,none,none,none,0.111111111,neutral
BT2020ST,Jackiopsis ornata,Selumar,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-1,2,31,8,95,31,0.034474657,none,none,none,none,0.111111111,neutral
BT2020ST,Jackiopsis ornata,Selumar,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-9,10,60,8,95,31,0.034474657,none,none,none,none,0.111111111,neutral
BT2020ST,Jackiopsis ornata,Selumar,Indonesia,Riau,Sungai Tohor,2,2019-11,2021-1,14,84.125,7.199950397,95,31,0.034474657,none,none,none,none,0.111111111,neutral
BT2020ST,Jackiopsis ornata,Selumar,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-11,12,73.5,7.367883976,95,31,0.034474657,none,none,none,none,0.111111111,neutral
BT2020ST,Palaquium sumatranum,Semaram,Indonesia,Riau,Sungai Tohor,2,2019-11,2021-1,14,74.55555556,14.08111422,115,28.44444444,0.083590161,none,none,none,none,0.111111111,neutral
BT2020ST,Palaquium sumatranum,Semaram,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-1,2,28.44444444,10.29697906,115,28.44444444,0.083590161,none,none,none,none,0.111111111,neutral
BT2020ST,Palaquium sumatranum,Semaram,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-11,12,63.88888889,13.92340156,115,28.44444444,0.083590161,none,none,none,none,0.111111111,neutral
BT2020ST,Palaquium sumatranum,Semaram,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-5,6,39,11.94780315,115,28.44444444,0.083590161,none,none,none,none,0.111111111,neutral
BT2020ST,Palaquium sumatranum,Semaram,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-7,8,46.44444444,13.12546295,115,28.44444444,0.083590161,none,none,none,none,0.111111111,neutral
BT2020ST,Palaquium sumatranum,Semaram,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-9,10,53.33333333,13.11487705,115,28.44444444,0.083590161,none,none,none,none,0.111111111,neutral
BT2020ST,Palaquium sumatranum,Semaram,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-3,4,33.55555556,10.93287601,115,28.44444444,0.083590161,none,none,none,none,0.111111111,neutral
BT2020ST,Shorea platycarpa,Meranti Bunga,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-1,2,40.14285714,12.84245192,478,40.14285714,0.065646723,none,none,none,none,0.111111111,neutral
BT2020ST,Shorea platycarpa,Meranti Bunga,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-9,10,114.7142857,20.98366712,478,40.14285714,0.065646723,none,none,none,none,0.111111111,neutral
BT2020ST,Shorea platycarpa,Meranti Bunga,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-5,6,66.80952381,15.361051550000001,478,40.14285714,0.065646723,none,none,none,none,0.111111111,neutral
BT2020ST,Shorea platycarpa,Meranti Bunga,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-3,4,50.04761905,10.6980194,478,40.14285714,0.065646723,none,none,none,none,0.111111111,neutral
BT2020ST,Shorea platycarpa,Meranti Bunga,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-7,8,80.28571429,14.02192161,478,40.14285714,0.065646723,none,none,none,none,0.111111111,neutral
BT2020ST,Shorea platycarpa,Meranti Bunga,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-11,12,137.7619048,19.9997619,478,40.14285714,0.065646723,none,none,none,none,0.111111111,neutral
BT2020ST,Shorea platycarpa,Meranti Bunga,Indonesia,Riau,Sungai Tohor,2,2019-11,2021-1,14,150.1904762,20.20796637,478,40.14285714,0.065646723,none,none,none,none,0.111111111,neutral
BT2020ST,Shorea uliginosa,Meranti Bakau,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-1,2,27.4375,4.830027605,78,27.4375,0.029389739,none,none,none,none,0.111111111,neutral
BT2020ST,Shorea uliginosa,Meranti Bakau,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-5,6,46.125,7.770671357,78,27.4375,0.029389739,none,none,none,none,0.111111111,neutral
BT2020ST,Shorea uliginosa,Meranti Bakau,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-3,4,32.6875,4.407852841,78,27.4375,0.029389739,none,none,none,none,0.111111111,neutral
BT2020ST,Shorea uliginosa,Meranti Bakau,Indonesia,Riau,Sungai Tohor,2,2019-11,2021-1,14,161.9375,23.84804325,78,27.4375,0.029389739,none,none,none,none,0.111111111,neutral
BT2020ST,Shorea uliginosa,Meranti Bakau,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-11,12,142.9375,20.96177076,78,27.4375,0.029389739,none,none,none,none,0.111111111,neutral
BT2020ST,Shorea uliginosa,Meranti Bakau,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-9,10,120.9375,21.04429852,78,27.4375,0.029389739,none,none,none,none,0.111111111,neutral
BT2020ST,Shorea uliginosa,Meranti Bakau,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-7,8,93.125,20.46093839,78,27.4375,0.029389739,none,none,none,none,0.111111111,neutral
BT2020ST,Stemonurus secundiflorus,Sebasa,Indonesia,Riau,Sungai Tohor,2,2019-11,2021-1,14,65.22222222,6.942221867,245,20.33333333,0.015908107,none,none,none,none,0.111111111,neutral
BT2020ST,Stemonurus secundiflorus,Sebasa,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-3,4,21.08333333,3.604500554,245,20.33333333,0.015908107,none,none,none,none,0.111111111,neutral
BT2020ST,Stemonurus secundiflorus,Sebasa,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-9,10,44.44444444,3.745367509,245,20.33333333,0.015908107,none,none,none,none,0.111111111,neutral
BT2020ST,Stemonurus secundiflorus,Sebasa,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-5,6,28,3.56753034,245,20.33333333,0.015908107,none,none,none,none,0.111111111,neutral
BT2020ST,Stemonurus secundiflorus,Sebasa,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-7,8,37.88888889,3.655285367,245,20.33333333,0.015908107,none,none,none,none,0.111111111,neutral
BT2020ST,Stemonurus secundiflorus,Sebasa,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-11,12,56.77777778,5.629781918,245,20.33333333,0.015908107,none,none,none,none,0.111111111,neutral
BT2020ST,Stemonurus secundiflorus,Sebasa,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-1,2,20.33333333,3.22865954,245,20.33333333,0.015908107,none,none,none,none,0.111111111,neutral
BT2020ST,Syzygium inophyllum,Gelam,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-11,12,67.41666667,7.656943769,45,26.25,0.021711252,none,none,none,none,0.111111111,neutral
BT2020ST,Syzygium inophyllum,Gelam,Indonesia,Riau,Sungai Tohor,2,2019-11,2021-1,14,78.5,7.48938643,45,26.25,0.021711252,none,none,none,none,0.111111111,neutral
BT2020ST,Syzygium inophyllum,Gelam,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-9,10,54.91666667,7.809764673,45,26.25,0.021711252,none,none,none,none,0.111111111,neutral
BT2020ST,Syzygium inophyllum,Gelam,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-3,4,28.83333333,8.166821273,45,26.25,0.021711252,none,none,none,none,0.111111111,neutral
BT2020ST,Syzygium inophyllum,Gelam,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-1,2,26.25,7.629190354,45,26.25,0.021711252,none,none,none,none,0.111111111,neutral
BT2020ST,Syzygium inophyllum,Gelam,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-7,8,47.58333333,7.537281079,45,26.25,0.021711252,none,none,none,none,0.111111111,neutral
BT2020ST,Syzygium inophyllum,Gelam,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-5,6,36.66666667,7.702813339,45,26.25,0.021711252,none,none,none,none,0.111111111,neutral
BT2020ST,Syzygium napiforme,Kelat,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-11,12,61.08333333,6.25893301,71,17,0.017517589,none,none,none,none,0.111111111,neutral
BT2020ST,Syzygium napiforme,Kelat,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-3,4,20,3.357488239,71,17,0.017517589,none,none,none,none,0.111111111,neutral
BT2020ST,Syzygium napiforme,Kelat,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-1,2,17,3.384456449,71,17,0.017517589,none,none,none,none,0.111111111,neutral
BT2020ST,Syzygium napiforme,Kelat,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-5,6,25.83333333,3.433348044,71,17,0.017517589,none,none,none,none,0.111111111,neutral
BT2020ST,Syzygium napiforme,Kelat,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-9,10,48.33333333,6.198729098,71,17,0.017517589,none,none,none,none,0.111111111,neutral
BT2020ST,Syzygium napiforme,Kelat,Indonesia,Riau,Sungai Tohor,2,2019-11,2021-1,14,71.08333333,6.707639245,71,17,0.017517589,none,none,none,none,0.111111111,neutral
BT2020ST,Syzygium napiforme,Kelat,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-7,8,37.41666667,7.076957915,71,17,0.017517589,none,none,none,none,0.111111111,neutral
BT2020ST,Tetramerista glabra,Punak,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-7,8,81.1,23.22570415,123,53.7,0.03874252,none,none,none,none,0.111111111,neutral
BT2020ST,Tetramerista glabra,Punak,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-3,4,58.2,20.95921966,123,53.7,0.03874252,none,none,none,none,0.111111111,neutral
BT2020ST,Tetramerista glabra,Punak,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-1,2,53.7,20.76883349,123,53.7,0.03874252,none,none,none,none,0.111111111,neutral
BT2020ST,Tetramerista glabra,Punak,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-9,10,88.2,23.47007551,123,53.7,0.03874252,none,none,none,none,0.111111111,neutral
BT2020ST,Tetramerista glabra,Punak,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-5,6,69.7,24.02336825,123,53.7,0.03874252,none,none,none,none,0.111111111,neutral
BT2020ST,Tetramerista glabra,Punak,Indonesia,Riau,Sungai Tohor,2,2019-11,2021-1,14,113.6,23.26752625,123,53.7,0.03874252,none,none,none,none,0.111111111,neutral
BT2020ST,Tetramerista glabra,Punak,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-11,12,100.5,22.00126259,123,53.7,0.03874252,none,none,none,none,0.111111111,neutral
BT2020ST,Vatica rassak,Resak,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-1,2,69.5,15.82016997,130,69.5,NA,none,none,none,none,0.111111111,neutral
BT2020ST,Vatica rassak,Resak,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-7,8,123.9,37.42681748,130,69.5,NA,none,none,none,none,0.111111111,neutral
BT2020ST,Vatica rassak,Resak,Indonesia,Riau,Sungai Tohor,2,2019-11,2021-1,14,146.9,27.92629187,130,69.5,NA,none,none,none,none,0.111111111,neutral
BT2020ST,Vatica rassak,Resak,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-5,6,89.7,13.98451525,130,69.5,NA,none,none,none,none,0.111111111,neutral
BT2020ST,Vatica rassak,Resak,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-9,10,133.2,35.95305581,130,69.5,NA,none,none,none,none,0.111111111,neutral
BT2020ST,Vatica rassak,Resak,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-11,12,145,36.58171978,130,69.5,NA,none,none,none,none,0.111111111,neutral
BT2020ST,Vatica rassak,Resak,Indonesia,Riau,Sungai Tohor,2,2019-11,2020-3,4,76.4,16.78094157,130,69.5,NA,none,none,none,none,0.111111111,neutral
BUDI2018REGP_Paludiculture,Archidendron jiringa,Jengkol,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2017-11,0,43.17,NA,50,43.17,0.078212366,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Archidendron jiringa,Jengkol,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2018-12,12,85,NA,50,43.17,0.078212366,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Archidendron jiringa,Jengkol,Indonesia,Jambi,KHG Sungai Mendahara,NA,2018-1,2018-12,2,26.65,NA,50,NA,0.078212366,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Archidendron jiringa,Jengkol,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2018-7,8,68.83,NA,50,43.17,0.078212366,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Artocarpus heterophyllus,Nangka,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2017-11,0,84.23,NA,50,84.23,0.061505804,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Artocarpus heterophyllus,Nangka,Indonesia,Jambi,KHG Sungai Mendahara,NA,2018-1,2018-12,2,49.95,NA,50,NA,0.061505804,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Artocarpus heterophyllus,Nangka,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2018-12,12,135.15,NA,50,84.23,0.061505804,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Artocarpus heterophyllus,Nangka,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2018-7,8,109.18,NA,50,84.23,0.061505804,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Dyera polyphylla,Jelutung,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2018-12,12,56.77,NA,50,40.85,0.155099199,none,line planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Dyera polyphylla,Jelutung,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2018-7,8,51.63,NA,50,40.85,0.155099199,none,line planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Dyera polyphylla,Jelutung,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2017-11,0,40.85,NA,50,40.85,0.155099199,none,line planting liming weeding,none,liming_weeding,NA,La_Nina
