UIC,species_latin,species_local,country,province,site_name,replicates,start_date_year.month,monitoring_date_year.month,duration_months,survival_per,survival_sd,number_planted,half_life,seedling_trt_type,site_trt_type,Sseedling_trt_type,Ssite_trt_type,planting_density.m2,ENSO
BUDI2018REGP_Agroforestry,Archidendron jiringa,Jenkol,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017,2018,12,56,NA,NA,NA,none,weeding,none,weeding,NA,NA
BUDI2018REGP_Agroforestry,Archidendron jiringa,Jenkol,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017,2017,0,100,NA,NA,NA,none,weeding,none,weeding,NA,NA
BUDI2018REGP_Agroforestry,Artocarpus heterophyllus,Nangka,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017,2017,0,100,NA,NA,NA,none,weeding,none,weeding,NA,NA
BUDI2018REGP_Agroforestry,Artocarpus heterophyllus,Nangka,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017,2018,12,28,NA,NA,NA,none,weeding,none,weeding,NA,NA
BUDI2018REGP_Agroforestry,Dyera polyphylla,Jelutung,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017,2017,0,100,NA,NA,NA,none,weeding,none,weeding,NA,NA
BUDI2018REGP_Agroforestry,Dyera polyphylla,Jelutung,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017,2018,12,60,NA,NA,NA,none,weeding,none,weeding,NA,NA
BUDI2018REGP_Agroforestry,Mangifera indica,Mangga,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017,2017,0,100,NA,NA,NA,none,weeding,none,weeding,NA,NA
BUDI2018REGP_Agroforestry,Mangifera indica,Mangga,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017,2018,12,63,NA,NA,NA,none,weeding,none,weeding,NA,NA
BUDI2018REGP_Agroforestry,Parkia speciosa,Petai,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017,2017,0,100,NA,NA,NA,none,weeding,none,weeding,NA,NA
BUDI2018REGP_Agroforestry,Parkia speciosa,Petai,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017,2018,12,53,NA,NA,NA,none,weeding,none,weeding,NA,NA
BUDI2018REGP_Agroforestry,Persea americana,Alpukat,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017,2018,12,74,NA,NA,NA,none,weeding,none,weeding,NA,NA
BUDI2018REGP_Agroforestry,Persea americana,Alpukat,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017,2017,0,100,NA,NA,NA,none,weeding,none,weeding,NA,NA
BUDI2018REGP_Paludiculture,Archidendron jiringa,Jengkol,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2018-12,12,29.46,NA,50,8.524542619,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Archidendron jiringa,Jengkol,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2017-11,0,100,NA,50,8.524542619,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Archidendron jiringa,Jengkol,Indonesia,Jambi,KHG Sungai Mendahara,NA,2018-10,2018-12,2,89.29,NA,50,8.524542619,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Artocarpus heterophyllus,Nangka,Indonesia,Jambi,KHG Sungai Mendahara,NA,2018-10,2018-12,2,91.07,NA,50,12.4041733,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Artocarpus heterophyllus,Nangka,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2018-12,12,51.79,NA,50,12.4041733,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Artocarpus heterophyllus,Nangka,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2017-11,0,100,NA,50,12.4041733,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Dyera polyphylla,Jelutung,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2018-12,12,51.83,NA,50,12.50360596,none,line planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Dyera polyphylla,Jelutung,Indonesia,Jambi,KHG Sungai Mendahara,NA,2018-10,2018-12,2,93.33,NA,50,12.50360596,none,line planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Dyera polyphylla,Jelutung,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2017-11,0,100,NA,50,12.50360596,none,line planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Dyera polyphylla,Jelutung,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2018-12,12,48.21,NA,50,11.6383479,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Dyera polyphylla,Jelutung,Indonesia,Jambi,KHG Sungai Mendahara,NA,2018-10,2018-12,2,93.21,NA,50,11.6383479,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Dyera polyphylla,Jelutung,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2017-11,0,100,NA,50,11.6383479,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Nephelium maingayi,Rambutan,Indonesia,Jambi,KHG Sungai Mendahara,NA,2018-10,2018-12,2,95.54,NA,50,13.80384364,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Nephelium maingayi,Rambutan,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2018-12,12,56.25,NA,50,13.80384364,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Nephelium maingayi,Rambutan,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2017-11,0,100,NA,50,13.80384364,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Parkia speciosa,Petai,Indonesia,Jambi,KHG Sungai Mendahara,NA,2018-10,2018-12,2,93.75,NA,50,9.94720045,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Parkia speciosa,Petai,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2017-11,0,100,NA,50,9.94720045,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
BUDI2018REGP_Paludiculture,Parkia speciosa,Petai,Indonesia,Jambi,KHG Sungai Mendahara,NA,2017-11,2018-12,12,39.29,NA,50,9.94720045,none,nucleated planting liming weeding,none,liming_weeding,NA,La_Nina
DARY2016PHR_CKPP,Combretocarpus rotundatus,NA,Indonesia,Central Kalimantan,CKPP Kalteng,NA,NA,NA,12,81.25,NA,96,NA,none,none,none,none,NA,NA
DARY2016PHR_CKPP,Combretocarpus rotundatus,NA,Indonesia,Central Kalimantan,CKPP Kalteng,NA,NA,NA,0,100,NA,96,NA,none,none,none,none,NA,NA
DARY2016PHR_CKPP,Cratoxylum arborescens,NA,Indonesia,Central Kalimantan,CKPP Kalteng,NA,NA,NA,12,69.79166667,NA,96,NA,none,none,none,none,NA,NA
DARY2016PHR_CKPP,Cratoxylum arborescens,NA,Indonesia,Central Kalimantan,CKPP Kalteng,NA,NA,NA,0,100,NA,96,NA,none,none,none,none,NA,NA
DARY2016PHR_CKPP,Dyera polyphylla,NA,Indonesia,Central Kalimantan,CKPP Kalteng,NA,NA,NA,0,100,NA,96,NA,none,none,none,none,NA,NA
DARY2016PHR_CKPP,Dyera polyphylla,NA,Indonesia,Central Kalimantan,CKPP Kalteng,NA,NA,NA,12,67.70833333,NA,96,NA,none,none,none,none,NA,NA
DARY2016PHR_CKPP,Shorea balangeran,NA,Indonesia,Central Kalimantan,CKPP Kalteng,NA,NA,NA,12,56.25,NA,96,NA,none,none,none,none,NA,NA
DARY2016PHR_CKPP,Shorea balangeran,NA,Indonesia,Central Kalimantan,CKPP Kalteng,NA,NA,NA,0,100,NA,96,NA,none,none,none,none,NA,NA
DARY2016PHR_CKPP,Shorea uliginosa,NA,Indonesia,Central Kalimantan,CKPP Kalteng,NA,NA,NA,0,100,NA,96,NA,none,none,none,none,NA,NA
DARY2016PHR_CKPP,Shorea uliginosa,NA,Indonesia,Central Kalimantan,CKPP Kalteng,NA,NA,NA,12,50,NA,96,NA,none,none,none,none,NA,NA
DARY2016PHR_CKPP,Stemonurus scorpioides,NA,Indonesia,Central Kalimantan,CKPP Kalteng,NA,NA,NA,12,23.95833333,NA,96,NA,none,none,none,none,NA,NA
DARY2016PHR_CKPP,Stemonurus scorpioides,NA,Indonesia,Central Kalimantan,CKPP Kalteng,NA,NA,NA,0,100,NA,96,NA,none,none,none,none,NA,NA
DARY2016PHR_HLG,Anisoptera marginata,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,40,10.51619834,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Anisoptera marginata,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,72.4,NA,40,10.51619834,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Anisoptera marginata,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,42.5,NA,40,10.51619834,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Calophyllum inophyllum,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,52.6,NA,38,11.11260053,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Calophyllum inophyllum,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,38,11.11260053,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Calophyllum inophyllum,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,64.26,NA,38,11.11260053,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Calophyllum soulattri,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,42,13.81232819,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Calophyllum soulattri,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,66.7,NA,42,13.81232819,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Calophyllum soulattri,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,69,NA,42,13.81232819,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Dillenia excelsa,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,64.3,NA,14,7.765231568,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Dillenia excelsa,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,14,7.765231568,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Dillenia excelsa,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,21.4,NA,14,7.765231568,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Diospyros malam,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,50,9.905660377,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Diospyros malam,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,52,NA,50,9.905660377,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Diospyros malam,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,56,NA,50,9.905660377,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Gonystylus bancanus,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,37,7.271242919,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Gonystylus bancanus,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,45.9,NA,37,7.271242919,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Gonystylus bancanus,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,27,NA,37,7.271242919,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Homalium caryophyllaceum,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,48.8,NA,43,12.37476597,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Homalium caryophyllaceum,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,90.7,NA,43,12.37476597,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Homalium caryophyllaceum,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,43,12.37476597,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Hopea odorata,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,73.3,NA,45,9.304929695,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Hopea odorata,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,45,9.304929695,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Hopea odorata,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,33.3,NA,45,9.304929695,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Lithocarpus bennettii,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,20,10.33257592,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Lithocarpus bennettii,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,50,NA,20,10.33257592,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Lithocarpus bennettii,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,60.7,NA,20,10.33257592,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Schleichera oleosa,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,61,7.49222726,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Schleichera oleosa,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,18.03,NA,61,7.49222726,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Schleichera oleosa,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,64.29,NA,61,7.49222726,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea balangeran,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-3,0,100,NA,18,8.998197122,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea balangeran,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2014-4,12,33.3,NA,18,8.998197122,none,none,none,none,NA,neutral
DARY2016PHR_HLG,Shorea balangeran,NA,Indonesia,Jambi,HLG Londerang,NA,2013-3,2013-9,6,66.7,NA,18,8.998197122,none,none,none,none,NA,neutral
