ID,X,Y,Area,City,Country,Continent,GridEPSG,dCenter,TransportSource,RushHour,TransportYear,DistanceDriving,DurationDriving,DistanceTransit,DurationTransit
2679,744973.9678,9083264.351,1012264.801,Trujillo,Peru,South_America,32717,33948.9237329263,Google,18h30,2020,57257.2450217814,6025.46084222409,NA,NA
2680,745973.9678,9083264.351,1012252.509,Trujillo,Peru,South_America,32717,34771.1807769602,Google,18h30,2020,59255.3833836679,6197.64780097447,NA,NA
2681,746973.9678,9083264.351,1012240.166,Trujillo,Peru,South_America,32717,35602.5364633484,Google,18h30,2020,61366.7073059294,6377.5622879432,NA,NA
2682,747973.9678,9083264.351,1012227.775,Trujillo,Peru,South_America,32717,36442.3680984654,Google,18h30,2020,63277.8211383678,6542.76868735387,NA,NA
2683,748973.9678,9083264.351,1012215.333,Trujillo,Peru,South_America,32717,37290.1030117114,Google,18h30,2020,65156.83208932,6705.61670416663,NA,NA
2684,749973.9678,9083264.351,1012202.841,Trujillo,Peru,South_America,32717,38145.2142820571,Google,18h30,2020,67012.8793924881,6867.05747793965,NA,NA
2685,750973.9678,9083264.351,1012190.3,Trujillo,Peru,South_America,32717,39007.2168018182,Google,18h30,2020,68788.5150567945,7023.57051896886,NA,NA
2686,751973.9678,9083264.351,1012177.708,Trujillo,Peru,South_America,32717,39875.6636637442,Google,18h30,2020,69633.7353188851,7097.84248257709,NA,NA
2687,752973.9678,9083264.351,1012165.067,Trujillo,Peru,South_America,32717,40750.1428540324,Google,18h30,2020,70645.792306457,7181.09025189132,NA,NA
2688,753973.9678,9083264.351,1012152.376,Trujillo,Peru,South_America,32717,41630.2742319102,Google,18h30,2020,NA,NA,NA,NA
2689,690973.9678,9082264.351,1012853.222,Trujillo,Peru,South_America,32717,33336.6637896482,Google,18h30,2020,NA,NA,NA,NA
2690,691973.9678,9082264.351,1012843.626,Trujillo,Peru,South_America,32717,32555.1646075403,Google,18h30,2020,NA,NA,NA,NA
2691,692973.9678,9082264.351,1012833.981,Trujillo,Peru,South_America,32717,31785.914059911,Google,18h30,2020,NA,NA,NA,NA
2692,693973.9678,9082264.351,1012824.285,Trujillo,Peru,South_America,32717,31029.8231162223,Google,18h30,2020,NA,NA,NA,NA
2693,694973.9678,9082264.351,1012814.54,Trujillo,Peru,South_America,32717,30287.8773211997,Google,18h30,2020,NA,NA,NA,NA
2694,695973.9678,9082264.351,1012804.744,Trujillo,Peru,South_America,32717,29561.1417679366,Google,18h30,2020,NA,NA,NA,NA
2695,696973.9678,9082264.351,1012794.899,Trujillo,Peru,South_America,32717,28850.7658931968,Google,18h30,2020,NA,NA,NA,NA
2696,697973.9678,9082264.351,1012785.004,Trujillo,Peru,South_America,32717,28157.9879008434,Google,18h30,2020,NA,NA,NA,NA
2697,698973.9678,9082264.351,1012775.058,Trujillo,Peru,South_America,32717,27484.1385643437,Google,18h30,2020,NA,NA,NA,NA
2698,699973.9678,9082264.351,1012765.063,Trujillo,Peru,South_America,32717,26830.6440963322,Google,18h30,2020,NA,NA,NA,NA
2699,700973.9678,9082264.351,1012755.017,Trujillo,Peru,South_America,32717,26199.0277037917,Google,18h30,2020,NA,NA,NA,NA
2700,701973.9678,9082264.351,1012744.922,Trujillo,Peru,South_America,32717,25590.9093746988,Google,18h30,2020,NA,NA,NA,NA
2701,702973.9678,9082264.351,1012734.777,Trujillo,Peru,South_America,32717,25008.0033714018,Google,18h30,2020,NA,NA,NA,NA
2702,703973.9678,9082264.351,1012724.582,Trujillo,Peru,South_America,32717,24452.1128458063,Google,18h30,2020,NA,NA,NA,NA
2703,704973.9678,9082264.351,1012714.336,Trujillo,Peru,South_America,32717,23925.1209531748,Google,18h30,2020,NA,NA,NA,NA
2704,705973.9678,9082264.351,1012704.041,Trujillo,Peru,South_America,32717,23428.9778399325,Google,18h30,2020,NA,NA,NA,NA
2705,706973.9678,9082264.351,1012693.696,Trujillo,Peru,South_America,32717,22965.6829339788,Google,18h30,2020,NA,NA,NA,NA
2706,707973.9678,9082264.351,1012683.301,Trujillo,Peru,South_America,32717,22537.2620924558,Google,18h30,2020,NA,NA,NA,NA
2707,708973.9678,9082264.351,1012672.856,Trujillo,Peru,South_America,32717,22145.7393785813,Google,18h30,2020,NA,NA,NA,NA
