Author,Year,Habitat,Openness,Invasive Alien Species (IAsia),IAsia Family,IAsia Order,Invaded Area,"Impacted 
Fauna Group",Impacted Fauna Trophic Group,Sample Size IAsia,Sample Size Control,Sample Size Combined,Mean Abund. IAsia,Mean Abund. Control,Standard Error IAsia,Standard Error Control,"Variance 
IAsia","Variance 
Control","Reported 
p-value",Effect size,Effect Size Standard Error,Weights
Alerding,2013,Forest,Closed,Alliaria petiolata,Brassicaceae,Brassicales,North America,Collembola,Microbivore,15,15,30,872.67,430.67,206.06,130.3,1596.14,254683.2,0.003,0.706215341921578,0.302789697060839,2.12988124739199
Angradi,2001,Wetlands,Open,Phragmites australis,Poaceae,Poales,North America,Acari,Other,143,140,283,1106,3798,69.6,247.19,1664.68,8554606.17,0.049,-1.23372470928995,0.0651580868395925,2.61729595008599
Angradi,2001,Wetlands,Open,Phragmites australis,Poaceae,Poales,North America,Actinedida,Other,143,140,283,278,335,85,147,2032.9,3025260,0.051,-0.186509418134429,0.43901551846697706,1.7526555429489
Angradi,2001,Wetlands,Open,Phragmites australis,Poaceae,Poales,North America,Collembola,Microbivore,143,140,283,651,134,71.78,15.92,1716.63,35475.99,0.005,1.58066984225766,0.118914238181694,2.55122385677591
Angradi,2001,Wetlands,Open,Phragmites australis,Poaceae,Poales,North America,Gamasida,Predator,143,140,283,179,20,35,10,837.08,14000,0.049,2.19165353228676,0.50018266087968,1.59232920762314
Angradi,2001,Wetlands,Open,Phragmites australis,Poaceae,Poales,North America,Isopoda,Detritivore,143,140,283,476,927,27.6,38.95,660.06,212426.63,0.051,-0.666535711334435,0.0422621632502657,2.63425317071616
Angradi,2001,Wetlands,Open,Phragmites australis,Poaceae,Poales,North America,Nematoda,Other,143,140,283,23576,18957,2109,2178,50439.94,664115760,0.051,0.218055988975966,0.114894358460815,2.55735601415734
Angradi,2001,Wetlands,Open,Phragmites australis,Poaceae,Poales,North America,Oribatida,Microbivore,143,140,283,649,3443,78,402,1865.49,22624560,0.049,-1.66866574663443,0.116891197519744,2.55433259703196
Angradi,2001,Wetlands,Open,Phragmites australis,Poaceae,Poales,North America,Total,Other,143,140,283,81891,96885,3680,3015,88012.8,1272631500,0.049,-0.168135613441773,0.0311208428966634,2.63993886549353
Basset,2014,Forest,Closed,Asparagus scandens,Asparagaceae,Asparagales,Oceania,Acari,Other,8,8,16,12.34,25.3,2.44,3.76,13.8,113.1,0.006,-0.717958377256233,0.182797380447307,2.43165217821272
Basset,2014,Forest,Closed,Hedychium gardnerianum,Zingiberaceae,Zingiberales,Oceania,Acari,Other,8,8,16,13.81,19.85,4.59,8.6,25.96,591.68,0.001,-0.362811039711999,0.4524597620287,1.71659680295767
Basset,2014,Forest,Closed,Tradescantia fluminensis,Commelinaceae,Commelinales,Oceania,Acari,Other,8,8,16,37.35,13.8,11.36,8.85,64.26,626.58,0.012,0.995664319415667,0.645778009989703,1.25808732831774
Basset,2014,Forest,Closed,Tradescantia fluminensis,Commelinaceae,Commelinales,Oceania,Collembola,Microbivore,8,8,16,62,40,8,10,45.25,800,0.002,0.438254930931155,0.25292577767291,2.26346971895199
Basset,2014,Forest,Closed,Asparagus scandens,Asparagaceae,Asparagales,Oceania,Isopoda,Detritivore,8,8,16,4.38,1.66,1.149,0.38,6.5,1.14,0.051,0.970231122019903,0.306700171224522,2.11912383944404
