Row_number,Study_number,Study_title,Country,Latitude,Longitude,Species,Family,Hedges_g,Hedges_g_sei,LRR,LRR_sei,Clutch_size,Reproductive_mode,Mass,Disturbance_type,Vegetation_type,Precip,Temp,Range_size,Habitat_spec
1,360,A skink out of water: impacts of anthropogenic disturbance on an Endangered reptile in Australian highland swamps,Australia,-33.54,150.29,Eulamprus_leuraensis,Scincidae,-1.426927417,0.646662001,NA,NA,2.65,Viviparous,12.73777904,Other,Shrubland,1182.5,17.64550014,1189.51002,3
176,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Basiliscus_vittatus,Iguanidae,-4.513559954,1.392813926,NA,NA,5.4,Oviparous,393.6659989,Fragment,Forest,2354.666667,26.11111111,712064.4792,4
177,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Corytophanes_hernandesii,Iguanidae,-1.515030832,0.900068924,-0.993251773,0.497100573,3.5,Oviparous,51.26072933,Fragment,Forest,2354.666667,26.11111111,149601.9045,1
178,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Sceloporus_salvini,Phrynosomatidae,-1.504519985,0.898966318,NA,NA,6,Viviparous,31.55004623,Fragment,Forest,2354.666667,26.11111111,761.6313249,2
179,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Sceloporus_variabilis,Phrynosomatidae,0.388461665,0.822251829,NA,NA,3.85,Oviparous,15.67240591,Fragment,Forest,2354.666667,26.11111111,758209.3915,4
180,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Anolis_barkeri,Dactyloidae,-2.63286343,1.048768221,NA,NA,1.5,Oviparous,20.99720735,Fragment,Forest,2354.666667,26.11111111,15519.31711,2
182,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Anolis_uniformis,Dactyloidae,0.495898338,0.825854929,0.225917478,0.200136486,1,Oviparous,1.480588438,Fragment,Forest,2354.666667,26.11111111,82381.5754,NA
183,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Plestiodon_sumichrasti,Scincidae,-1.053371714,0.857913845,-1.791759467,1.414206779,11.5,Oviparous,21.52781735,Fragment,Forest,2354.666667,26.11111111,100558.1397,2
185,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Scincella_cherriei,Scincidae,-3.805455577,1.253698499,NA,NA,2.5,Oviparous,6.196854214,Fragment,Forest,2354.666667,26.11111111,379488.7663,NA
186,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Holcosus_undulatus,Teiidae,-2.191888764,0.983331169,-1.727220948,0.655952438,4.3,Oviparous,80.91405358,Fragment,Forest,2354.666667,26.11111111,635221.4426,2
187,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Lepidophyma_pajapanensis,Xantusiidae,-2.096899046,0.97029803,-1.280933846,0.481663783,5.5,Viviparous,11.30706856,Fragment,Forest,2354.666667,26.11111111,2377.593935,2
188,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Lepidophyma_tuxtlae,Xantusiidae,0.595700751,0.829967095,0.961411167,0.798029196,4.9,Viviparous,18.18361577,Fragment,Forest,2354.666667,26.11111111,4903.215077,1
189,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Boa_constrictor,Boidae,0.614211821,0.830809952,NA,NA,23,Viviparous,35283.7665,Fragment,Forest,2354.666667,26.11111111,14460406.9,NA
191,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Clelia_scytalina,Colubridae,-2.317417771,1.001158448,-2.484906648,1.118031842,NA,Oviparous,555.4542269,Fragment,Forest,2354.666667,26.11111111,76866.3416,2
192,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Coniophanes_fissidens,Dipsadidae,-0.61421403,0.830810054,-1.098612287,1.414206779,4,Oviparous,94.26078197,Fragment,Forest,2354.666667,26.11111111,447316.8004,2
193,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Coniophanes_imperialis,Colubridae,-2.456856122,1.021726745,-2.197224575,1.05409154,4,Oviparous,37.03051743,Fragment,Forest,2354.666667,26.11111111,416221.3924,4
194,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Dendrophidion_vinitor,Colubridae,-1.504519985,0.898966318,NA,NA,4,Oviparous,111.3584061,Fragment,Forest,2354.666667,26.11111111,42083.48307,2
195,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Drymarchon_melanurus,Colubridae,0.388461665,0.822251829,NA,NA,9.5,Oviparous,1827.587162,Fragment,Forest,2354.666667,26.11111111,577280.1266,5
196,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Ficimia_publia,Colubridae,0.388461665,0.822251829,NA,NA,2,Oviparous,16.41106061,Fragment,Forest,2354.666667,26.11111111,362593.3865,2
197,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Imantodes_cenchoa,Dipsadidae,-2.45684279,1.021724742,-1.157452789,0.38873867,2.65,Oviparous,515.8456501,Fragment,Forest,2354.666667,26.11111111,14194297.07,NA
198,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Lampropeltis_abnorma,Colubridae,0.568649649,0.82878032,NA,NA,NA,Oviparous,418.0148731,Fragment,Forest,2354.666667,26.11111111,562609.4742,NA
199,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Leptodeira_septentrionalis,Dipsadidae,0.388461665,0.822251829,NA,NA,8.5,Oviparous,193.1827027,Fragment,Forest,2354.666667,26.11111111,1045928.098,2
200,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Leptophis_ahaetulla,Colubridae,-1.504519985,0.898966318,NA,NA,5,Oviparous,918.737437,Fragment,Forest,2354.666667,26.11111111,14353733.82,NA
201,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Pliocercus_elapoides,Colubridae,-1.504519985,0.898966318,NA,NA,6,Oviparous,40.34581319,Fragment,Forest,2354.666667,26.11111111,425679.574,2
203,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Rhadinaea_decorata,Dipsadidae,-2.577484488,1.040134996,-1.568615918,0.542677438,7.5,Oviparous,24.85651095,Fragment,Forest,2354.666667,26.11111111,300049.5907,2
204,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Scaphiodontophis_annulatus,Colubridae,0.388461665,0.822251829,NA,NA,5.5,Oviparous,89.70604949,Fragment,Forest,2354.666667,26.11111111,283825.4879,2
205,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Spilotes_pullatus,Colubridae,-1.504519985,0.898966318,NA,NA,8.6,Oviparous,3030.065729,Fragment,Forest,2354.666667,26.11111111,13442679.59,NA
206,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Tropidodipsas_sartorii,Dipsadidae,0.388461665,0.822251829,NA,NA,4.5,Oviparous,114.0353144,Fragment,Forest,2354.666667,26.11111111,424562.771,1
207,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Micrurus_limbatus,Elapidae,0.388461665,0.822251829,NA,NA,NA,Oviparous,120.2689793,Fragment,Forest,2354.666667,26.11111111,1998.202144,2
208,1348,Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance,Mexico,18.6,-95.11,Bothrops_asper,Viperidae,-2.321507243,1.001750423,-1.791759469,0.782623026,29.9,Viviparous,7499.035771,Fragment,Forest,2354.666667,26.11111111,1186730.497,NA
209,2142,Amphibian and reptile community response to coarse woody debris manipulations in upland loblolly pine (Pinus taeda) forests,USA,33.25,-81.63,Anolis_carolinensis,Dactyloidae,-1.381976604,0.908747276,-0.78845736,0.439383488,1.15,Oviparous,8.748557676,Other,Forest,1186,26.16516678,1182017.199,4
