...1,Es_id,Study,Species,Phylum,PFT,Variable,Mode,Phase,Temp,LD,Ntype,delX,fracX,delY,fracY,varfracY,sXY,varsXY,CIlow_sXY,CIup_sXY,logRR,var_logRR,CIlow_logRR,CIup_logRR
1,1,Bechemin99,Alexandrium minutum,Miozoa,Din,CP,SCB,NA,18,16,NO3,53.92,8.86842105263158,0.508674234311416,0.103260869565217,0.00295954250931392,0.0116436588827248,3.7629805523068e-5,0.012023034074126,-3.7937519140115e-4,0.0974842848418653,0.00280515706941878,0.103807010205242,-0.00632272536337679
2,2,Bechemin99,Alexandrium minutum,Miozoa,Din,CN,SCB,NA,18,16,NO3,53.92,8.86842105263158,52.6607538802661,0.863636363636363,0.01004468040111,0.0973833288373347,1.2771547252509e-4,0.0221498019961953,0.0752335268411394,0.623673967407262,0.00309550087470673,0.10904695841521,0.514627008992052
3,3,Bi18,Emiliania huxleyi,Haptophyta,Coc,CP,SCB,S,18,16,NO3,52.8,1.5,-0.817963603262748,-0.190980595980596,0.0027773450856973,-0.127320397320397,0.00123437559364324,0.0688607508835794,-0.196181148203977,-0.213146688562673,0.00273964961720799,0.102587773090339,-0.315734461653012
4,4,Bi18,Emiliania huxleyi,Haptophyta,Coc,CN,SCB,S,18,16,NO3,52.8,1.5,30.5648621642274,0.485981308411215,2.9940579259475e-4,0.32398753894081,1.3306924115322e-4,0.0226092903513384,0.301378248589472,0.396116508415972,1.5064304424353e-4,0.0240559566653574,0.372060551750615
5,5,Bi18,Emiliania huxleyi,Haptophyta,Coc,CP,SCB,S,24,16,NO3,52.8,1.5,0.123631985008689,0.0276721763085399,0.00152465571495031,0.0184481175390266,6.7762476220013e-4,0.0510202667562065,-0.0325721492171799,0.027736154857202,0.00145954759963756,0.0748785149482188,-0.0471423600910168
6,6,Bi18,Emiliania huxleyi,Haptophyta,Coc,CN,SCB,S,24,16,NO3,52.8,1.5,36.8013801722324,0.503516483516484,1.8117304032282e-4,0.335677655677656,8.05213512545884e-5,0.0175874800648401,0.318090175612816,0.407790843105855,1.1219639314508e-4,0.0207604870871865,0.387030356018669
7,9,Feng18,﻿Emiliania huxleyi,Haptophyta,Coc,CP,SCB,E,14,12,NO3,196.3,53.0540540540541,2.27747253733264,0.313585193665331,0.00496190209209252,0.0059106735433608,1.76283246272928e-6,0.00260227752427702,0.00330839601908378,0.27321403561832,0.00331564386831149,0.11285791679898,0.16035611881934
8,10,Feng18,﻿Emiliania huxleyi,Haptophyta,Coc,CN,SCB,E,14,12,NO3,196.3,53.0540540540541,73.7189400969172,1.17213114754098,0.0588427969063788,0.0220931494951688,2.09052880647643e-5,0.00896140632018994,0.0131317431749789,0.765367774276195,0.0236746115303339,0.301570962278711,0.463796811997483
9,11,Hong17,Thalassiosira pseudonana,Bacillariophyta,Dia,CN,SCB,E,20,24,NO3,85,5.66666666666667,50.9903076274758,1.15238095238095,0.002985538854927,0.203361344537815,9.29752584579341e-5,0.0188986937831573,0.184462650754658,0.766656631194496,8.0370208865254e-4,0.0555642733927532,0.711092357801743
10,12,Hong17,Thalassiosira pseudonana,Bacillariophyta,Dia,CN,SCB,E,20,24,NO3,85,5.66666666666667,56.8869523117889,1.38235294117647,0.00205836319434423,0.243944636678201,6.41012759484361e-5,0.0156921130479572,0.228252523630244,0.867924084289613,5.8551595786442e-4,0.0474261050582425,0.820497979231371
11,13,Hong17,Phaeodactylum tricornutum,Bacillariophyta,Dia,CN,SCB,E,20,24,NO3,85,5.66666666666667,105.394082220477,2.40298507462687,0.00869568129378464,0.424056189640035,2.7079976347426e-4,0.0322531570553967,0.391803032584638,1.22441358086,0.00107324721464394,0.0642093060192942,1.16020427484071
12,14,Hong17,Phaeodactylum tricornutum,Bacillariophyta,Dia,CN,SCB,E,20,24,NO3,85,5.66666666666667,103.174603174603,2.6,0.0224074074074074,0.458823529411765,6.9780853517877e-4,0.0517745376861847,0.40704899172558,1.28176056503878,0.00174936866333415,0.0819763849069405,1.19978418013184
13,15,Hong17,Thalassiosira weissflogii,Bacillariophyta,Dia,CN,SCB,E,20,24,NO3,85,5.66666666666667,93.1537598204265,3.07407407407407,0.0748507524730422,0.542483660130719,0.00233099229154803,0.0946277490979109,0.447855911032808,1.4027058689173,0.00642956906621205,0.157158915759375,1.24554695315792
14,16,Hong17,Thalassiosira weissflogii,Bacillariophyta,Dia,CN,SCB,E,20,24,NO3,85,5.66666666666667,92.7714369329821,3.72941176470588,0.0112555467022969,0.658131487889273,3.5051875543485e-4,0.0366947321135328,0.621436755775741,1.55394243961858,5.4732976641802e-4,0.045853514140521,1.50808892547806
15,17,Jing17,Prorocentrum donghaiense,Miozoa,Din,CN,B,E,20,14,NO3,871,79.1818181818182,46.1502201880857,1.13560988405729,0.0268936982785103,0.0143418010615731,4.28943003568189e-6,0.00405926949663613,0.0102825315649369,0.759205807630706,0.0075653930963817,0.170476233071106,0.5887295745596
16,18,Johansson99a,Chrysochromulina polylepis,Haptophyta,Euk,CP,SCB,S,16,16,NO3,30,15,-0.777267421056028,-0.0867430441898527,0.018523425656607,-0.00578286961265685,8.23263362515865e-5,0.0177835100744788,-0.0235663796871356,-0.090412561849078,0.0202802874158001,0.279116264269278,-0.369528826118356
17,19,Johansson99a,Chrysochromulina polylepis,Haptophyta,Euk,CN,SCB,S,16,16,NO3,30,15,52.3507500251686,0.675324675324675,0.0323571074119642,0.045021645021645,1.4380936627539e-4,0.0235039945238475,0.0215176504977975,0.52102586861739,0.0120619892638923,0.215257137054494,0.305768731562896
18,20,Johansson99b,Prymnesium parvum,Haptophyta,Euk,CP,SCB,S,16,16,NO3,30,15,-2.02212593243314,-0.228298017771702,0.0303262156044938,-0.0152198678514468,1.3478318046441e-4,0.0227544289639675,-0.0379742968154143,-0.27043865983401,0.0309195016801302,0.344638930564443,-0.615077590398453
19,21,Johansson99b,Prymnesium parvum,Haptophyta,Euk,CN,SCB,S,16,16,NO3,30,15,43.7978252114378,0.836538461538462,0.0103767227776092,0.0557692307692308,4.61187679004852e-5,0.0133102722643402,0.0424589585048906,0.609003378443393,0.00335593106761394,0.11354149462345,0.495461883819943
