Species,Site,Regime,covariate,ID,var,Traits
YP,COT,high,45.26,924,area.1,0.384
YP,COT,high,45.26,924,area.2,0.403
YP,COT,high,45.26,924,area.3,0.3
YP,COT,high,45.26,924,dorsal.1,2.944
YP,COT,high,45.26,924,dorsal.2,2.8
YP,COT,high,45.26,924,dorsal.3,2.469
YP,COT,high,45.26,924,neur.1.1,2.141
YP,COT,high,45.26,924,neur.1.2,1.685
YP,COT,high,45.26,924,neur.1.3,2.011
YP,COT,high,45.26,924,neur.2.1,1.943
YP,COT,high,45.26,924,neur.2.2,1.914
YP,COT,high,45.26,924,neur.2.3,1.682
YP,COT,high,45.26,924,neur.3.1,1.099
YP,COT,high,45.26,924,neur.3.2,1.414
YP,COT,high,45.26,924,neur.3.3,1.492
YP,COT,high,45.593,926,area.1,0.313
YP,COT,high,45.593,926,area.2,0.389
YP,COT,high,45.593,926,area.3,0.341
YP,COT,high,45.593,926,dorsal.1,2.226
YP,COT,high,45.593,926,dorsal.2,2.285
YP,COT,high,45.593,926,dorsal.3,1.954
YP,COT,high,45.593,926,neur.1.1,1.851
YP,COT,high,45.593,926,neur.1.2,1.664
YP,COT,high,45.593,926,neur.1.3,1.647
YP,COT,high,45.593,926,neur.2.1,1.986
YP,COT,high,45.593,926,neur.2.2,1.9
YP,COT,high,45.593,926,neur.2.3,1.615
YP,COT,high,45.593,926,neur.3.1,1.475
YP,COT,high,45.593,926,neur.3.2,1.457
YP,COT,high,45.593,926,neur.3.3,1.355
YP,COT,high,44.11,928,area.1,0.287
YP,COT,high,44.11,928,area.2,0.347
YP,COT,high,44.11,928,area.3,0.248
YP,COT,high,44.11,928,dorsal.1,2.409
YP,COT,high,44.11,928,dorsal.2,2.495
YP,COT,high,44.11,928,dorsal.3,2.49
YP,COT,high,44.11,928,neur.1.1,1.624
YP,COT,high,44.11,928,neur.1.2,1.697
YP,COT,high,44.11,928,neur.1.3,1.692
YP,COT,high,44.11,928,neur.2.1,1.827
YP,COT,high,44.11,928,neur.2.2,1.971
YP,COT,high,44.11,928,neur.2.3,1.662
YP,COT,high,44.11,928,neur.3.1,1.387
YP,COT,high,44.11,928,neur.3.2,1.727
YP,COT,high,44.11,928,neur.3.3,1.686
YP,COT,high,83.115,931,area.1,1.339
YP,COT,high,83.115,931,area.2,1.511
YP,COT,high,83.115,931,area.3,1.226
YP,COT,high,83.115,931,dorsal.1,5.589
YP,COT,high,83.115,931,dorsal.2,4.924
YP,COT,high,83.115,931,dorsal.3,4.541
YP,COT,high,83.115,931,neur.1.1,4.624
YP,COT,high,83.115,931,neur.1.2,3.67
YP,COT,high,83.115,931,neur.1.3,5.193
YP,COT,high,83.115,931,neur.2.1,4.226
YP,COT,high,83.115,931,neur.2.2,4.189
YP,COT,high,83.115,931,neur.2.3,4.126
YP,COT,high,83.115,931,neur.3.1,3.45
YP,COT,high,83.115,931,neur.3.2,3.333
YP,COT,high,83.115,931,neur.3.3,3.184
YP,COT,high,44.83,932,area.1,0.288
YP,COT,high,44.83,932,area.2,0.42
YP,COT,high,44.83,932,area.3,0.317
YP,COT,high,44.83,932,dorsal.1,2.744
YP,COT,high,44.83,932,dorsal.2,2.551
YP,COT,high,44.83,932,dorsal.3,2.422
YP,COT,high,44.83,932,neur.1.1,2.049
YP,COT,high,44.83,932,neur.1.2,1.932
YP,COT,high,44.83,932,neur.1.3,1.934
YP,COT,high,44.83,932,neur.2.1,2.363
YP,COT,high,44.83,932,neur.2.2,2.322
YP,COT,high,44.83,932,neur.2.3,2.171
YP,COT,high,44.83,932,neur.3.1,1.878
YP,COT,high,44.83,932,neur.3.2,1.502
YP,COT,high,44.83,932,neur.3.3,1.459
YP,COT,high,87.786,933,area.1,1.332
YP,COT,high,87.786,933,area.2,1.555
YP,COT,high,87.786,933,area.3,1.294
YP,COT,high,87.786,933,dorsal.1,5.799
YP,COT,high,87.786,933,dorsal.2,5.535
YP,COT,high,87.786,933,dorsal.3,5.666
YP,COT,high,87.786,933,neur.1.1,4.085
YP,COT,high,87.786,933,neur.1.2,4.245
YP,COT,high,87.786,933,neur.1.3,4.237
YP,COT,high,87.786,933,neur.2.1,4.788
YP,COT,high,87.786,933,neur.2.2,4.311
YP,COT,high,87.786,933,neur.2.3,4.318
YP,COT,high,87.786,933,neur.3.1,3.388
YP,COT,high,87.786,933,neur.3.2,3.071
YP,COT,high,87.786,933,neur.3.3,3.214
YP,COT,high,87.344,934,area.1,1.332
YP,COT,high,87.344,934,area.2,1.425
YP,COT,high,87.344,934,area.3,1.137
YP,COT,high,87.344,934,dorsal.1,5.593
YP,COT,high,87.344,934,dorsal.2,5.196
YP,COT,high,87.344,934,dorsal.3,4.704
YP,COT,high,87.344,934,neur.1.1,4.54
YP,COT,high,87.344,934,neur.1.2,4.539
YP,COT,high,87.344,934,neur.1.3,4.577
YP,COT,high,87.344,934,neur.2.1,4.789
YP,COT,high,87.344,934,neur.2.2,4.212
YP,COT,high,87.344,934,neur.2.3,4.418
YP,COT,high,87.344,934,neur.3.1,3.412
YP,COT,high,87.344,934,neur.3.2,2.985
YP,COT,high,87.344,934,neur.3.3,3.531
YP,COT,high,98.934,935,area.1,1.713
YP,COT,high,98.934,935,area.2,2.131
YP,COT,high,98.934,935,area.3,1.539
YP,COT,high,98.934,935,dorsal.1,8.007
YP,COT,high,98.934,935,dorsal.2,6.885
YP,COT,high,98.934,935,dorsal.3,6.541
YP,COT,high,98.934,935,neur.1.1,5.327
YP,COT,high,98.934,935,neur.1.2,5.488
YP,COT,high,98.934,935,neur.1.3,5.99
YP,COT,high,98.934,935,neur.2.1,5.459
YP,COT,high,98.934,935,neur.2.2,5.307
YP,COT,high,98.934,935,neur.2.3,5.164
YP,COT,high,98.934,935,neur.3.1,4.554
YP,COT,high,98.934,935,neur.3.2,4.171
YP,COT,high,98.934,935,neur.3.3,4.508
PS,COT,high,61.653,937,area.1,0.805
PS,COT,high,61.653,937,area.2,0.832
PS,COT,high,61.653,937,area.3,0.768
PS,COT,high,61.653,937,dorsal.1,5.796
PS,COT,high,61.653,937,dorsal.2,5.79
PS,COT,high,61.653,937,dorsal.3,5.521
PS,COT,high,61.653,937,neur.1.1,4.746
PS,COT,high,61.653,937,neur.1.2,5.018
PS,COT,high,61.653,937,neur.1.3,5.668
PS,COT,high,61.653,937,neur.2.1,5.889
PS,COT,high,61.653,937,neur.2.2,5.481
PS,COT,high,61.653,937,neur.2.3,4.793
PS,COT,high,61.653,937,neur.3.1,3.784
PS,COT,high,61.653,937,neur.3.2,3.25
PS,COT,high,61.653,937,neur.3.3,3.355
PS,COT,high,61.416,938,area.1,0.982
PS,COT,high,61.416,938,area.2,0.937
PS,COT,high,61.416,938,area.3,0.81
PS,COT,high,61.416,938,dorsal.1,7.074
PS,COT,high,61.416,938,dorsal.2,6.862
PS,COT,high,61.416,938,dorsal.3,7.092
PS,COT,high,61.416,938,neur.1.1,5.516
PS,COT,high,61.416,938,neur.1.2,5.566
